t,p_trixi_0_9_0_0_,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,p_trixi_0_0_0_9_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,p_trixi_0_65_0_65_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-03,-5.684049656592e-44,1.789955490993e-15,4.577548445010e-17,-1.464843563276e-44,1.752295942608e-15,-7.210487834474e-17,-2.859004684692e-51,-2.332071347625e-16,1.041758361915e-16
1.000000000000e-02,-2.760098337180e-25,9.582162922683e-15,7.936079579998e-16,-4.019150946262e-27,9.251622770726e-15,-1.258378781701e-15,-2.667246402635e-39,-1.256291491099e-15,1.799741566324e-15
1.500000000000e-02,-3.644853831902e-21,2.720910021933e-14,4.381936327406e-15,-2.777408128530e-23,2.569835742209e-14,-7.020427788249e-15,-1.475851840366e-30,-3.611220432848e-15,9.878165229652e-15
2.000000000000e-02,-9.395049693301e-20,5.784607380907e-14,1.519617868895e-14,-9.047964281585e-22,5.302956525377e-14,-2.467402530498e-14,-6.854641309544e-28,-7.726388745868e-15,3.396209944455e-14
2.500000000000e-02,-6.554314317809e-19,1.051555100861e-13,4.093119264836e-14,-8.081990226822e-21,9.295544184750e-14,-6.750974767599e-14,-1.561471530412e-26,-1.450796091928e-14,9.042594115281e-14
3.000000000000e-02,-2.652499642593e-18,1.736452118981e-13,9.409342516172e-14,-3.636050392875e-20,1.474158259083e-13,-1.578953872836e-13,-8.597582065759e-26,-2.491257519410e-14,2.048271596929e-13
3.500000000000e-02,-1.092235526422e-17,2.699449041746e-13,1.940276830060e-13,-2.288413720736e-19,2.193243868950e-13,-3.315547894636e-13,-9.642813361536e-25,-3.960014185395e-14,4.147898096405e-13
4.000000000000e-02,-2.692399519585e-17,3.999563269438e-13,3.698496897987e-13,-9.570465804247e-19,3.103557826214e-13,-6.438616151675e-13,-5.443120889621e-24,-6.179938690189e-14,7.736486298970e-13
4.500000000000e-02,-4.159145267377e-17,5.745376537005e-13,6.640070750613e-13,-2.994756282437e-18,4.256461558726e-13,-1.177622017810e-12,-1.893506375370e-23,-9.153895674205e-14,1.354002409132e-12
5.000000000000e-02,-3.071483035267e-17,8.035152524664e-13,1.137201085339e-12,-7.554302737691e-18,5.704010009413e-13,-2.053868894435e-12,-4.534400489771e-23,-1.325375108264e-13,2.251975941405e-12
5.500000000000e-02,4.144969781494e-17,1.100463907397e-12,1.874653101432e-12,-1.620758511848e-17,7.491420106903e-13,-3.445766760042e-12,-7.987046547240e-23,-1.902961235582e-13,3.591398322438e-12
6.000000000000e-02,2.220713733922e-16,1.484924829157e-12,2.994081312128e-12,-3.100824297973e-17,9.734800137545e-13,-5.596331531414e-12,-9.886776800089e-23,-2.631647035419e-13,5.527984151723e-12
6.500000000000e-02,5.224038826315e-16,1.971850730221e-12,4.655903515305e-12,-5.491810203500e-17,1.248312253953e-12,-8.841085242765e-12,2.890909364120e-23,-3.643562774486e-13,8.253527078806e-12
7.000000000000e-02,7.359521350745e-16,2.592269186021e-12,7.076007384589e-12,-8.362658107682e-17,1.592442115414e-12,-1.363648943545e-11,4.174351429777e-22,-4.901064038325e-13,1.199928605018e-11
7.500000000000e-02,5.736104663083e-16,3.358026526126e-12,1.054144586765e-11,-1.096166230867e-16,2.006040984655e-12,-2.059486030494e-11,1.049158240511e-21,-6.617104874823e-13,1.703783707405e-11
8.000000000000e-02,-2.564398407291e-16,4.310658173056e-12,1.542991160910e-11,-1.207206259249e-16,2.511284211606e-12,-3.052738473745e-11,1.656657595189e-21,-8.789411674670e-13,2.368362279989e-11
8.500000000000e-02,-1.943952764766e-15,5.472333661348e-12,2.223367032560e-11,-1.006532772437e-16,3.118038128549e-12,-4.449673510418e-11,1.693459615799e-21,-1.156925016500e-12,3.229094345848e-11
9.000000000000e-02,-4.458512100353e-15,6.871777190674e-12,3.158814192923e-11,-2.665820615193e-17,3.831523952484e-12,-6.387961082757e-11,1.890555935532e-22,-1.518426627643e-12,4.324689756609e-11
9.500000000000e-02,-6.708132666524e-15,8.574544716732e-12,4.430566202697e-11,1.400812380230e-16,4.672639233969e-12,-9.043993610673e-11,-4.368628063289e-21,-1.955181160444e-12,5.695780895762e-11
1.000000000000e-01,-6.805468625037e-15,1.059268745766e-11,6.141584416902e-11,3.888724138305e-16,5.636849871984e-12,-1.264154831185e-10,-1.050276774894e-20,-2.499186293010e-12,7.382811085963e-11
1.050000000000e-01,-3.094658122323e-15,1.292576387907e-11,8.421289510338e-11,6.986210053178e-16,6.728223178538e-12,-1.746184785960e-10,-1.472393626081e-20,-3.170521978461e-12,9.422742987046e-11
1.100000000000e-01,5.453533729556e-15,1.567964911603e-11,1.143092310202e-10,1.024561297890e-15,7.974043227511e-12,-2.385479883244e-10,-1.181686156877e-20,-3.927596859153e-12,1.184411184857e-10
1.150000000000e-01,1.880358559978e-14,1.877815413028e-11,1.536956988713e-10,1.298016370274e-15,9.265155148506e-12,-3.225137797488e-10,4.071750376767e-21,-4.924122028656e-12,1.466011891784e-10
1.200000000000e-01,3.518617042611e-14,2.222102165374e-11,2.048099150102e-10,1.410928882186e-15,1.061190072486e-11,-4.317743961356e-10,3.902614979848e-20,-6.119114328982e-12,1.785931240481e-10
1.250000000000e-01,4.703765795722e-14,2.599527868757e-11,2.706116726459e-10,1.155594689198e-15,1.197391257229e-11,-5.726857832312e-10,8.967787243960e-20,-7.555888265481e-12,2.139311156374e-10
1.300000000000e-01,4.569648010620e-14,3.015857109087e-11,3.546627339053e-10,4.667796456111e-16,1.337175890687e-11,-7.528522621521e-10,1.282746808300e-19,-9.161068177484e-12,2.515964288690e-10
1.350000000000e-01,2.401821617983e-14,3.460166808725e-11,4.612102569009e-10,-7.015314725733e-16,1.472109351238e-11,-9.812762302984e-10,1.210333989703e-19,-1.098027431502e-11,2.898347013263e-10
1.400000000000e-01,-2.238418617834e-14,3.912906339018e-11,5.952746715945e-10,-2.330137829627e-15,1.578636213085e-11,-1.268506210595e-09,3.394048179399e-20,-1.324393952131e-11,3.259043818639e-10
1.450000000000e-01,-9.367379075098e-14,4.359233959425e-11,7.627382913793e-10,-4.323940869090e-15,1.658038540722e-11,-1.626771014630e-09,-1.576048235314e-19,-1.584594872382e-11,3.557703790410e-10
1.500000000000e-01,-1.837202401053e-13,4.809940054655e-11,9.704287134107e-10,-6.482787375860e-15,1.709128389752e-11,-2.070082429147e-09,-4.587262591269e-19,-1.865658191693e-11,3.737435470999e-10
1.550000000000e-01,-2.650448541955e-13,5.228303873254e-11,1.226194586323e-09,-8.305397106672e-15,1.720637690779e-11,-2.614297277616e-09,-7.645856146308e-19,-2.188522325412e-11,3.720656375499e-10
1.600000000000e-01,-3.019755524549e-13,5.604835685851e-11,1.538973538940e-09,-9.320002235578e-15,1.678742294081e-11,-3.277132771531e-09,-8.672561385836e-19,-2.542094175566e-11,3.404351562502e-10
1.650000000000e-01,-2.614735335020e-13,5.931102253839e-11,1.918845248833e-09,-9.102730312938e-15,1.600809132925e-11,-4.078112603549e-09,-5.550823203406e-19,-2.914613914146e-11,2.654811517312e-10
1.700000000000e-01,-1.153834206188e-13,6.145628295174e-11,2.377059994519e-09,-7.294725664963e-15,1.435665213716e-11,-5.038417935708e-09,3.473318819874e-19,-3.349680897241e-11,1.302034094323e-10
1.750000000000e-01,1.544746213240e-13,6.258663621611e-11,2.926037887147e-09,-3.643490412385e-15,1.214388620918e-11,-6.180629298817e-09,1.923378100865e-18,-3.816472029367e-11,-8.660493699060e-11
1.800000000000e-01,5.554970930121e-13,6.275204589181e-11,3.579347522536e-09,2.063607544601e-15,9.692010877558e-12,-7.528364235186e-09,4.088261184755e-18,-4.290018372789e-11,-4.109592365187e-10
1.850000000000e-01,1.032454340027e-12,6.136980526596e-11,4.351627345182e-09,9.577618392678e-15,6.566821280065e-12,-9.105743896594e-09,6.013889625945e-18,-4.826506767063e-11,-8.742246338477e-10
1.900000000000e-01,1.456255174217e-12,5.889496010965e-11,5.258482628954e-09,1.774691994288e-14,3.389787106858e-12,-1.093673519003e-08,6.417253712453e-18,-5.371286901771e-11,-1.513636200888e-09
1.950000000000e-01,1.690862560760e-12,5.518798640716e-11,6.316310787782e-09,2.551491671955e-14,4.213725672828e-13,-1.304429627746e-08,4.002341221095e-18,-5.926921453818e-11,-2.372677674073e-09
2.000000000000e-01,1.584758619537e-12,5.025786153167e-11,7.542083939258e-09,3.164136571277e-14,-2.143563908356e-12,-1.544936912267e-08,-2.334462253580e-18,-6.498431465350e-11,-3.501340370010e-09
2.050000000000e-01,9.847029577401e-13,4.419434575430e-11,8.953069477533e-09,3.476913159397e-14,-3.801041115894e-12,-1.816969662044e-08,-1.322001924042e-17,-7.079262567254e-11,-4.956185481452e-09
2.100000000000e-01,-3.077789471551e-13,3.703452668739e-11,1.056647849518e-08,3.298971685503e-14,-4.079045231973e-12,-2.121846893560e-08,-2.851580975635e-17,-7.658892926621e-11,-6.800145094672e-09
2.150000000000e-01,-2.396157012996e-12,2.856522947892e-11,1.239904440838e-08,2.425834535099e-14,-2.580312653366e-12,-2.460282569113e-08,-4.419011639797e-17,-8.231767569157e-11,-9.102021492648e-09
2.200000000000e-01,-4.995156118845e-12,1.828663493911e-11,1.446653831407e-08,9.111215620677e-15,1.101910346243e-12,-2.832224727337e-08,-5.338474600882e-17,-8.790710373977e-11,-1.193565540386e-08
2.250000000000e-01,-7.767160953357e-12,5.006349905704e-12,1.678321327260e-08,-1.191579108373e-14,7.398594462704e-12,-3.236686662274e-08,-4.898116911125e-17,-9.322588279339e-11,-1.537870775262e-08
2.300000000000e-01,-1.022446321775e-11,-1.350047017044e-11,1.936117086834e-08,-3.746755011379e-14,1.615148890803e-11,-3.671574967429e-08,-2.432070278641e-17,-9.838078180337e-11,-1.951100689803e-08
2.350000000000e-01,-1.174462321427e-11,-4.080683974599e-11,2.220965819632e-08,-6.533094990453e-14,2.705469009148e-11,-4.133521361571e-08,2.542771569157e-17,-1.032696561873e-10,-2.441245460830e-08
2.400000000000e-01,-1.131779302157e-11,-8.256230161802e-11,2.533432052204e-08,-9.168553945721e-14,3.960940576292e-11,-4.617725885753e-08,1.026689550272e-16,-1.076111817802e-10,-3.016054150036e-08
2.450000000000e-01,-7.718989175024e-12,-1.471444303325e-10,2.873637090798e-08,-1.096854539507e-13,5.253424998615e-11,-5.117818274711e-08,1.905438183071e-16,-1.112830816086e-10,-3.682738435105e-08
2.500000000000e-01,-8.531085865622e-13,-2.477054213889e-10,3.241174194452e-08,-1.145489587121e-13,6.306637437935e-11,-5.625747664272e-08,2.540653540571e-16,-1.147681172362e-10,-4.447646511415e-08
2.550000000000e-01,9.177997991124e-12,-4.006137861698e-10,3.635017820143e-08,-1.017700073935e-13,6.842209034918e-11,-6.131708875433e-08,2.528068888875e-16,-1.172999478124e-10,-5.315900515332e-08
2.600000000000e-01,2.169862193655e-11,-6.313224916586e-10,4.053432864261e-08,-6.782854492820e-14,6.303700884817e-11,-6.624114874304e-08,1.421591092514e-16,-1.202731323784e-10,-6.291017970717e-08
