t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,-1.453333333333e+00,-1.326632146162e-11,2.546117384552e-07,-2.546250047767e-07
4.500000000000e-01,x,-1.440000000000e+00,-2.852761932253e-11,2.323710106050e-07,-2.323995382244e-07
4.500000000000e-01,x,-1.426666666667e+00,-2.892770151824e-11,2.070469333310e-07,-2.070758610325e-07
4.500000000000e-01,x,-1.413333333333e+00,-7.503133120264e-12,1.792610542410e-07,-1.792685573742e-07
4.500000000000e-01,x,-1.400000000000e+00,1.987747291563e-11,1.498610440287e-07,-1.498411665558e-07
4.500000000000e-01,x,-1.386666666667e+00,2.421491717178e-11,1.198682308039e-07,-1.198440158867e-07
4.500000000000e-01,x,-1.373333333333e+00,3.364203414334e-11,9.040173994547e-08,-9.036809791132e-08
4.500000000000e-01,x,-1.360000000000e+00,8.729394735753e-11,6.258921301417e-08,-6.250191906681e-08
4.500000000000e-01,x,-1.346666666667e+00,1.887504367331e-10,3.747564553745e-08,-3.728689510072e-08
4.500000000000e-01,x,-1.333333333333e+00,3.028318722275e-10,1.594163470405e-08,-1.563880283183e-08
4.500000000000e-01,x,-1.320000000000e+00,3.896030612097e-10,-1.359580279565e-09,1.749183340775e-09
4.500000000000e-01,x,-1.306666666667e+00,5.111084764294e-10,-1.404005335285e-08,1.455116182928e-08
4.500000000000e-01,x,-1.293333333333e+00,7.070518834439e-10,-2.198762312159e-08,2.269467500503e-08
4.500000000000e-01,x,-1.280000000000e+00,9.437529074664e-10,-2.535038116840e-08,2.629413407587e-08
4.500000000000e-01,x,-1.266666666667e+00,1.105802212871e-09,-2.449982348117e-08,2.560562569404e-08
4.500000000000e-01,x,-1.253333333333e+00,1.096376156914e-09,-1.997968723529e-08,2.107606339220e-08
4.500000000000e-01,x,-1.240000000000e+00,9.310204455923e-10,-1.244854128783e-08,1.337956173342e-08
4.500000000000e-01,x,-1.226666666667e+00,5.166048582493e-10,-2.624002474558e-09,3.140607332808e-09
4.500000000000e-01,x,-1.213333333333e+00,-4.005260948485e-10,8.764852020744e-09,-9.165378115592e-09
4.500000000000e-01,x,-1.200000000000e+00,-2.242162271082e-09,2.101242145188e-08,-2.325458372296e-08
4.500000000000e-01,x,-1.186666666667e+00,-5.389643405307e-09,3.345696606683e-08,-3.884660947213e-08
