t,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,error_0_9_0_0_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,error_0_0_0_9_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_,error_0_65_0_65_
5.000000000000e-02,8.035152524664e-13,1.137201085339e-12,-3.336858328722e-13,5.704010009413e-13,-2.053868894435e-12,2.624269895376e-12,-1.325375108264e-13,2.251975941405e-12,-2.384513452232e-12
5.500000000000e-02,1.100463907397e-12,1.874653101432e-12,-7.741891940348e-13,7.491420106903e-13,-3.445766760042e-12,4.194908770733e-12,-1.902961235582e-13,3.591398322438e-12,-3.781694445996e-12
6.000000000000e-02,1.484924829157e-12,2.994081312128e-12,-1.509156482972e-12,9.734800137545e-13,-5.596331531414e-12,6.569811545169e-12,-2.631647035419e-13,5.527984151723e-12,-5.791148855265e-12
6.500000000000e-02,1.971850730221e-12,4.655903515305e-12,-2.684052785084e-12,1.248312253953e-12,-8.841085242765e-12,1.008939749672e-11,-3.643562774486e-13,8.253527078806e-12,-8.617883356254e-12
7.000000000000e-02,2.592269186021e-12,7.076007384589e-12,-4.483738198567e-12,1.592442115414e-12,-1.363648943545e-11,1.522893155087e-11,-4.901064038325e-13,1.199928605018e-11,-1.248939245402e-11
7.500000000000e-02,3.358026526126e-12,1.054144586765e-11,-7.183419341522e-12,2.006040984655e-12,-2.059486030494e-11,2.260090128959e-11,-6.617104874823e-13,1.703783707405e-11,-1.769954756153e-11
8.000000000000e-02,4.310658173056e-12,1.542991160910e-11,-1.111925343605e-11,2.511284211606e-12,-3.052738473745e-11,3.303866894906e-11,-8.789411674670e-13,2.368362279989e-11,-2.456256396736e-11
8.500000000000e-02,5.472333661348e-12,2.223367032560e-11,-1.676133666425e-11,3.118038128549e-12,-4.449673510418e-11,4.761477323273e-11,-1.156925016500e-12,3.229094345848e-11,-3.344786847498e-11
9.000000000000e-02,6.871777190674e-12,3.158814192923e-11,-2.471636473856e-11,3.831523952484e-12,-6.387961082757e-11,6.771113478005e-11,-1.518426627643e-12,4.324689756609e-11,-4.476532419373e-11
9.500000000000e-02,8.574544716732e-12,4.430566202697e-11,-3.573111731024e-11,4.672639233969e-12,-9.043993610673e-11,9.511257534070e-11,-1.955181160444e-12,5.695780895762e-11,-5.891299011806e-11
1.000000000000e-01,1.059268745766e-11,6.141584416902e-11,-5.082315671136e-11,5.636849871984e-12,-1.264154831185e-10,1.320523329905e-10,-2.499186293010e-12,7.382811085963e-11,-7.632729715264e-11
1.050000000000e-01,1.292576387907e-11,8.421289510338e-11,-7.128713122431e-11,6.728223178538e-12,-1.746184785960e-10,1.813467017745e-10,-3.170521978461e-12,9.422742987046e-11,-9.739795184892e-11
1.100000000000e-01,1.567964911603e-11,1.143092310202e-10,-9.862958190418e-11,7.974043227511e-12,-2.385479883244e-10,2.465220315519e-10,-3.927596859153e-12,1.184411184857e-10,-1.223687153448e-10
1.150000000000e-01,1.877815413028e-11,1.536956988713e-10,-1.349175447410e-10,9.265155148506e-12,-3.225137797488e-10,3.317789348973e-10,-4.924122028656e-12,1.466011891784e-10,-1.515253112071e-10
1.200000000000e-01,2.222102165374e-11,2.048099150102e-10,-1.825888933565e-10,1.061190072486e-11,-4.317743961356e-10,4.423862968604e-10,-6.119114328982e-12,1.785931240481e-10,-1.847122383771e-10
1.250000000000e-01,2.599527868757e-11,2.706116726459e-10,-2.446163939583e-10,1.197391257229e-11,-5.726857832312e-10,5.846596958035e-10,-7.555888265481e-12,2.139311156374e-10,-2.214870039029e-10
1.300000000000e-01,3.015857109087e-11,3.546627339053e-10,-3.245041628144e-10,1.337175890687e-11,-7.528522621521e-10,7.662240210590e-10,-9.161068177484e-12,2.515964288690e-10,-2.607574970465e-10
1.350000000000e-01,3.460166808725e-11,4.612102569009e-10,-4.266085888137e-10,1.472109351238e-11,-9.812762302984e-10,9.959973238108e-10,-1.098027431502e-11,2.898347013263e-10,-3.008149756413e-10
1.400000000000e-01,3.912906339018e-11,5.952746715945e-10,-5.561456082043e-10,1.578636213085e-11,-1.268506210595e-09,1.284292572726e-09,-1.324393952131e-11,3.259043818639e-10,-3.391483213853e-10
1.450000000000e-01,4.359233959425e-11,7.627382913793e-10,-7.191459517850e-10,1.658038540722e-11,-1.626771014630e-09,1.643351400037e-09,-1.584594872382e-11,3.557703790410e-10,-3.716163277648e-10
1.500000000000e-01,4.809940054655e-11,9.704287134107e-10,-9.223293128642e-10,1.709128389752e-11,-2.070082429147e-09,2.087173713045e-09,-1.865658191693e-11,3.737435470999e-10,-3.924001290168e-10
1.550000000000e-01,5.228303873254e-11,1.226194586323e-09,-1.173911547591e-09,1.720637690779e-11,-2.614297277616e-09,2.631503654524e-09,-2.188522325412e-11,3.720656375499e-10,-3.939508608040e-10
1.600000000000e-01,5.604835685851e-11,1.538973538940e-09,-1.482925182082e-09,1.678742294081e-11,-3.277132771531e-09,3.293920194471e-09,-2.542094175566e-11,3.404351562502e-10,-3.658560980058e-10
1.650000000000e-01,5.931102253839e-11,1.918845248833e-09,-1.859534226295e-09,1.600809132925e-11,-4.078112603549e-09,4.094120694878e-09,-2.914613914146e-11,2.654811517312e-10,-2.946272908727e-10
1.700000000000e-01,6.145628295174e-11,2.377059994519e-09,-2.315603711567e-09,1.435665213716e-11,-5.038417935708e-09,5.052774587846e-09,-3.349680897241e-11,1.302034094323e-10,-1.637002184047e-10
1.750000000000e-01,6.258663621611e-11,2.926037887147e-09,-2.863451250931e-09,1.214388620918e-11,-6.180629298817e-09,6.192773185026e-09,-3.816472029367e-11,-8.660493699060e-11,4.844021669693e-11
1.800000000000e-01,6.275204589181e-11,3.579347522536e-09,-3.516595476644e-09,9.692010877558e-12,-7.528364235186e-09,7.538056246063e-09,-4.290018372789e-11,-4.109592365187e-10,3.680590527908e-10
1.850000000000e-01,6.136980526596e-11,4.351627345182e-09,-4.290257539916e-09,6.566821280065e-12,-9.105743896594e-09,9.112310717874e-09,-4.826506767063e-11,-8.742246338477e-10,8.259595661771e-10
1.900000000000e-01,5.889496010965e-11,5.258482628954e-09,-5.199587668844e-09,3.389787106858e-12,-1.093673519003e-08,1.094012497713e-08,-5.371286901771e-11,-1.513636200888e-09,1.459923331870e-09
1.950000000000e-01,5.518798640716e-11,6.316310787782e-09,-6.261122801375e-09,4.213725672828e-13,-1.304429627746e-08,1.304471765003e-08,-5.926921453818e-11,-2.372677674073e-09,2.313408459535e-09
2.000000000000e-01,5.025786153167e-11,7.542083939258e-09,-7.491826077727e-09,-2.143563908356e-12,-1.544936912267e-08,1.544722555876e-08,-6.498431465350e-11,-3.501340370010e-09,3.436356055357e-09
2.050000000000e-01,4.419434575430e-11,8.953069477533e-09,-8.908875131779e-09,-3.801041115894e-12,-1.816969662044e-08,1.816589557933e-08,-7.079262567254e-11,-4.956185481452e-09,4.885392855779e-09
2.100000000000e-01,3.703452668739e-11,1.056647849518e-08,-1.052944396849e-08,-4.079045231973e-12,-2.121846893560e-08,2.121438989037e-08,-7.658892926621e-11,-6.800145094672e-09,6.723556165406e-09
2.150000000000e-01,2.856522947892e-11,1.239904440838e-08,-1.237047917890e-08,-2.580312653366e-12,-2.460282569113e-08,2.460024537848e-08,-8.231767569157e-11,-9.102021492648e-09,9.019703816956e-09
2.200000000000e-01,1.828663493911e-11,1.446653831407e-08,-1.444825167913e-08,1.101910346243e-12,-2.832224727337e-08,2.832334918372e-08,-8.790710373977e-11,-1.193565540386e-08,1.184774830012e-08
2.250000000000e-01,5.006349905704e-12,1.678321327260e-08,-1.677820692270e-08,7.398594462704e-12,-3.236686662274e-08,3.237426521720e-08,-9.322588279339e-11,-1.537870775262e-08,1.528548186983e-08
2.300000000000e-01,-1.350047017044e-11,1.936117086834e-08,-1.937467133851e-08,1.615148890803e-11,-3.671574967429e-08,3.673190116320e-08,-9.838078180337e-11,-1.951100689803e-08,1.941262611623e-08
2.350000000000e-01,-4.080683974599e-11,2.220965819632e-08,-2.225046503606e-08,2.705469009148e-11,-4.133521361571e-08,4.136226830580e-08,-1.032696561873e-10,-2.441245460830e-08,2.430918495211e-08
2.400000000000e-01,-8.256230161802e-11,2.533432052204e-08,-2.541688282365e-08,3.960940576292e-11,-4.617725885753e-08,4.621686826329e-08,-1.076111817802e-10,-3.016054150036e-08,3.005293031858e-08
2.450000000000e-01,-1.471444303325e-10,2.873637090798e-08,-2.888351533831e-08,5.253424998615e-11,-5.117818274711e-08,5.123071699710e-08,-1.112830816086e-10,-3.682738435105e-08,3.671610126945e-08
2.500000000000e-01,-2.477054213889e-10,3.241174194452e-08,-3.265944736591e-08,6.306637437935e-11,-5.625747664272e-08,5.632054301710e-08,-1.147681172362e-10,-4.447646511415e-08,4.436169699691e-08
2.550000000000e-01,-4.006137861698e-10,3.635017820143e-08,-3.675079198760e-08,6.842209034918e-11,-6.131708875433e-08,6.138551084468e-08,-1.172999478124e-10,-5.315900515332e-08,5.304170520551e-08
2.600000000000e-01,-6.313224916586e-10,4.053432864261e-08,-4.116565113427e-08,6.303700884817e-11,-6.624114874304e-08,6.630418575189e-08,-1.202731323784e-10,-6.291017970717e-08,6.278990657479e-08
2.650000000000e-01,-9.698167733666e-10,4.493883811311e-08,-4.590865488648e-08,4.179073865310e-11,-7.089623594373e-08,7.093802668238e-08,-1.223266041030e-10,-7.374524214131e-08,7.362291553721e-08
2.700000000000e-01,-1.456911888811e-09,4.952946022907e-08,-5.098637211789e-08,-2.908203997974e-12,-7.513227345390e-08,7.512936524990e-08,-1.232127950654e-10,-8.565568688129e-08,8.553247408623e-08
2.750000000000e-01,-2.145873060401e-09,5.426222801964e-08,-5.640810108004e-08,-8.136007341208e-11,-7.878411220713e-08,7.870275213371e-08,-1.236379300601e-10,-9.860562734926e-08,9.848198941920e-08
2.800000000000e-01,-3.101942238388e-09,5.908271935452e-08,-6.218466159291e-08,-2.050362283615e-10,-8.167384371988e-08,8.146880749152e-08,-1.234752460448e-10,-1.125285777781e-07,1.124051025320e-07
2.850000000000e-01,-4.404931038922e-09,6.392545037407e-08,-6.833038141299e-08,-3.888041515034e-10,-8.361386453892e-08,8.322506038742e-08,-1.234150775967e-10,-1.273247977866e-07,1.272013827090e-07
2.900000000000e-01,-6.148910965837e-09,6.871344072203e-08,-7.486235168787e-08,-6.470937494210e-10,-8.441069277911e-08,8.376359902969e-08,-1.223370358321e-10,-1.428593607060e-07,1.427370236702e-07
2.950000000000e-01,-8.444683770007e-09,7.335800447513e-08,-8.180268824514e-08,-9.981735464251e-10,-8.386949683236e-08,8.287132328593e-08,-1.207443454821e-10,-1.589611277653e-07,1.588403834198e-07
3.000000000000e-01,-1.141735038532e-08,7.775881930618e-08,-8.917616969150e-08,-1.460531579239e-09,-8.179925779981e-08,8.033872622057e-08,-1.187612502177e-10,-1.754227894244e-07,1.753040281742e-07
3.050000000000e-01,-1.520346385151e-08,8.180432536117e-08,-9.700778921268e-08,-2.053496427952e-09,-7.801846672474e-08,7.596497029679e-08,-1.160679479516e-10,-1.920020742013e-07,1.918860062534e-07
3.100000000000e-01,-1.994642158378e-08,8.537250946753e-08,-1.053189310513e-07,-2.795593298514e-09,-7.236122724300e-08,6.956563394449e-08,-1.134862020709e-10,-2.084241932728e-07,2.083107070707e-07
3.150000000000e-01,-2.578630231007e-08,8.833212808058e-08,-1.141184303906e-07,-3.702420840666e-09,-6.468359013108e-08,6.098116929041e-08,-1.105857925523e-10,-2.243855742364e-07,2.242749884438e-07
3.200000000000e-01,-3.284862344029e-08,9.054441309934e-08,-1.233930365396e-07,-4.785292071583e-09,-5.486991499203e-08,5.008462292044e-08,-1.082170367077e-10,-2.395588865385e-07,2.394506695018e-07
3.250000000000e-01,-4.122349481094e-08,9.186529589282e-08,-1.330887907038e-07,-6.047676669987e-09,-4.283905013390e-08,3.679137346392e-08,-1.066388852497e-10,-2.535992791344e-07,2.534926402492e-07
3.300000000000e-01,-5.093911876085e-08,9.214817303750e-08,-1.430872917984e-07,-7.481177458646e-09,-2.855010928572e-08,2.106893182708e-08,-1.057292705032e-10,-2.661517013306e-07,2.660459720601e-07
3.350000000000e-01,-6.192847952173e-08,9.124721716374e-08,-1.531756966855e-07,-9.062936009626e-09,-1.200760216254e-08,2.944666152915e-09,-1.067853349806e-10,-2.768591509784e-07,2.767523656435e-07
3.400000000000e-01,-7.398144769560e-08,8.902121299896e-08,-1.630026606946e-07,-1.074908990486e-08,6.734322778846e-09,-1.748341268371e-08,-1.104017358029e-10,-2.853716433821e-07,2.852612416463e-07
3.450000000000e-01,-8.668413523203e-08,8.533787473876e-08,-1.720220099708e-07,-1.246812464448e-08,2.756873142059e-08,-4.003685606507e-08,-1.164223089419e-10,-2.913556257543e-07,2.912392034453e-07
3.500000000000e-01,-9.934930477254e-08,8.007857131435e-08,-1.794278760869e-07,-1.411838713874e-08,5.033403588379e-08,-6.445242302253e-08,-1.264074246515e-10,-2.945035325525e-07,2.943771251279e-07
3.550000000000e-01,-1.109204371337e-07,7.314335129771e-08,-1.840637884314e-07,-1.555756158255e-08,7.481357193343e-08,-9.037113351599e-08,-1.404647594995e-10,-2.945431767401e-07,2.944027119806e-07
3.600000000000e-01,-1.198632797419e-07,6.445612489632e-08,-1.843194046382e-07,-1.659764178974e-08,1.007367454148e-07,-1.173343872045e-07,-1.582142518849e-10,-2.912466584472e-07,2.910884441953e-07
3.650000000000e-01,-1.240371642125e-07,5.396982591742e-08,-1.780069901300e-07,-1.699999062546e-08,1.277818005360e-07,-1.447817911615e-07,-1.791078106411e-10,-2.844384520211e-07,2.842593442105e-07
3.700000000000e-01,-1.205405975572e-07,4.167133790093e-08,-1.622119354581e-07,-1.647071955239e-08,1.555802067744e-07,-1.720509263267e-07,-2.024468931963e-10,-2.740023526302e-07,2.737999057370e-07
3.750000000000e-01,-1.055396838455e-07,2.758592548237e-08,-1.331256093279e-07,-1.465616728107e-08,1.837226188393e-07,-1.983787861204e-07,-2.248641311629e-10,-2.598870122768e-07,2.596621481456e-07
3.800000000000e-01,-7.407337981013e-08,1.178086450675e-08,-8.585424431688e-08,-1.114341890573e-08,2.117663019409e-07,-2.229097208466e-07,-2.402946317297e-10,-2.421098330690e-07,2.418695384373e-07
3.850000000000e-01,-1.984575555895e-08,-5.632096144700e-09,-1.421365941425e-08,-5.467754964690e-09,2.392438365571e-07,-2.447115915218e-07,-2.417646063793e-10,-2.207590198046e-07,2.205172551982e-07
3.900000000000e-01,6.499746990955e-08,-2.449589747741e-08,8.949336738696e-08,2.882335690721e-09,2.656728653055e-07,-2.627905296147e-07,-2.169505370412e-10,-1.959936605296e-07,1.957767099926e-07
3.950000000000e-01,1.900959112813e-07,-4.460955068387e-08,2.347054619651e-07,1.444618645765e-08,2.905666128667e-07,-2.761204264091e-07,-1.487955041219e-10,-1.680417875740e-07,1.678929920698e-07
4.000000000000e-01,3.670924896536e-07,-6.573253577886e-08,4.328250254325e-07,2.976840566271e-08,3.134448710407e-07,-2.836764653780e-07,-1.402341918856e-11,-1.371964399422e-07,1.371824165231e-07
4.050000000000e-01,6.098292024640e-07,-8.759334838993e-08,6.974225508539e-07,4.936461063440e-08,3.338450997457e-07,-2.844804891113e-07,2.173156307849e-10,-1.038098077085e-07,1.040271233393e-07
4.100000000000e-01,9.345070534228e-07,-1.099038471427e-07,1.044410900566e-06,7.368094630302e-08,3.513332849587e-07,-2.776523386557e-07,5.859545148946e-10,-6.828561524593e-08,6.887156976082e-08
4.150000000000e-01,1.359769987457e-06,-1.323818484989e-07,1.492151835955e-06,1.030381187471e-07,3.655142089886e-07,-2.624760902415e-07,1.142243501013e-09,-3.106997646296e-08,3.221221996397e-08
