t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,-7.066666666667e-01,-2.804948228202e-04,-2.705777280539e-04,-9.917094766321e-06
4.500000000000e-01,x,-6.933333333333e-01,-4.160447958603e-04,-4.023205753475e-04,-1.372422051277e-05
4.500000000000e-01,x,-6.800000000000e-01,-6.046386905811e-04,-5.868888131624e-04,-1.774987741870e-05
4.500000000000e-01,x,-6.666666666667e-01,-8.634083681182e-04,-8.402473868854e-04,-2.316098123286e-05
4.500000000000e-01,x,-6.533333333333e-01,-1.211036630215e-03,-1.180945113550e-03,-3.009151666508e-05
4.500000000000e-01,x,-6.400000000000e-01,-1.666984330313e-03,-1.629558284661e-03,-3.742604565239e-05
4.500000000000e-01,x,-6.266666666667e-01,-2.250686677558e-03,-2.207610453196e-03,-4.307622436186e-05
4.500000000000e-01,x,-6.133333333333e-01,-2.980793134442e-03,-2.935859304950e-03,-4.493382949200e-05
4.500000000000e-01,x,-6.000000000000e-01,-3.873420186434e-03,-3.831886881350e-03,-4.153330508349e-05
4.500000000000e-01,x,-5.866666666667e-01,-4.939614402055e-03,-4.907005933491e-03,-3.260846856431e-05
4.500000000000e-01,x,-5.733333333333e-01,-6.182572188338e-03,-6.162602596205e-03,-1.996959213237e-05
4.500000000000e-01,x,-5.600000000000e-01,-7.592546573800e-03,-7.586167515657e-03,-6.379058142904e-06
4.500000000000e-01,x,-5.466666666667e-01,-9.133215149439e-03,-9.147410281887e-03,1.419513244792e-05
4.500000000000e-01,x,-5.333333333333e-01,-1.074842489418e-02,-1.079498422647e-02,4.655933229005e-05
4.500000000000e-01,x,-5.200000000000e-01,-1.236645314355e-02,-1.245444313801e-02,8.798999445865e-05
4.500000000000e-01,x,-5.066666666667e-01,-1.389956877273e-02,-1.402807867574e-02,1.285099030098e-04
4.500000000000e-01,x,-4.933333333333e-01,-1.524071934576e-02,-1.539722073332e-02,1.565013875520e-04
4.500000000000e-01,x,-4.800000000000e-01,-1.625844636299e-02,-1.642740579229e-02,1.689594292945e-04
4.500000000000e-01,x,-4.666666666667e-01,-1.681093786721e-02,-1.697652942228e-02,1.655915550683e-04
4.500000000000e-01,x,-4.533333333333e-01,-1.675598492813e-02,-1.690571819168e-02,1.497332635451e-04
4.500000000000e-01,x,-4.400000000000e-01,-1.596101963218e-02,-1.609222508731e-02,1.312054551254e-04
4.500000000000e-01,x,-4.266666666667e-01,-1.433499939299e-02,-1.444323192887e-02,1.082325358841e-04
4.500000000000e-01,x,-4.133333333333e-01,-1.184903904207e-02,-1.190910430278e-02,6.006526070188e-05
4.500000000000e-01,x,-4.000000000000e-01,-8.511296449952e-03,-8.494460713948e-03,-1.683573600352e-05
4.500000000000e-01,x,-3.866666666667e-01,-4.370729777198e-03,-4.265444731509e-03,-1.052850456890e-04
4.500000000000e-01,x,-3.733333333333e-01,4.746013409737e-04,6.481445972471e-04,-1.735432562734e-04
4.500000000000e-01,x,-3.600000000000e-01,5.851943152550e-03,6.056712436143e-03,-2.047692835928e-04
4.500000000000e-01,x,-3.466666666667e-01,1.151944809027e-02,1.172089115055e-02,-2.014430602792e-04
4.500000000000e-01,x,-3.333333333333e-01,1.719336728839e-02,1.736713362443e-02,-1.737663360359e-04
4.500000000000e-01,x,-3.200000000000e-01,2.256298819808e-02,2.270753868064e-02,-1.445504825581e-04
4.500000000000e-01,x,-3.066666666667e-01,2.731817434137e-02,2.746196333751e-02,-1.437889961412e-04
4.500000000000e-01,x,-2.933333333333e-01,3.123370519759e-02,3.138010915535e-02,-1.464039577573e-04
4.500000000000e-01,x,-2.800000000000e-01,3.413679514715e-02,3.426120800825e-02,-1.244128611014e-04
4.500000000000e-01,x,-2.666666666667e-01,3.588577062264e-02,3.596919351317e-02,-8.342289053292e-05
4.500000000000e-01,x,-2.533333333333e-01,3.638746241124e-02,3.644179230714e-02,-5.432989590314e-05
4.500000000000e-01,x,-2.400000000000e-01,3.561962403376e-02,3.569272158218e-02,-7.309754842130e-05
4.500000000000e-01,x,-2.266666666667e-01,3.365203578724e-02,3.380702092791e-02,-1.549851406659e-04
4.500000000000e-01,x,-2.133333333333e-01,3.063772477425e-02,3.093035164899e-02,-2.926268747409e-04
4.500000000000e-01,x,-2.000000000000e-01,2.680386785013e-02,2.725375067219e-02,-4.498828220567e-04
4.500000000000e-01,x,-1.866666666667e-01,2.244371427550e-02,2.299574485429e-02,-5.520305787937e-04
4.500000000000e-01,x,-1.733333333333e-01,1.781071819167e-02,1.838387377795e-02,-5.731555862796e-04
4.500000000000e-01,x,-1.600000000000e-01,1.303526563487e-02,1.363754010897e-02,-6.022744741090e-04
4.500000000000e-01,x,-1.466666666667e-01,8.276794542734e-03,8.953752191678e-03,-6.769576489443e-04
4.500000000000e-01,x,-1.333333333333e-01,3.727999746381e-03,4.496818085165e-03,-7.688183387840e-04
4.500000000000e-01,x,-1.200000000000e-01,-4.070459361190e-04,3.924805434511e-04,-7.995264795701e-04
4.500000000000e-01,x,-1.066666666667e-01,-4.025044890911e-03,-3.273567660606e-03,-7.514772303054e-04
4.500000000000e-01,x,-9.333333333333e-02,-7.125347741539e-03,-6.453310646633e-03,-6.720370949058e-04
4.500000000000e-01,x,-8.000000000000e-02,-9.721147326163e-03,-9.131029184427e-03,-5.901181417357e-04
4.500000000000e-01,x,-6.666666666667e-02,-1.184222116916e-02,-1.131593752039e-02,-5.262836487720e-04
4.500000000000e-01,x,-5.333333333333e-02,-1.353617467157e-02,-1.303388461326e-02,-5.022900583153e-04
4.500000000000e-01,x,-4.000000000000e-02,-1.480402520078e-02,-1.431906476306e-02,-4.849604377273e-04
4.500000000000e-01,x,-2.666666666667e-02,-1.564407243433e-02,-1.520649567654e-02,-4.375767577926e-04
4.500000000000e-01,x,-1.333333333333e-02,-1.609074682305e-02,-1.572579979639e-02,-3.649470266603e-04
4.500000000000e-01,x,0.000000000000e+00,-1.621635330669e-02,-1.589661508863e-02,-3.197382180667e-04
4.500000000000e-01,x,1.333333333333e-02,-1.609074643555e-02,-1.572579979639e-02,-3.649466391613e-04
4.500000000000e-01,x,2.666666666667e-02,-1.564407171924e-02,-1.520649567654e-02,-4.375760427081e-04
4.500000000000e-01,x,4.000000000000e-02,-1.480402426394e-02,-1.431906476306e-02,-4.849595008831e-04
4.500000000000e-01,x,5.333333333333e-02,-1.353617363318e-02,-1.303388461326e-02,-5.022890199284e-04
4.500000000000e-01,x,6.666666666667e-02,-1.184222011175e-02,-1.131593752039e-02,-5.262825913582e-04
4.500000000000e-01,x,8.000000000000e-02,-9.721146297481e-03,-9.131029184427e-03,-5.901171130537e-04
4.500000000000e-01,x,9.333333333333e-02,-7.125346825350e-03,-6.453310646633e-03,-6.720361787173e-04
4.500000000000e-01,x,1.066666666667e-01,-4.025044153950e-03,-3.273567660606e-03,-7.514764933444e-04
4.500000000000e-01,x,1.200000000000e-01,-4.070453704434e-04,3.924805434511e-04,-7.995259138944e-04
4.500000000000e-01,x,1.333333333333e-01,3.728000265398e-03,4.496818085165e-03,-7.688178197670e-04
4.500000000000e-01,x,1.466666666667e-01,8.276795162480e-03,8.953752191678e-03,-6.769570291984e-04
4.500000000000e-01,x,1.600000000000e-01,1.303526641780e-02,1.363754010897e-02,-6.022736911708e-04
4.500000000000e-01,x,1.733333333333e-01,1.781071913926e-02,1.838387377795e-02,-5.731546386861e-04
4.500000000000e-01,x,1.866666666667e-01,2.244371535595e-02,2.299574485429e-02,-5.520294983429e-04
4.500000000000e-01,x,2.000000000000e-01,2.680386902333e-02,2.725375067219e-02,-4.498816488567e-04
4.500000000000e-01,x,2.133333333333e-01,3.063772599738e-02,3.093035164899e-02,-2.926256516040e-04
4.500000000000e-01,x,2.266666666667e-01,3.365203701796e-02,3.380702092791e-02,-1.549839099472e-04
4.500000000000e-01,x,2.400000000000e-01,3.561962522505e-02,3.569272158218e-02,-7.309635712810e-05
4.500000000000e-01,x,2.533333333333e-01,3.638746348384e-02,3.644179230714e-02,-5.432882330397e-05
4.500000000000e-01,x,2.666666666667e-01,3.588577145600e-02,3.596919351317e-02,-8.342205717401e-05
4.500000000000e-01,x,2.800000000000e-01,3.413679569977e-02,3.426120800825e-02,-1.244123084841e-04
4.500000000000e-01,x,2.933333333333e-01,3.123370550158e-02,3.138010915535e-02,-1.464036537707e-04
