t,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,error_0_4_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,error_0_7_0_0_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_,error_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,-9.381502828424e-14,6.832081735988e-14,-1.621358456441e-13,6.616790564783e-17,6.832298874172e-14,-6.825682083607e-14,-7.932404608636e-18,6.832305424475e-14,-6.833098664936e-14
2.000000000000e-02,-9.472717041404e-13,3.866335883432e-13,-1.333905292484e-12,6.403066633306e-16,3.866459019986e-13,-3.860055953353e-13,-8.079528868263e-17,3.866462727339e-13,-3.867270680226e-13
3.000000000000e-02,-4.972004023888e-12,1.272829469128e-12,-6.244833493016e-12,3.174513849255e-15,1.272870179534e-12,-1.269695665685e-12,-4.280177390476e-16,1.272871400140e-12,-1.273299417879e-12
4.000000000000e-02,-1.849535680169e-11,3.412833497369e-12,-2.190819029906e-11,1.098427462744e-14,3.412943535978e-12,-3.401959261351e-12,-1.605201829436e-15,3.412946808941e-12,-3.414552010770e-12
5.000000000000e-02,-5.568875266881e-11,8.214565109106e-12,-6.390331777791e-11,3.031971168823e-14,8.214833955084e-12,-8.184514243396e-12,-4.857065924999e-15,8.214841832880e-12,-8.219698898805e-12
6.000000000000e-02,-1.458372815269e-10,1.847839283640e-11,-1.643156743633e-10,7.188067110247e-14,1.847901430289e-11,-1.840713363179e-11,-1.271546444142e-14,1.847903202414e-11,-1.849174748858e-11
7.000000000000e-02,-3.465020872700e-10,3.956358320819e-11,-3.860656704782e-10,1.530268850898e-13,3.956498010668e-11,-3.941195322159e-11,-2.999492412184e-14,3.956501804925e-11,-3.959501297338e-11
8.000000000000e-02,-7.663921499312e-10,8.133918390439e-11,-8.477313338356e-10,3.007081913738e-13,8.134230724899e-11,-8.104159905762e-11,-6.534420184520e-14,8.134238525638e-11,-8.140772945822e-11
9.000000000000e-02,-1.603185796671e-09,1.612767961189e-10,-1.764462592790e-09,5.544213296039e-13,1.612839050566e-10,-1.607294837269e-10,-1.334561562695e-13,1.612840597266e-10,-1.614175158829e-10
1.000000000000e-01,-3.202455404496e-09,3.090792352259e-10,-3.511534639722e-09,9.667582557723e-13,3.090960728177e-10,-3.081293145619e-10,-2.577821120607e-13,3.090963692476e-10,-3.093541513596e-10
1.100000000000e-01,-6.142905007740e-09,5.731716262860e-10,-6.716076634026e-09,1.595679138607e-12,5.732137231900e-10,-5.716180440514e-10,-4.729072452525e-13,5.732142729151e-10,-5.736871801604e-10
1.200000000000e-01,-1.134794737537e-08,1.029130398473e-09,-1.237707777384e-08,2.476831785557e-12,1.029241492622e-09,-1.026764660836e-09,-8.242517164543e-13,1.029242479696e-09,-1.030066731413e-09
1.300000000000e-01,-2.021060627591e-08,1.789606904053e-09,-2.200021317996e-08,3.555874747179e-12,1.789912132598e-09,-1.786356257851e-09,-1.359941037642e-12,1.789913849181e-09,-1.791273790219e-09
1.400000000000e-01,-3.469315572701e-08,3.014462088120e-09,-3.770761781513e-08,4.550953709669e-12,3.015317996264e-09,-3.010767042555e-09,-2.104830188821e-12,3.015320888052e-09,-3.017425718240e-09
1.500000000000e-01,-5.731998450678e-08,4.918688418709e-09,-6.223867292549e-08,4.708154948937e-12,4.921093581717e-09,-4.916385426768e-09,-2.999266649807e-12,4.921098301247e-09,-4.924097567897e-09
1.600000000000e-01,-9.091897069957e-08,7.774391717288e-09,-9.869336241685e-08,2.416134303736e-12,7.781074644791e-09,-7.778658510487e-09,-3.775180266850e-12,7.781082107141e-09,-7.784857287408e-09
1.700000000000e-01,-1.378854726265e-07,1.190188810895e-08,-1.497873607355e-07,-5.326058039548e-12,1.192009407781e-08,-1.192542013585e-08,-3.730171304302e-12,1.192010550969e-08,-1.192383568100e-08
1.800000000000e-01,-1.986558911216e-07,1.764410968702e-08,-2.163000008087e-07,-2.352221210639e-11,1.769250252226e-08,-1.771602473437e-08,-1.350286530568e-12,1.769251949018e-08,-1.769386977671e-08
1.900000000000e-01,-2.690110102574e-07,2.531806026682e-08,-2.943290705242e-07,-5.967033734710e-11,2.544325404259e-08,-2.550292437994e-08,6.269894166521e-12,2.544327844391e-08,-2.543700854975e-08
2.000000000000e-01,-3.358269044190e-07,3.513643883198e-08,-3.709633432510e-07,-1.237121495575e-10,3.545132258257e-08,-3.557503473213e-08,2.424433347097e-11,3.545135658192e-08,-3.542711224845e-08
2.100000000000e-01,-3.710138965650e-07,4.708992662286e-08,-4.181038231878e-07,-2.267283582458e-10,4.785972688444e-08,-4.808645524269e-08,6.093044548464e-11,4.785977278479e-08,-4.779884233931e-08
2.200000000000e-01,-3.237025245933e-07,6.077215484802e-08,-3.844746794413e-07,-3.773470417573e-10,6.260182052404e-08,-6.297916756579e-08,1.290519824511e-10,6.260188056373e-08,-6.247282858128e-08
2.300000000000e-01,-1.113154288267e-07,7.510819451295e-08,-1.864236233396e-07,-5.745900769692e-10,7.933837631843e-08,-7.991296639540e-08,2.465888366566e-10,7.933845240984e-08,-7.909186357318e-08
2.400000000000e-01,3.889558980221e-07,8.790258044249e-08,3.010533175797e-07,-7.959001484623e-10,9.742258585981e-08,-9.821848600827e-08,4.368195570189e-10,9.742267929435e-08,-9.698585973733e-08
2.500000000000e-01,1.345585182249e-06,9.503787822478e-08,1.250547304024e-06,-9.796256375854e-10,1.159087593890e-07,-1.168883850265e-07,7.264975075515e-10,1.159088705535e-07,-1.151823730459e-07
2.600000000000e-01,2.971013327139e-06,8.900560238738e-08,2.882007724751e-06,-1.002583987041e-09,1.336144084017e-07,-1.346169923887e-07,1.140640912409e-09,1.336145365492e-07,-1.324738956368e-07
2.700000000000e-01,5.507407035961e-06,5.620382667084e-08,5.451203209290e-06,-6.557282102003e-10,1.492350621680e-07,-1.498907903782e-07,1.691873863051e-09,1.492352052945e-07,-1.475433314315e-07
2.800000000000e-01,9.193356638309e-06,-2.795692941184e-08,9.221313567721e-06,3.754768320618e-10,1.614987111838e-07,-1.611232343517e-07,2.361779103237e-09,1.614988660713e-07,-1.591370869681e-07
2.900000000000e-01,1.420448611356e-05,-2.076981760487e-07,1.441218428961e-05,2.514781655656e-09,1.693354568261e-07,-1.668206751705e-07,3.071494878023e-09,1.693356192318e-07,-1.662641243537e-07
3.000000000000e-01,2.056138653168e-05,-5.617111255536e-07,2.112309765723e-05,6.266839640274e-09,1.720312782958e-07,-1.657644386555e-07,3.639046283299e-09,1.720314432876e-07,-1.683923970043e-07
3.100000000000e-01,2.799997604039e-05,-1.227881615556e-06,2.922785765595e-05,1.213650495709e-08,1.693353364140e-07,-1.571988314569e-07,3.721984705919e-09,1.693354988197e-07,-1.656135141138e-07
3.200000000000e-01,3.580252970709e-05,-2.443283971368e-06,3.824581367845e-05,2.047362933467e-08,1.614984703591e-07,-1.410248410244e-07,2.746205009828e-09,1.614986252488e-07,-1.587524202389e-07
3.300000000000e-01,4.259223582390e-05,-4.606966568780e-06,4.719920239268e-05,3.122405845354e-08,1.492347009284e-07,-1.180106424749e-07,-1.743169408909e-10,1.492348440575e-07,-1.494091609984e-07
3.400000000000e-01,4.610003702500e-05,-8.375548843263e-06,5.447558586826e-05,4.357718474988e-08,1.336139267490e-07,-9.003674199914e-08,-6.316302927088e-09,1.336140548981e-07,-1.399303578252e-07
3.500000000000e-01,4.291929619781e-05,-1.480420397154e-05,5.772350016934e-05,5.551894017926e-08,1.159081573010e-07,-6.038921712173e-08,-1.740592998697e-08,1.159082684848e-07,-1.333141984718e-07
3.600000000000e-01,2.827086990642e-05,-2.554761129246e-05,5.381848119887e-05,6.332770102018e-08,9.742186328214e-08,-3.409416226196e-08,-3.562896917679e-08,9.742195678161e-08,-1.330509259584e-07
3.700000000000e-01,-4.192312977280e-06,-4.313592336996e-05,3.894361039268e-05,6.108896759532e-08,7.933753303298e-08,-1.824856543767e-08,-6.355196352869e-08,7.933760936674e-08,-1.428895728954e-07
3.800000000000e-01,-6.250697840327e-05,-7.133824144021e-05,8.831263036939e-06,4.035059496205e-08,6.260085577142e-08,-2.225026080936e-08,-1.039016336731e-07,6.260091667150e-08,-1.665025503446e-07
3.900000000000e-01,-1.564106043574e-04,-1.156186496341e-04,-4.079195472332e-05,-9.911007503187e-09,4.785863804361e-08,-5.776964554680e-08,-1.591380782887e-07,4.785868691843e-08,-2.069967652071e-07
4.000000000000e-01,-2.972054006396e-04,-1.836754328592e-04,-1.135299677804e-04,-1.027994234022e-07,3.545010101913e-08,-1.382495244213e-07,-2.307488669899e-07,3.545014494966e-08,-2.661990119396e-07
4.100000000000e-01,-4.974430011101e-04,-2.860308350772e-04,-2.114121660329e-04,-2.522382036565e-07,2.544187227783e-08,-2.776800759344e-07,-3.181888774993e-07,2.544192866515e-08,-3.436308061644e-07
4.200000000000e-01,-7.704062785304e-04,-4.366056808889e-04,-3.338005976415e-04,-4.706967641725e-07,1.769087620134e-08,-4.883876403738e-07,-4.173984491580e-07,1.769099261188e-08,-4.350894417698e-07
4.300000000000e-01,-1.129377553170e-03,-6.531713464635e-04,-4.762062067069e-04,-7.656942701079e-07,1.191797323515e-08,-7.776122433431e-07,-5.188543845910e-07,1.191828325751e-08,-5.307726678485e-07
4.400000000000e-01,-1.586699180647e-03,-9.575248292546e-04,-6.291743513923e-04,-1.134963118328e-06,7.777744008484e-09,-1.142740862336e-06,-6.051489960380e-07,7.778617839667e-09,-6.129276138777e-07
4.500000000000e-01,-2.152652167596e-03,-1.375188769916e-03,-7.774633976793e-04,-1.560304760224e-06,4.914575528699e-09,-1.565219335752e-06,-6.481559553159e-07,4.917010757044e-09,-6.530729660730e-07
4.600000000000e-01,-2.834199713710e-03,-1.934409144805e-03,-8.997905689050e-04,-2.000388097566e-06,3.000326137847e-09,-2.003388423704e-06,-6.059314846655e-07,3.006925632095e-09,-6.089384102976e-07
4.700000000000e-01,-3.633663671337e-03,-2.664224398696e-03,-9.694392726417e-04,-2.383022291532e-06,1.752775117161e-09,-2.384775066649e-06,-4.196171131393e-07,1.770109365033e-09,-4.213872225044e-07
4.800000000000e-01,-4.547420853249e-03,-3.591427845648e-03,-9.559930076006e-04,-2.597770345026e-06,9.357285759042e-10,-2.598706073602e-06,-1.075505525916e-08,9.798492635596e-10,-1.173490452272e-08
4.900000000000e-01,-5.564720832108e-03,-4.736354718484e-03,-8.283661136236e-04,-2.490135734347e-06,3.402792311966e-10,-2.490476013578e-06,7.204048232793e-07,4.491641141806e-10,7.199556591651e-07
5.000000000000e-01,-6.666735413057e-03,-6.107603343146e-03,-5.591320699113e-04,-1.858919397195e-06,-2.586393657257e-10,-1.858660757830e-06,1.894844667388e-06,2.104850720081e-12,1.894842562537e-06
5.100000000000e-01,-7.825950707799e-03,-7.696040513907e-03,-1.299101938920e-04,-4.586661942778e-07,-1.187407611097e-09,-4.574787866667e-07,3.652018278572e-06,-5.810206416319e-10,3.652599299214e-06
5.200000000000e-01,-9.006004602451e-03,-9.468720365283e-03,4.627157628323e-04,1.990651786137e-06,-3.038082247213e-09,1.993689868384e-06,6.143275116911e-06,-1.667339226363e-09,6.144942456137e-06
5.300000000000e-01,-1.016205497601e-02,-1.136362014843e-02,1.201565172420e-03,5.784487903397e-06,-6.985795321749e-09,5.791473698719e-06,9.520222776405e-06,-3.971231140325e-09,9.524194007545e-06
5.400000000000e-01,-1.124173764800e-02,-1.328630436465e-02,2.044566716646e-03,1.120300574770e-05,-1.539610232717e-08,1.121840185003e-05,1.391671769950e-05,-8.940336476372e-09,1.392565803598e-05
5.500000000000e-01,-1.218673887056e-02,-1.510970093961e-02,2.922962069053e-03,1.846706721620e-05,-3.296631749300e-08,1.850003353370e-05,1.942320568047e-05,-1.949185002427e-08,1.944269753049e-05
5.600000000000e-01,-1.293496714710e-02,-1.667804518218e-02,3.743078035074e-03,2.767985802897e-05,-6.882200681340e-08,2.774868003579e-05,2.605229297562e-05,-4.138812862822e-08,2.609368110425e-05
5.700000000000e-01,-1.342326581538e-02,-1.781567818615e-02,4.392412370770e-03,3.875405283118e-05,-1.402738950444e-07,3.889432672623e-05,3.369474541822e-05,-8.574548218360e-08,3.378049090041e-05
5.800000000000e-01,-1.359056419986e-02,-1.834077651403e-02,4.750212314170e-03,5.132568719151e-05,-2.793808108372e-07,5.160506800234e-05,4.206561187127e-05,-1.734953247462e-07,4.223910719602e-05
5.900000000000e-01,-1.338132448366e-02,-1.808329414430e-02,4.701969660639e-03,6.465742854854e-05,-5.441214427147e-07,6.520154999126e-05,5.064086615168e-05,-3.431154807451e-07,5.098398163243e-05
6.000000000000e-01,-1.274910702239e-02,-1.690552728815e-02,4.156420265762e-03,7.753565239442e-05,-1.036916718578e-06,7.857256911300e-05,5.858586219432e-05,-6.636840323794e-07,5.924954622670e-05
6.100000000000e-01,-1.166005159902e-02,-1.472292461507e-02,3.062873016050e-03,8.816753087652e-05,-1.934519606742e-06,9.010205048326e-05,6.467798817057e-05,-1.256342211586e-06,6.593433038216e-05
6.200000000000e-01,-1.009605855249e-02,-1.152223563184e-02,1.426177079352e-03,9.408609565524e-05,-3.534913986136e-06,9.762100964137e-05,6.722715398910e-05,-2.328631642981e-06,6.955578563208e-05
6.300000000000e-01,-8.057453520364e-03,-7.373976300584e-03,-6.834772197807e-04,9.207278822098e-05,-6.328766582017e-06,9.840155480300e-05,6.399909786639e-05,-4.227887565493e-06,6.822698543188e-05
6.400000000000e-01,-5.564933545253e-03,-2.436592575231e-03,-3.128340970022e-03,7.810818674413e-05,-1.110493315281e-05,8.921311989694e-05,5.214787223154e-05,-7.521812417345e-06,5.966968464889e-05
6.500000000000e-01,-2.660620346979e-03,3.049374053514e-03,-5.709994400493e-03,4.736222338542e-05,-1.910108252745e-05,6.646330591287e-05,2.816516432056e-05,-1.311623980159e-05,4.128140412215e-05
6.600000000000e-01,5.919124965677e-04,8.777472321161e-03,-8.185559824594e-03,-5.764884981947e-06,-3.221091875673e-05,2.644603377479e-05,-1.214480137279e-05,-2.242139359795e-05,1.027659222516e-05
6.700000000000e-01,4.108719979637e-03,1.440067392631e-02,-1.029195394667e-02,-8.754071527874e-05,-5.325765591472e-05,-3.428305936403e-05,-7.365528284401e-05,-3.757779857254e-05,-3.607748427146e-05
6.800000000000e-01,7.787695592185e-03,1.956314829161e-02,-1.177545269942e-02,-2.047293460352e-04,-8.633791710238e-05,-1.183914289328e-04,-1.618622089698e-04,-6.175020961538e-05,-1.001119993545e-04
6.900000000000e-01,1.151186858863e-02,2.393461707225e-02,-1.242274848362e-02,-3.643452051071e-04,-1.372295067385e-04,-2.271156983686e-04,-2.827751630161e-04,-9.949101356865e-05,-1.832841494474e-04
7.000000000000e-01,1.515368191064e-02,2.724285021345e-02,-1.208916830281e-02,-5.733304246029e-04,-2.138391185487e-04,-3.594913060541e-04,-4.427459379301e-04,-1.571619511274e-04,-2.855839868028e-04
7.100000000000e-01,1.858008300731e-02,2.930000523239e-02,-1.071992222508e-02,-8.381587898739e-04,-3.266412520666e-04,-5.115175378073e-04,-6.482284652354e-04,-2.433834359006e-04,-4.048450293349e-04
