t,x,p_dibem,p_exact,error
8.000000000000e-01,-1.468085106383e+00,1.475828837504e-06,-3.935133484165e-12,1.475832772638e-06
8.000000000000e-01,-1.404255319149e+00,-6.175321604525e-07,-3.935412604730e-12,-6.175282250399e-07
8.000000000000e-01,-1.340425531915e+00,-1.169006985033e-07,-3.935667938164e-12,-1.168967628354e-07
8.000000000000e-01,-1.276595744681e+00,-8.036386902974e-09,-3.935922362002e-12,-8.032450980612e-09
8.000000000000e-01,-1.212765957447e+00,1.811254672728e-06,-3.936171669144e-12,1.811258608900e-06
8.000000000000e-01,-1.148936170213e+00,-6.423572060441e-07,-3.936401207311e-12,-6.423532696429e-07
8.000000000000e-01,-1.085106382979e+00,4.294236544916e-07,-3.942014878516e-12,4.294275965065e-07
8.000000000000e-01,-1.021276595745e+00,-1.676298136940e-06,-1.114856820461e-11,-1.676286988372e-06
8.000000000000e-01,-9.574468085106e-01,1.113940041539e-06,-2.621287447377e-09,1.116561328987e-06
8.000000000000e-01,-8.936170212766e-01,8.626891064142e-06,-3.144346136245e-07,8.941325677766e-06
8.000000000000e-01,-8.297872340426e-01,4.029394376845e-05,-1.521460605842e-05,5.550854982687e-05
8.000000000000e-01,-7.659574468085e-01,-4.268725400865e-04,-3.264110650672e-04,-1.004614750193e-04
8.000000000000e-01,-7.021276595745e-01,-3.631303931667e-03,-3.080954722746e-03,-5.503492089211e-04
8.000000000000e-01,-6.382978723404e-01,-1.062585388477e-02,-1.166925532796e-02,1.043401443185e-03
8.000000000000e-01,-5.744680851064e-01,-1.033214405246e-02,-1.161309886013e-02,1.280954807664e-03
8.000000000000e-01,-5.106382978723e-01,1.112099554709e-02,1.541508418162e-02,-4.294088634537e-03
8.000000000000e-01,-4.468085106383e-01,2.800555588799e-02,2.566496361622e-02,2.340592271763e-03
8.000000000000e-01,-3.829787234043e-01,6.627347024629e-03,3.898687246618e-03,2.728659778011e-03
8.000000000000e-01,-3.191489361702e-01,-1.137142635114e-02,-6.938146415736e-03,-4.433279935406e-03
8.000000000000e-01,-2.553191489362e-01,-2.163309601228e-03,-4.894158137890e-03,2.730848536662e-03
8.000000000000e-01,-1.914893617021e-01,-3.846836432253e-03,-2.622826660452e-03,-1.224009771800e-03
8.000000000000e-01,-1.276595744681e-01,-2.408791120147e-03,-1.740731391319e-03,-6.680597288277e-04
8.000000000000e-01,-6.382978723404e-02,-1.968918548104e-03,-1.413921375427e-03,-5.549971726774e-04
8.000000000000e-01,-5.377642775528e-17,-1.561543562082e-03,-1.325813449681e-03,-2.357301124013e-04
8.000000000000e-01,6.382978723404e-02,-1.971582226603e-03,-1.413921375427e-03,-5.576608511766e-04
8.000000000000e-01,1.276595744681e-01,-2.408585319228e-03,-1.740731391319e-03,-6.678539279087e-04
8.000000000000e-01,1.914893617021e-01,-3.845883208717e-03,-2.622826660452e-03,-1.223056548265e-03
8.000000000000e-01,2.553191489362e-01,-2.160500811337e-03,-4.894158137890e-03,2.733657326553e-03
8.000000000000e-01,3.191489361702e-01,-1.137410510158e-02,-6.938146415736e-03,-4.435958685848e-03
8.000000000000e-01,3.829787234043e-01,6.628237807599e-03,3.898687246618e-03,2.729550560981e-03
8.000000000000e-01,4.468085106383e-01,2.800420364783e-02,2.566496361622e-02,2.339240031610e-03
8.000000000000e-01,5.106382978723e-01,1.112599779118e-02,1.541508418162e-02,-4.289086390441e-03
8.000000000000e-01,5.744680851064e-01,-1.033434413124e-02,-1.161309886013e-02,1.278754728890e-03
8.000000000000e-01,6.382978723404e-01,-1.062497247387e-02,-1.166925532796e-02,1.044282854088e-03
8.000000000000e-01,7.021276595745e-01,-3.634333013577e-03,-3.080954722746e-03,-5.533782908308e-04
8.000000000000e-01,7.659574468085e-01,-4.217263561734e-04,-3.264110650672e-04,-9.531529110615e-05
8.000000000000e-01,8.297872340426e-01,3.888035910930e-05,-1.521460605842e-05,5.409496516772e-05
8.000000000000e-01,8.936170212766e-01,9.834346929810e-06,-3.144346136237e-07,1.014878154343e-05
8.000000000000e-01,9.574468085106e-01,-3.070617999866e-06,-2.621287445117e-09,-3.067996712421e-06
8.000000000000e-01,1.021276595745e+00,1.401610037058e-06,-1.114856820461e-11,1.401621185626e-06
8.000000000000e-01,1.085106382979e+00,-2.592602742366e-07,-3.942014878516e-12,-2.592563322218e-07
8.000000000000e-01,1.148936170213e+00,7.713361818046e-07,-3.936401299736e-12,7.713401182059e-07
8.000000000000e-01,1.212765957447e+00,-1.715776512152e-06,-3.936170197045e-12,-1.715772575981e-06
