t,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,error_0_4_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,error_0_7_0_0_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_,error_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-03,2.047464322628e-14,3.652929133378e-13,-3.448182701116e-13,9.385390753186e-18,3.653054315095e-13,-3.652960461187e-13,-1.649634655491e-17,3.653058108633e-13,-3.653223072099e-13
1.000000000000e-02,1.110780743550e-13,1.714356850737e-12,-1.603278776382e-12,5.021759049984e-17,1.714415599946e-12,-1.714365382356e-12,-9.088354296001e-17,1.714417380288e-12,-1.714508263831e-12
1.500000000000e-02,3.206621324708e-13,4.567629025634e-12,-4.246966893163e-12,1.401537002703e-16,4.567785554171e-12,-4.567645400470e-12,-2.709705305963e-16,4.567790297590e-12,-4.568061268121e-12
2.000000000000e-02,6.943549186641e-13,9.701698694699e-12,-9.007343776035e-12,2.922828445325e-16,9.702031165397e-12,-9.701738882553e-12,-6.077932943708e-16,9.702041240440e-12,-9.702649033734e-12
2.500000000000e-02,1.291958854624e-12,1.826474765573e-11,-1.697278880110e-11,5.084338736905e-16,1.826537358249e-11,-1.826486514862e-11,-1.189854530550e-15,1.826539255003e-11,-1.826658240456e-11
3.000000000000e-02,2.195571797373e-12,3.193879176435e-11,-2.974321996698e-11,7.989205134015e-16,3.193988631109e-11,-3.193908739058e-11,-2.135114066496e-15,3.193991947877e-11,-3.194205459284e-11
3.500000000000e-02,3.520252594699e-12,5.323346466674e-11,-4.971321207205e-11,1.174053238350e-15,5.323528902007e-11,-5.323411496683e-11,-3.606271934990e-15,5.323534430160e-11,-5.323895057353e-11
4.000000000000e-02,5.428431486382e-12,8.563740002237e-11,-8.020896853599e-11,1.641536807894e-15,8.564033496413e-11,-8.563869342733e-11,-5.860991710343e-15,8.564042389641e-11,-8.564628488812e-11
4.500000000000e-02,8.148820651285e-12,1.342110502597e-10,-1.260622296085e-10,2.146528069281e-15,1.342156500795e-10,-1.342135035514e-10,-9.297872874574e-15,1.342157894541e-10,-1.342250873270e-10
5.000000000000e-02,1.200099886736e-11,2.061261816965e-10,-1.941251828291e-10,2.839649767164e-15,2.061332466411e-10,-2.061304069914e-10,-1.429777205113e-14,2.061334606976e-10,-2.061477584697e-10
5.500000000000e-02,1.742570032600e-11,3.113485446915e-10,-2.939228443655e-10,3.643811608831e-15,3.113592169083e-10,-3.113555730967e-10,-2.168875760307e-14,3.113595402353e-10,-3.113812289929e-10
6.000000000000e-02,2.502291731863e-11,4.636744525742e-10,-4.386515352556e-10,4.525868410025e-15,4.636903477709e-10,-4.636858219025e-10,-3.235949919968e-14,4.636908292846e-10,-4.637231887838e-10
6.500000000000e-02,3.559817607973e-11,6.821562757716e-10,-6.465580996919e-10,5.547060732148e-15,6.821796641029e-10,-6.821741170421e-10,-4.763108979008e-14,6.821803725028e-10,-6.822280035926e-10
7.000000000000e-02,5.021647884484e-11,9.927623831304e-10,-9.425459042856e-10,6.317518053663e-15,9.927964276900e-10,-9.927901101719e-10,-6.965522020746e-14,9.927974586468e-10,-9.928671138670e-10
7.500000000000e-02,7.026715455225e-11,1.430281490400e-09,-1.360014335847e-09,6.902318488744e-15,1.430330552369e-09,-1.430323650051e-09,-1.006862417434e-13,1.430332037676e-09,-1.430432723918e-09
8.000000000000e-02,9.753590562738e-11,2.041036814385e-09,-1.943500908758e-09,7.799600860078e-15,2.041106853781e-09,-2.041099054181e-09,-1.432822744868e-13,2.041108973342e-09,-2.041252255616e-09
8.500000000000e-02,1.342815302704e-10,2.886453013205e-09,-2.752171482935e-09,7.061425401751e-15,2.886552116748e-09,-2.886545055322e-09,-2.033506825159e-13,2.886555114248e-09,-2.886758464930e-09
9.000000000000e-02,1.833245943194e-10,4.046926925087e-09,-3.863602330768e-09,5.199120391985e-15,4.047065975682e-09,-4.047060776562e-09,-2.850794639799e-13,4.047070178302e-09,-4.047355257766e-09
9.500000000000e-02,2.481268481515e-10,5.625959822597e-09,-5.377832974445e-09,1.524647728853e-15,5.626153326914e-09,-5.626151802266e-09,-3.955995909507e-13,5.626159169308e-09,-5.626554768899e-09
1.000000000000e-01,3.328686655884e-10,7.755821102200e-09,-7.422952436612e-09,-6.801362020423e-15,7.756088242202e-09,-7.756095043564e-09,-5.459192379417e-13,7.756096296395e-09,-7.756642215633e-09
1.050000000000e-01,4.425114186629e-10,1.060460614160e-08,-1.016209472294e-08,-2.076678495562e-14,1.060497212131e-08,-1.060499288810e-08,-7.467481196150e-13,1.060498313390e-08,-1.060572988202e-08
1.100000000000e-01,5.828276178834e-10,1.438304387096e-08,-1.380021625308e-08,-4.566034461249e-14,1.438354159169e-08,-1.438358725203e-08,-1.015522785018e-12,1.438355652806e-08,-1.438457205084e-08
1.150000000000e-01,7.603960776528e-10,1.935090019376e-08,-1.859050411611e-08,-8.624085860104e-14,1.935157231614e-08,-1.935165855700e-08,-1.367467860244e-12,1.935159241149e-08,-1.935295987935e-08
1.200000000000e-01,9.825325936934e-10,2.582565701707e-08,-2.484312442338e-08,-1.418248162651e-13,2.582655861189e-08,-2.582670043671e-08,-1.821854728523e-12,2.582658543109e-08,-2.582840728582e-08
1.250000000000e-01,1.257123003204e-09,3.419260691784e-08,-3.293548391463e-08,-2.302864897861e-13,3.419380896560e-08,-3.419403925209e-08,-2.416005911523e-12,3.419384447363e-08,-3.419626047954e-08
1.300000000000e-01,1.592409961168e-09,4.491232652679e-08,-4.331991656562e-08,-3.527109071664e-13,4.491392053267e-08,-4.491427324358e-08,-3.175645796428e-12,4.491396717281e-08,-4.491714281861e-08
1.350000000000e-01,1.996575519246e-09,5.852544607417e-08,-5.652887055492e-08,-5.323264656291e-13,5.852755030219e-08,-5.852808262865e-08,-4.135902937557e-12,5.852761107925e-08,-5.853174698219e-08
1.400000000000e-01,2.477264800245e-09,7.566002555623e-08,-7.318276075598e-08,-7.924323214159e-13,7.566279395634e-08,-7.566358638866e-08,-5.353383262285e-12,7.566287252717e-08,-7.566822591043e-08
1.450000000000e-01,3.040941230200e-09,9.703894530432e-08,-9.399800407412e-08,-1.149244641282e-12,9.704258074257e-08,-9.704372998721e-08,-6.875462143618e-12,9.704268151501e-08,-9.704955697715e-08
1.500000000000e-01,3.692061326158e-09,1.234792796991e-07,-1.197872183730e-07,-1.600844754688e-12,1.234840538342e-07,-1.234856546790e-07,-8.737629870625e-12,1.234841820643e-07,-1.234929196942e-07
1.550000000000e-01,4.432015649998e-09,1.558847083267e-07,-1.514526926767e-07,-2.282630615200e-12,1.558909920995e-07,-1.558932747301e-07,-1.108631639293e-11,1.558911539820e-07,-1.559022402984e-07
1.600000000000e-01,5.258306673007e-09,1.952406965705e-07,-1.899823898975e-07,-3.132328308196e-12,1.952490080847e-07,-1.952521404130e-07,-1.391012468472e-11,1.952492108380e-07,-1.952631209627e-07
1.650000000000e-01,6.163148268631e-09,2.426068564708e-07,-2.364437082022e-07,-4.244304202552e-12,2.426179367033e-07,-2.426221810075e-07,-1.730292948404e-11,2.426181886462e-07,-2.426354915757e-07
1.700000000000e-01,7.132414832186e-09,2.990936936876e-07,-2.919612788554e-07,-5.659669777153e-12,2.991086259633e-07,-2.991142856331e-07,-2.137513894894e-11,2.991089365678e-07,-2.991303117067e-07
1.750000000000e-01,8.144470865736e-09,3.658250409832e-07,-3.576805701174e-07,-7.524201257723e-12,3.658454392335e-07,-3.658529634348e-07,-2.619737279965e-11,3.658458191399e-07,-3.658720165127e-07
1.800000000000e-01,9.169680984421e-09,4.439262542380e-07,-4.347565732536e-07,-9.670048520897e-12,4.439545599454e-07,-4.439642299939e-07,-3.176020486812e-11,4.439550209629e-07,-4.439867811677e-07
1.850000000000e-01,1.016892296333e-08,5.344557502425e-07,-5.242868272791e-07,-1.258510298280e-11,5.344956956094e-07,-5.345082807124e-07,-3.840903887196e-11,5.344962506480e-07,-5.345346596869e-07
1.900000000000e-01,1.109467851007e-08,6.383853475787e-07,-6.272906690686e-07,-1.621032841875e-11,6.384426760171e-07,-6.384588863455e-07,-4.610592563752e-11,6.384433389979e-07,-6.384894449235e-07
1.950000000000e-01,1.189128374118e-08,7.565198319301e-07,-7.446285481890e-07,-2.032349694013e-11,7.566034075029e-07,-7.566237309998e-07,-5.471411147064e-11,7.566041931854e-07,-7.566589072969e-07
2.000000000000e-01,1.249540767887e-08,8.894497090104e-07,-8.769543013315e-07,-2.554542253110e-11,8.895732137453e-07,-8.895987591679e-07,-6.464558169918e-11,8.895741375078e-07,-8.896387830895e-07
2.050000000000e-01,1.284018513814e-08,1.037499038036e-06,-1.024658852898e-06,-3.150217417445e-11,1.037683547648e-06,-1.037715049822e-06,-7.568118444119e-11,1.037684625214e-06,-1.037760306399e-06
2.100000000000e-01,1.285687633747e-08,1.200657054448e-06,-1.187800178111e-06,-3.862304887307e-11,1.200934915039e-06,-1.200973538088e-06,-8.797357812209e-11,1.200936162131e-06,-1.201024135709e-06
2.150000000000e-01,1.248085485437e-08,1.378513352149e-06,-1.366032497295e-06,-4.693142027725e-11,1.378933968394e-06,-1.378980899815e-06,-1.016834650106e-10,1.378935400327e-06,-1.379037083792e-06
2.200000000000e-01,1.165677372576e-08,1.570217023353e-06,-1.558560249627e-06,-5.630772112827e-11,1.570855434191e-06,-1.570911741912e-06,-1.164265989965e-10,1.570857065422e-06,-1.570973492021e-06
2.250000000000e-01,1.034510887849e-08,1.774442280849e-06,-1.764097171971e-06,-6.670763734451e-11,1.775411768307e-06,-1.775478475944e-06,-1.322431219874e-10,1.775413611956e-06,-1.775545855078e-06
2.300000000000e-01,8.529345975815e-09,1.989352123888e-06,-1.980822777912e-06,-7.843089569113e-11,1.990822609003e-06,-1.990901039898e-06,-1.492235752187e-10,1.990824676344e-06,-1.990973899919e-06
2.350000000000e-01,6.223574674065e-09,2.212580789333e-06,-2.206357214659e-06,-9.144522729646e-11,2.214805464855e-06,-2.214896910082e-06,-1.672461434149e-10,2.214807764787e-06,-2.214975010930e-06
2.400000000000e-01,3.479378365210e-09,2.441252571283e-06,-2.437773192918e-06,-1.054598527462e-10,2.444606200924e-06,-2.444711660776e-06,-1.860034597576e-10,2.444608739488e-06,-2.444794742948e-06
2.450000000000e-01,3.894088324445e-10,2.671989939726e-06,-2.671600530893e-06,-1.208415302498e-10,2.677023497266e-06,-2.677144338797e-06,-2.058917983168e-10,2.677026277183e-06,-2.677232168981e-06
2.500000000000e-01,-2.909385754289e-09,2.900958062808e-06,-2.903867448562e-06,-1.367756941566e-10,2.908476199203e-06,-2.908612974898e-06,-2.259209290495e-10,2.908479219468e-06,-2.908705140397e-06
2.550000000000e-01,-6.242826332722e-09,3.123911514526e-06,-3.130154340859e-06,-1.532694582336e-10,3.135081548953e-06,-3.135234818411e-06,-2.461882121857e-10,3.135084804534e-06,-3.135330992746e-06
2.600000000000e-01,-9.412256140321e-09,3.336256367534e-06,-3.345668623675e-06,-1.704761455148e-10,3.352760647784e-06,-3.352931123930e-06,-2.667216062837e-10,3.352764129409e-06,-3.353030851016e-06
2.650000000000e-01,-1.222102531316e-08,3.533101538269e-06,-3.545322563582e-06,-1.879526182149e-10,3.557349039286e-06,-3.557536991904e-06,-2.872605145745e-10,3.557352733368e-06,-3.557639993882e-06
2.700000000000e-01,-1.452101144748e-08,3.709308508046e-06,-3.723829519493e-06,-2.050585758275e-10,3.744726714010e-06,-3.744931772586e-06,-3.072596145758e-10,3.744730602671e-06,-3.745037862286e-06
2.750000000000e-01,-1.628598943133e-08,3.859529694152e-06,-3.875815683583e-06,-2.218727700111e-10,3.910964548921e-06,-3.911186421691e-06,-3.267800786990e-10,3.910968610211e-06,-3.911295390290e-06
2.800000000000e-01,-1.772052463082e-08,3.978195547516e-06,-3.995916072147e-06,-2.381590394298e-10,4.052456108700e-06,-4.052694267739e-06,-3.457993691782e-10,4.052460316927e-06,-4.052806116296e-06
2.850000000000e-01,-1.941944673907e-08,4.059439842229e-06,-4.078859288968e-06,-2.533142988914e-10,4.166035421128e-06,-4.166288735426e-06,-3.637866235683e-10,4.166039747302e-06,-4.166403533925e-06
2.900000000000e-01,-2.259614574618e-08,4.096970731762e-06,-4.119566877508e-06,-2.672719821134e-10,4.249102071839e-06,-4.249369343821e-06,-3.807842377508e-10,4.249106484277e-06,-4.249487268514e-06
2.950000000000e-01,-2.939796920580e-08,4.083849875437e-06,-4.113247844643e-06,-2.794967203136e-10,4.299733425063e-06,-4.300012921784e-06,-3.966301612149e-10,4.299737890081e-06,-4.300134520243e-06
3.000000000000e-01,-4.334296437494e-08,4.012121126511e-06,-4.055464090886e-06,-2.910123612850e-10,4.316747817129e-06,-4.317038829490e-06,-4.121606877124e-10,4.316752299818e-06,-4.317164460506e-06
