t,x,p_dibem,p_exact,error
8.000000000000e-01,-1.000000000000e+00,-1.139984689031e-08,-1.559789454884e-10,-1.124386794483e-08
8.000000000000e-01,-9.900000000000e-01,-2.237316063598e-08,-2.477885151825e-10,-2.212537212080e-08
8.000000000000e-01,-9.800000000000e-01,-3.493080608047e-08,-4.712509551247e-10,-3.445955512535e-08
8.000000000000e-01,-9.700000000000e-01,-4.551665221173e-08,-9.993397213633e-10,-4.451731249037e-08
8.000000000000e-01,-9.600000000000e-01,-5.229605924590e-08,-2.212094662161e-09,-5.008396458374e-08
8.000000000000e-01,-9.500000000000e-01,-5.480309516260e-08,-4.920982979706e-09,-4.988211218289e-08
8.000000000000e-01,-9.400000000000e-01,-3.874205103268e-08,-1.081149543668e-08,-2.793055559601e-08
8.000000000000e-01,-9.300000000000e-01,3.731603515222e-08,-2.329244027737e-08,6.060847542959e-08
8.000000000000e-01,-9.200000000000e-01,2.090619685160e-07,-4.908243562828e-08,2.581444041442e-07
8.000000000000e-01,-9.100000000000e-01,4.961166738531e-07,-1.010966259017e-07,5.972132997548e-07
8.000000000000e-01,-9.000000000000e-01,8.959801254435e-07,-2.035648260190e-07,1.099544951462e-06
8.000000000000e-01,-8.900000000000e-01,1.451554315621e-06,-4.008746026824e-07,1.852428918303e-06
8.000000000000e-01,-8.800000000000e-01,2.222342143436e-06,-7.724577823059e-07,2.994799925742e-06
8.000000000000e-01,-8.700000000000e-01,3.141193952686e-06,-1.457194556438e-06,4.598388509124e-06
8.000000000000e-01,-8.600000000000e-01,3.941336606071e-06,-2.692340999696e-06,6.633677605767e-06
8.000000000000e-01,-8.500000000000e-01,4.078005082747e-06,-4.873877399041e-06,8.951882481788e-06
8.000000000000e-01,-8.400000000000e-01,2.673897247019e-06,-8.647291249121e-06,1.132118849614e-05
8.000000000000e-01,-8.300000000000e-01,-1.651880889932e-06,-1.503982019389e-05,1.338793930396e-05
8.000000000000e-01,-8.200000000000e-01,-1.100632672676e-05,-2.564647728042e-05,1.464015055366e-05
8.000000000000e-01,-8.100000000000e-01,-2.844787451770e-05,-4.288180277447e-05,1.443392825677e-05
8.000000000000e-01,-8.000000000000e-01,-5.847483444674e-05,-7.030589724325e-05,1.183106279652e-05
8.000000000000e-01,-7.900000000000e-01,-1.081468262411e-04,-1.130252527016e-04,4.878426460438e-06
8.000000000000e-01,-7.800000000000e-01,-1.863289408595e-04,-1.781545052809e-04,-8.174435578623e-06
8.000000000000e-01,-7.700000000000e-01,-3.034029825477e-04,-2.753031428502e-04,-2.809983969747e-05
8.000000000000e-01,-7.600000000000e-01,-4.712963311894e-04,-4.170210962690e-04,-5.427523492038e-05
8.000000000000e-01,-7.500000000000e-01,-7.047557223784e-04,-6.191005588568e-04,-8.565516352163e-05
8.000000000000e-01,-7.400000000000e-01,-1.022690566935e-03,-9.005925621388e-04,-1.220980047966e-04
8.000000000000e-01,-7.300000000000e-01,-1.444482802812e-03,-1.283363375083e-03,-1.611194277294e-04
8.000000000000e-01,-7.200000000000e-01,-1.988259219242e-03,-1.790998667057e-03,-1.972605521851e-04
8.000000000000e-01,-7.100000000000e-01,-2.669368639308e-03,-2.446876033551e-03,-2.224926057567e-04
8.000000000000e-01,-7.000000000000e-01,-3.497779381353e-03,-3.271282673295e-03,-2.264967080587e-04
8.000000000000e-01,-6.900000000000e-01,-4.476082356739e-03,-4.277565261731e-03,-1.985170950080e-04
8.000000000000e-01,-6.800000000000e-01,-5.598575019832e-03,-5.467466238285e-03,-1.311087815476e-04
8.000000000000e-01,-6.700000000000e-01,-6.848996791307e-03,-6.826015372484e-03,-2.298141882336e-05
8.000000000000e-01,-6.600000000000e-01,-8.196969934272e-03,-8.316582460329e-03,1.196125260570e-04
