t,p_trixi_0_4_0_0_,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,p_trixi_0_7_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,p_trixi_0_5_0_5_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-03,-6.989308078175e-19,2.047464322628e-14,3.652929133378e-13,-1.979534149515e-39,9.385390753186e-18,3.653054315095e-13,-3.898156151695e-45,-1.649634655491e-17,3.653058108633e-13
1.000000000000e-02,-1.939299757473e-16,1.110780743550e-13,1.714356850737e-12,-3.773458235785e-26,5.021759049984e-17,1.714415599946e-12,-1.890006300531e-36,-9.088354296001e-17,1.714417380288e-12
1.500000000000e-02,-1.660358212726e-15,3.206621324708e-13,4.567629025634e-12,-4.349932031904e-23,1.401537002703e-16,4.567785554171e-12,-1.547878954826e-30,-2.709705305963e-16,4.567790297590e-12
2.000000000000e-02,-6.983327956840e-15,6.943549186641e-13,9.701698694699e-12,-1.041169441871e-21,2.922828445325e-16,9.702031165397e-12,-2.955904690355e-28,-6.077932943708e-16,9.702041240440e-12
2.500000000000e-02,-2.036801242232e-14,1.291958854624e-12,1.826474765573e-11,-8.152984252516e-21,5.084338736905e-16,1.826537358249e-11,-5.264591765175e-27,-1.189854530550e-15,1.826539255003e-11
3.000000000000e-02,-4.740964941101e-14,2.195571797373e-12,3.193879176435e-11,-3.666126228080e-20,7.989205134015e-16,3.193988631109e-11,-3.679594886695e-26,-2.135114066496e-15,3.193991947877e-11
3.500000000000e-02,-9.547414532176e-14,3.520252594699e-12,5.323346466674e-11,-1.270554185706e-19,1.174053238350e-15,5.323528902007e-11,-1.719751211680e-25,-3.606271934990e-15,5.323534430160e-11
4.000000000000e-02,-1.742325103767e-13,5.428431486382e-12,8.563740002237e-11,-4.079980632438e-19,1.641536807894e-15,8.564033496413e-11,-8.450568202706e-25,-5.860991710343e-15,8.564042389641e-11
4.500000000000e-02,-2.809948272284e-13,8.148820651285e-12,1.342110502597e-10,-9.711171790482e-19,2.146528069281e-15,1.342156500795e-10,-2.762401870344e-24,-9.297872874574e-15,1.342157894541e-10
5.000000000000e-02,-4.150421009883e-13,1.200099886736e-11,2.061261816965e-10,-1.804221724100e-18,2.839649767164e-15,2.061332466411e-10,-6.534486253827e-24,-1.429777205113e-14,2.061334606976e-10
5.500000000000e-02,-5.772219778669e-13,1.742570032600e-11,3.113485446915e-10,-2.657549987786e-18,3.643811608831e-15,3.113592169083e-10,-1.167687262602e-23,-2.168875760307e-14,3.113595402353e-10
6.000000000000e-02,-7.735509428526e-13,2.502291731863e-11,4.636744525742e-10,-2.971899946986e-18,4.525868410025e-15,4.636903477709e-10,-1.573494116018e-23,-3.235949919968e-14,4.636908292846e-10
6.500000000000e-02,-1.019211909314e-12,3.559817607973e-11,6.821562757716e-10,-1.870044424731e-18,5.547060732148e-15,6.821796641029e-10,-1.392629681114e-23,-4.763108979008e-14,6.821803725028e-10
7.000000000000e-02,-1.355105740150e-12,5.021647884484e-11,9.927623831304e-10,2.048111449076e-18,6.317518053663e-15,9.927964276900e-10,1.911260710071e-24,-6.965522020746e-14,9.927974586468e-10
7.500000000000e-02,-1.871698342720e-12,7.026715455225e-11,1.430281490400e-09,9.769908702294e-18,6.902318488744e-15,1.430330552369e-09,3.266372286001e-23,-1.006862417434e-13,1.430332037676e-09
8.000000000000e-02,-2.658999976392e-12,9.753590562738e-11,2.041036814385e-09,1.955158801510e-17,7.799600860078e-15,2.041106853781e-09,5.331777892447e-23,-1.432822744868e-13,2.041108973342e-09
8.500000000000e-02,-3.848212253150e-12,1.342815302704e-10,2.886453013205e-09,2.786268675781e-17,7.061425401751e-15,2.886552116748e-09,2.191051062242e-23,-2.033506825159e-13,2.886555114248e-09
9.000000000000e-02,-5.602129939591e-12,1.833245943194e-10,4.046926925087e-09,2.933983362894e-17,5.199120391985e-15,4.047065975682e-09,-1.048356253455e-22,-2.850794639799e-13,4.047070178302e-09
9.500000000000e-02,-8.117322540186e-12,2.481268481515e-10,5.625959822597e-09,1.763538690677e-17,1.524647728853e-15,5.626153326914e-09,-3.455651978458e-22,-3.955995909507e-13,5.626159169308e-09
1.000000000000e-01,-1.162701540288e-11,3.328686655884e-10,7.755821102200e-09,-1.332055171127e-17,-6.801362020423e-15,7.756088242202e-09,-6.648313259315e-22,-5.459192379417e-13,7.756096296395e-09
1.050000000000e-01,-1.660523020741e-11,4.425114186629e-10,1.060460614160e-08,-6.917360529204e-17,-2.076678495562e-14,1.060497212131e-08,-8.855104110533e-22,-7.467481196150e-13,1.060498313390e-08
1.100000000000e-01,-2.352483161250e-11,5.828276178834e-10,1.438304387096e-08,-1.415456468786e-16,-4.566034461249e-14,1.438354159169e-08,-6.507539136176e-22,-1.015522785018e-12,1.438355652806e-08
1.150000000000e-01,-3.274367724897e-11,7.603960776528e-10,1.935090019376e-08,-2.098145073858e-16,-8.624085860104e-14,1.935157231614e-08,2.410726929101e-22,-1.367467860244e-12,1.935159241149e-08
1.200000000000e-01,-4.486953593994e-11,9.825325936934e-10,2.582565701707e-08,-2.483754377154e-16,-1.418248162651e-13,2.582655861189e-08,1.720106754957e-21,-1.821854728523e-12,2.582658543109e-08
1.250000000000e-01,-6.067726107890e-11,1.257123003204e-09,3.419260691784e-08,-2.289102479423e-16,-2.302864897861e-13,3.419380896560e-08,3.316565519189e-21,-2.416005911523e-12,3.419384447363e-08
1.300000000000e-01,-8.115986026021e-11,1.592409961168e-09,4.491232652679e-08,-1.259063110838e-16,-3.527109071664e-13,4.491392053267e-08,4.137283142961e-21,-3.175645796428e-12,4.491396717281e-08
1.350000000000e-01,-1.075887849269e-10,1.996575519246e-09,5.852544607417e-08,7.685945740751e-17,-5.323264656291e-13,5.852755030219e-08,2.922737790487e-21,-4.135902937557e-12,5.852761107925e-08
