t,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,error_0_4_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,error_0_7_0_0_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_,error_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.000000000000e-02,4.864852852115e-09,1.799715292221e-13,4.864672880586e-09,5.571444641363e-09,3.866542380814e-13,5.571057987125e-09,4.758248955420e-09,3.866512927580e-13,4.757862304127e-09
4.000000000000e-02,3.480577168532e-08,3.553378782068e-13,3.480541634744e-08,3.966180033408e-08,3.413017118523e-12,3.965838731696e-08,4.280769691875e-08,3.412991120500e-12,4.280428392763e-08
6.000000000000e-02,1.638346053929e-07,-9.779278582222e-12,1.638443846715e-07,2.116413335457e-07,1.847941270728e-11,2.116228541330e-07,2.182731992351e-07,1.847927194410e-11,2.182547199632e-07
8.000000000000e-02,6.290563797125e-07,-1.262630382962e-10,6.291826427508e-07,9.079973802548e-07,8.134406097317e-11,9.079160361938e-07,9.205456576274e-07,8.134344135236e-11,9.204643141861e-07
1.000000000000e-01,2.071828104282e-06,-9.872974728040e-10,2.072815401754e-06,3.369012882656e-06,3.091027368630e-10,3.368703779919e-06,3.393643097511e-06,3.091003823463e-10,3.393333997129e-06
1.200000000000e-01,5.821212967943e-06,-6.056028808089e-09,5.827268996752e-06,1.095141407872e-05,1.029263682857e-09,1.095038481504e-05,1.101297329228e-05,1.029255842692e-09,1.101194403644e-05
1.400000000000e-01,1.351805504557e-05,-3.145190367504e-08,1.354950694924e-05,3.137200840866e-05,3.015383005853e-09,3.136899302566e-05,3.154885331205e-05,3.015360036945e-09,3.154583795201e-05
1.600000000000e-01,2.397133889258e-05,-1.431988120129e-07,2.411453770459e-05,7.932244792429e-05,7.781242402955e-09,7.931466668189e-05,7.982969405511e-05,7.781183131386e-09,7.982191287198e-05
1.800000000000e-01,2.329916662091e-05,-5.830547978137e-07,2.388222141872e-05,1.771335407164e-04,1.769288396840e-08,1.771158478324e-04,1.784918992758e-04,1.769274919762e-08,1.784742065266e-04
2.000000000000e-01,-3.549658491536e-05,-2.150416409536e-06,-3.334616850583e-05,3.493843569018e-04,3.545208690396e-08,3.493489048149e-04,3.527007367408e-04,3.545181685785e-08,3.526652849240e-04
2.200000000000e-01,-2.613606600435e-04,-7.245852176110e-06,-2.541148078674e-04,6.086628366863e-04,6.260317020409e-08,6.086002335161e-04,6.159479833592e-04,6.260269334218e-08,6.158853806659e-04
2.400000000000e-01,-8.470461729705e-04,-2.242882656762e-05,-8.246173464029e-04,9.363911495249e-04,9.742468626520e-08,9.362937248387e-04,9.509683728010e-04,9.742394416101e-08,9.508709488568e-04
