t,x,p_dibem,p_exact,error
6.000000000000e-01,-1.363636363636e+00,-1.575082145675e-05,-3.611240840006e-12,-1.575081784551e-05
6.000000000000e-01,-1.090909090909e+00,5.550408293077e-05,-3.611763139623e-12,5.550408654254e-05
6.000000000000e-01,-8.181818181818e-01,4.576151775609e-04,-1.462689119769e-11,4.576151921878e-04
6.000000000000e-01,-5.454545454545e-01,-1.342400621330e-02,-8.591226956453e-04,-1.256488351766e-02
6.000000000000e-01,-2.727272727273e-01,1.663659125914e-02,3.550913243539e-02,-1.887254117625e-02
6.000000000000e-01,7.632783294298e-17,9.233552174724e-02,-9.471614884827e-03,1.018071366321e-01
6.000000000000e-01,2.727272727273e-01,1.663659126698e-02,3.550913243539e-02,-1.887254116841e-02
6.000000000000e-01,5.454545454545e-01,-1.342400622904e-02,-8.591226956453e-04,-1.256488353339e-02
6.000000000000e-01,8.181818181818e-01,4.576151353958e-04,-1.462689119769e-11,4.576151500227e-04
6.000000000000e-01,1.090909090909e+00,5.550411309952e-05,-3.611763139623e-12,5.550411671129e-05
6.000000000000e-01,1.363636363636e+00,-1.575079438395e-05,-3.611240840006e-12,-1.575079077271e-05
