dim,geom,method,n,size_param,t_asm,t_mv,mem_mb,rel_err,maxrank
3,volume,h2m_ada,512,8,1.370600e-02,1.406220e-04,4.560432e+00,3.688304e-07,317
3,volume,bem_proxy,1728,12,2.247797e-01,2.312917e-03,1.779761e+01,3.535466e-04,216
3,volume,bem_nca,1728,12,7.626776e-02,1.871280e-03,1.090508e+01,1.587258e-02,85
3,volume,bem_nnca,1728,12,2.341498e-01,2.358741e-03,1.490838e+01,4.118038e-03,142
3,volume,h2m_cheb,1728,12,2.000785e-02,1.465781e-03,1.273520e+01,6.044043e-03,27
3,volume,h2m_ada,1728,12,5.232153e-01,4.477682e-03,5.499829e+01,3.350950e-04,1240
3,volume,bem_proxy,4096,16,5.866129e-01,1.126360e-02,6.161240e+01,4.786389e-06,216
3,volume,bem_nca,4096,16,2.118298e-01,8.139929e-03,3.718552e+01,7.485602e-04,65
3,volume,bem_nnca,4096,16,6.986513e-01,8.112610e-03,4.002597e+01,3.633040e-04,76
3,volume,h2m_cheb,4096,16,4.152955e-02,3.362063e-03,3.435788e+01,5.833076e-03,27
3,volume,h2m_ada,4096,16,2.060257e+00,8.515719e-03,1.148510e+02,7.158875e-04,1280
3,volume,bem_proxy,10648,22,1.560831e+00,4.292984e-02,1.941600e+02,NaN,216
3,volume,bem_nca,10648,22,9.084311e-01,2.735771e-02,1.181613e+02,0.000000e+00,92
3,volume,bem_nnca,10648,22,3.099950e+00,3.065319e-02,1.372877e+02,5.399952e-03,108
3,volume,h2m_cheb,10648,22,1.640952e-01,1.439735e-02,1.245474e+02,1.256464e-02,27
3,boundary,bem_proxy,386,8,1.473946e-02,1.582530e-04,1.260605e+00,4.857667e-01,194
3,boundary,bem_nca,386,8,9.835347e-03,2.188300e-04,1.856148e+00,1.644209e-06,208
3,boundary,bem_nnca,386,8,1.050828e-02,2.171070e-04,1.868668e+00,1.612189e-06,211
3,boundary,h2m_cheb,386,8,2.331646e-03,9.487200e-05,1.914452e+00,4.651735e-03,27
3,boundary,h2m_ada,386,8,4.775386e-03,7.647400e-05,1.698181e+00,2.070588e-07,119
3,boundary,bem_proxy,1538,16,1.356007e-01,1.922317e-03,1.404442e+01,5.155794e-07,216
3,boundary,bem_nca,1538,16,4.720560e-02,1.256248e-03,6.980598e+00,1.230133e-03,210
3,boundary,bem_nnca,1538,16,9.110041e-02,1.344908e-03,7.579964e+00,4.033869e-04,234
3,boundary,h2m_cheb,1538,16,1.146333e-02,1.009281e-03,9.509964e+00,NaN,27
3,boundary,h2m_ada,1538,16,2.287611e-01,2.505140e-03,3.370771e+01,2.397626e-04,1052
3,boundary,bem_proxy,3458,24,4.294639e-01,6.223161e-03,3.090736e+01,2.746630e-03,216
3,boundary,bem_nca,3458,24,1.189527e-01,3.526774e-03,1.489177e+01,1.734885e-02,207
3,boundary,bem_nnca,3458,24,2.740063e-01,3.689028e-03,1.680124e+01,1.509718e-02,243
3,boundary,h2m_cheb,3458,24,3.686808e-02,2.278838e-03,2.446941e+01,NaN,27
3,boundary,h2m_ada,3458,24,7.890328e-01,4.387255e-03,5.739935e+01,7.406886e-04,1176
3,boundary,bem_proxy,10088,41,9.824231e-01,1.777038e-02,7.923535e+01,NaN,216
3,boundary,bem_nca,10088,41,4.550219e-01,9.684080e-03,3.643923e+01,0.000000e+00,96
3,boundary,bem_nnca,10088,41,1.008443e+00,1.058326e-02,4.161911e+01,5.283028e-02,128
3,boundary,h2m_cheb,10088,41,8.244819e-02,6.620864e-03,6.812593e+01,NaN,27
