t,p_trixi_0_4_0_0_,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,p_trixi_0_7_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,p_trixi_0_5_0_5_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,-1.939299757473e-16,1.702343987864e-10,6.832084466981e-14,-3.773458235785e-26,1.692976664557e-10,6.832275387862e-14,-1.890006300531e-36,2.010690805923e-10,6.832358717528e-14
2.000000000000e-02,-6.983327956840e-15,1.090006768326e-09,3.866337547027e-13,-1.041169441871e-21,1.574138886034e-09,3.866445729178e-13,-2.955904690355e-28,1.372980002296e-09,3.866492885418e-13
3.000000000000e-02,-4.740964941101e-14,3.594613991735e-09,1.272830095920e-12,-3.666126228080e-20,3.718426986478e-09,1.272865804099e-12,-3.679594886695e-26,4.283911310749e-09,1.272881328194e-12
4.000000000000e-02,-1.742325103767e-13,9.919517547589e-09,3.412835576517e-12,-4.079980632438e-19,7.345829654559e-09,3.412931804293e-12,-8.450568202706e-25,9.165609665124e-09,3.412973428794e-12
5.000000000000e-02,-4.150421009883e-13,2.311871135190e-08,8.214571884614e-12,-1.804221724100e-18,1.877930065696e-08,8.214805717310e-12,-6.534486253827e-24,2.138139731952e-08,8.214905905726e-12
6.000000000000e-02,-7.735509428526e-13,5.086269331317e-08,1.847841536092e-11,-2.971899946986e-18,4.813663623075e-08,1.847895078305e-11,-1.573494116018e-23,4.892461195177e-08,1.847917615427e-11
7.000000000000e-02,-1.355105740150e-12,1.076238150660e-07,3.956365976787e-11,2.048111449076e-18,1.048218632704e-07,3.956484410569e-11,1.911260710071e-24,1.049845220358e-07,3.956532664171e-11
8.000000000000e-02,-2.658999976392e-12,2.166949484090e-07,8.133944658095e-11,1.955158801510e-17,2.143521288443e-07,8.134202764184e-11,5.331777892447e-23,2.188945440590e-07,8.134301969540e-11
9.000000000000e-02,-5.602129939591e-12,4.250926469965e-07,1.612776924045e-10,2.933983362894e-17,4.239654584256e-07,1.612833506578e-10,-1.048356253455e-22,4.353241487927e-07,1.612853176791e-10
1.000000000000e-01,-1.162701540288e-11,8.051523313805e-07,3.090822414748e-10,-1.332055171127e-17,8.119025397945e-07,3.090950103293e-10,-6.648313259315e-22,8.289588875945e-07,3.090987800725e-10
1.100000000000e-01,-2.352483161250e-11,1.474834507704e-06,5.731814635183e-10,-1.415456468786e-16,1.497752766826e-06,5.732117528245e-10,-6.507539136176e-22,1.521054552181e-06,5.732187437395e-10
1.200000000000e-01,-4.486953593994e-11,2.626036183996e-06,1.029161663856e-09,-2.483754377154e-16,2.675891421796e-06,1.029237954731e-09,1.720106754957e-21,2.703949587217e-06,1.029250507366e-09
1.300000000000e-01,-8.115986026021e-11,4.537160257396e-06,1.789703189718e-09,-1.259063110838e-16,4.633681124423e-06,1.789905979954e-09,4.137283142961e-21,4.666901857162e-06,1.789927809717e-09
1.400000000000e-01,-1.432804605785e-10,7.600687088265e-06,3.014749083288e-09,3.827729142903e-16,7.774177281730e-06,3.015307631497e-09,-2.339579401249e-21,7.813153230563e-06,3.015344406244e-09
1.500000000000e-01,-2.536190258435e-10,1.234889208852e-05,4.919516047315e-09,9.928009342013e-16,1.263749851485e-05,4.921076666037e-09,-2.243095616552e-20,1.268652996763e-05,4.921136683632e-09
1.600000000000e-01,-4.459878144713e-10,1.944941827029e-05,7.776700966391e-09,8.921768911510e-16,1.991614326769e-05,7.781047898212e-09,-3.271033054251e-20,1.997393385747e-05,7.781142796130e-09
1.700000000000e-01,-7.808438180772e-10,2.969640278605e-05,1.190812438924e-08,-7.647105234513e-16,3.042619496557e-05,1.192005310364e-08,2.130797265904e-21,3.048822620177e-05,1.192019848096e-08
1.800000000000e-01,-1.407969220120e-09,4.395745545114e-05,1.766041851198e-08,-4.257771370314e-15,4.504873073846e-05,1.769244170628e-08,7.107756811965e-20,4.511534650877e-05,1.769265748367e-08
