t,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,error_0_4_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,error_0_7_0_0_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_,error_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,1.127428665887e-10,6.832081735988e-14,1.126745457713e-10,1.994617598926e-10,6.832298874172e-14,1.993934369038e-10,2.098351665916e-10,6.832305424475e-14,2.097668435373e-10
2.000000000000e-02,1.199617877390e-09,3.866335883432e-13,1.199231243801e-09,9.943870966399e-10,3.866459019986e-13,9.940004507379e-10,7.991198668271e-10,3.866462727339e-13,7.987332205544e-10
3.000000000000e-02,3.546786327506e-09,1.272829469128e-12,3.545513498037e-09,3.631509789929e-09,1.272870179534e-12,3.630236919750e-09,3.480144106014e-09,1.272871400140e-12,3.478871234614e-09
4.000000000000e-02,7.115629389892e-09,3.412833497369e-12,7.112216556394e-09,8.872799121017e-09,3.412943535978e-12,8.869386177481e-09,9.136187241757e-09,3.412946808941e-12,9.132774294948e-09
5.000000000000e-02,1.567708604628e-08,8.214565109106e-12,1.566887148117e-08,2.100130857160e-08,8.214833955084e-12,2.099309373764e-08,2.031212925495e-08,8.214841832880e-12,2.030391441312e-08
6.000000000000e-02,3.664652598521e-08,1.847839283640e-11,3.662804759237e-08,4.558923276481e-08,1.847901430289e-11,4.557075375050e-08,4.225148392617e-08,1.847903202414e-11,4.223300489415e-08
7.000000000000e-02,8.198308949977e-08,3.956358320819e-11,8.194352591657e-08,9.052579927427e-08,3.956498010668e-11,9.048623429416e-08,8.693813522227e-08,3.956501804925e-11,8.689857020422e-08
8.000000000000e-02,1.730255662375e-07,8.133918390439e-11,1.729442270536e-07,1.794465480397e-07,8.134230724899e-11,1.793652057325e-07,1.791483522901e-07,8.134238525638e-11,1.790670099049e-07
9.000000000000e-02,3.482115733192e-07,1.612767961189e-10,3.480502965231e-07,3.438640107158e-07,1.612839050566e-10,3.437027268107e-07,3.579038094630e-07,1.612840597266e-10,3.577425254033e-07
1.000000000000e-01,6.649238348054e-07,3.090792352259e-10,6.646147555702e-07,6.578397489244e-07,3.090960728177e-10,6.575306528516e-07,6.786292266452e-07,3.090963692476e-10,6.783201302760e-07
1.100000000000e-01,1.232240975242e-06,5.731716262860e-10,1.231667803616e-06,1.215565902666e-06,5.732137231900e-10,1.214992688943e-06,1.251974905081e-06,5.732142729151e-10,1.251401690808e-06
1.200000000000e-01,2.205319985974e-06,1.029130398473e-09,2.204290855576e-06,2.184102505955e-06,1.029241492622e-09,2.183073264462e-06,2.239033468229e-06,1.029242479696e-09,2.238004225749e-06
1.300000000000e-01,3.814940074005e-06,1.789606904053e-09,3.813150467101e-06,3.799217487775e-06,1.789912132598e-09,3.797427575642e-06,3.869017008468e-06,1.789913849181e-09,3.867227094619e-06
1.400000000000e-01,6.396155200912e-06,3.014462088120e-09,6.393140738824e-06,6.395186901263e-06,3.015317996264e-09,6.392171583266e-06,6.480523231520e-06,3.015320888052e-09,6.477507910632e-06
1.500000000000e-01,1.039544468122e-05,4.918688418709e-09,1.039052599280e-05,1.041813316905e-05,4.921093581717e-09,1.041321207546e-05,1.052071242650e-05,4.921098301247e-09,1.051579132820e-05
1.600000000000e-01,1.638618966491e-05,7.774391717288e-09,1.637841527319e-05,1.644242851378e-05,7.781074644791e-09,1.643464743914e-05,1.656319047887e-05,7.781082107141e-09,1.655540939676e-05
1.700000000000e-01,2.503688265451e-05,1.190188810895e-08,2.502498076640e-05,2.514340858287e-05,1.192009407781e-08,2.513148848879e-05,2.528364774042e-05,1.192010550969e-08,2.527172763491e-05
1.800000000000e-01,3.708385581057e-05,1.764410968702e-08,3.706621170088e-05,3.725136808145e-05,1.769250252226e-08,3.723367557893e-05,3.741503926506e-05,1.769251949018e-08,3.739734674557e-05
1.900000000000e-01,5.323664633021e-05,2.531806026682e-08,5.321132826994e-05,5.347911589944e-05,2.544325404259e-08,5.345367264540e-05,5.366820622053e-05,2.544327844391e-08,5.364276294209e-05
2.000000000000e-01,7.407690851582e-05,3.513643883198e-08,7.404177207699e-05,7.439379775646e-05,3.545132258257e-08,7.435834643387e-05,7.460975803062e-05,3.545135658192e-08,7.457430667404e-05
2.100000000000e-01,9.991440255983e-05,4.708992662286e-08,9.986731263321e-05,1.002824619452e-04,4.785972688444e-08,1.002346022183e-04,1.005228591069e-04,4.785977278479e-08,1.004749993341e-04
2.200000000000e-01,1.306670711430e-04,6.077215484802e-08,1.306062989881e-04,1.309838053012e-04,6.260182052404e-08,1.309212034807e-04,1.312593030637e-04,6.260188056373e-08,1.311967011832e-04
2.300000000000e-01,1.656797300790e-04,7.510819451295e-08,1.656046218845e-04,1.657922358300e-04,7.933837631843e-08,1.657128974537e-04,1.661006661861e-04,7.933845240984e-08,1.660213277337e-04
2.400000000000e-01,2.037286266763e-04,8.790258044249e-08,2.036407240959e-04,2.033506783163e-04,9.742258585981e-08,2.032532557304e-04,2.036995176650e-04,9.742267929435e-08,2.036020949857e-04
2.500000000000e-01,2.430292028725e-04,9.503787822478e-08,2.429341649943e-04,2.417101012331e-04,1.159087593890e-07,2.415941924737e-04,2.420900873660e-04,1.159088705535e-07,2.419741784954e-04
2.600000000000e-01,2.813691655125e-04,8.900560238738e-08,2.812801599101e-04,2.784169715202e-04,1.336144084017e-07,2.782833571118e-04,2.788262763136e-04,1.336145365492e-07,2.786926617770e-04
2.700000000000e-01,3.163213032088e-04,5.620382667084e-08,3.162650993822e-04,3.107768383024e-04,1.492350621680e-07,3.106276032403e-04,3.112126049295e-04,1.492352052945e-07,3.110633697242e-04
