t,p_trixi_0_4_0_0_,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,p_trixi_0_7_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,p_trixi_0_5_0_5_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,-1.939299757473e-16,1.127428665887e-10,6.832081735988e-14,-3.773458235785e-26,1.994617598926e-10,6.832298874172e-14,-1.890006300531e-36,2.098351665916e-10,6.832305424475e-14
2.000000000000e-02,-6.983327956840e-15,1.199617877390e-09,3.866335883432e-13,-1.041169441871e-21,9.943870966399e-10,3.866459019986e-13,-2.955904690355e-28,7.991198668271e-10,3.866462727339e-13
3.000000000000e-02,-4.740964941101e-14,3.546786327506e-09,1.272829469128e-12,-3.666126228080e-20,3.631509789929e-09,1.272870179534e-12,-3.679594886695e-26,3.480144106014e-09,1.272871400140e-12
4.000000000000e-02,-1.742325103767e-13,7.115629389892e-09,3.412833497369e-12,-4.079980632438e-19,8.872799121017e-09,3.412943535978e-12,-8.450568202706e-25,9.136187241757e-09,3.412946808941e-12
5.000000000000e-02,-4.150421009883e-13,1.567708604628e-08,8.214565109106e-12,-1.804221724100e-18,2.100130857160e-08,8.214833955084e-12,-6.534486253827e-24,2.031212925495e-08,8.214841832880e-12
6.000000000000e-02,-7.735509428526e-13,3.664652598521e-08,1.847839283640e-11,-2.971899946986e-18,4.558923276481e-08,1.847901430289e-11,-1.573494116018e-23,4.225148392617e-08,1.847903202414e-11
7.000000000000e-02,-1.355105740150e-12,8.198308949977e-08,3.956358320819e-11,2.048111449076e-18,9.052579927427e-08,3.956498010668e-11,1.911260710071e-24,8.693813522227e-08,3.956501804925e-11
8.000000000000e-02,-2.658999976392e-12,1.730255662375e-07,8.133918390439e-11,1.955158801510e-17,1.794465480397e-07,8.134230724899e-11,5.331777892447e-23,1.791483522901e-07,8.134238525638e-11
9.000000000000e-02,-5.602129939591e-12,3.482115733192e-07,1.612767961189e-10,2.933983362894e-17,3.438640107158e-07,1.612839050566e-10,-1.048356253455e-22,3.579038094630e-07,1.612840597266e-10
1.000000000000e-01,-1.162701540288e-11,6.649238348054e-07,3.090792352259e-10,-1.332055171127e-17,6.578397489244e-07,3.090960728177e-10,-6.648313259315e-22,6.786292266452e-07,3.090963692476e-10
1.100000000000e-01,-2.352483161250e-11,1.232240975242e-06,5.731716262860e-10,-1.415456468786e-16,1.215565902666e-06,5.732137231900e-10,-6.507539136176e-22,1.251974905081e-06,5.732142729151e-10
1.200000000000e-01,-4.486953593994e-11,2.205319985974e-06,1.029130398473e-09,-2.483754377154e-16,2.184102505955e-06,1.029241492622e-09,1.720106754957e-21,2.239033468229e-06,1.029242479696e-09
1.300000000000e-01,-8.115986026021e-11,3.814940074005e-06,1.789606904053e-09,-1.259063110838e-16,3.799217487775e-06,1.789912132598e-09,4.137283142961e-21,3.869017008468e-06,1.789913849181e-09
1.400000000000e-01,-1.432804605785e-10,6.396155200912e-06,3.014462088120e-09,3.827729142903e-16,6.395186901263e-06,3.015317996264e-09,-2.339579401249e-21,6.480523231520e-06,3.015320888052e-09
1.500000000000e-01,-2.536190258435e-10,1.039544468122e-05,4.918688418709e-09,9.928009342013e-16,1.041813316905e-05,4.921093581717e-09,-2.243095616552e-20,1.052071242650e-05,4.921098301247e-09
1.600000000000e-01,-4.459878144713e-10,1.638618966491e-05,7.774391717288e-09,8.921768911510e-16,1.644242851378e-05,7.781074644791e-09,-3.271033054251e-20,1.656319047887e-05,7.781082107141e-09
1.700000000000e-01,-7.808438180772e-10,2.503688265451e-05,1.190188810895e-08,-7.647105234513e-16,2.514340858287e-05,1.192009407781e-08,2.130797265904e-21,2.528364774042e-05,1.192010550969e-08
1.800000000000e-01,-1.407969220120e-09,3.708385581057e-05,1.764410968702e-08,-4.257771370314e-15,3.725136808145e-05,1.769250252226e-08,7.107756811965e-20,3.741503926506e-05,1.769251949018e-08
1.900000000000e-01,-2.531892432969e-09,5.323664633021e-05,2.531806026682e-08,-7.735887977718e-15,5.347911589944e-05,2.544325404259e-08,3.115376823121e-20,5.366820622053e-05,2.544327844391e-08
2.000000000000e-01,-4.506397708179e-09,7.407690851582e-05,3.513643883198e-08,-8.346323279249e-15,7.439379775646e-05,3.545132258257e-08,-2.648681322970e-19,7.460975803062e-05,3.545135658192e-08
2.100000000000e-01,-8.047514631941e-09,9.991440255983e-05,4.708992662286e-08,-3.003565456091e-15,1.002824619452e-04,4.785972688444e-08,-7.652337855916e-19,1.005228591069e-04,4.785977278479e-08
2.200000000000e-01,-1.436131002201e-08,1.306670711430e-04,6.077215484802e-08,7.670679830578e-15,1.309838053012e-04,6.260182052404e-08,-9.727229908268e-19,1.312593030637e-04,6.260188056373e-08
2.300000000000e-01,-2.515729694231e-08,1.656797300790e-04,7.510819451295e-08,1.688770741764e-14,1.657922358300e-04,7.933837631843e-08,-5.736456032363e-19,1.661006661861e-04,7.933845240984e-08
2.400000000000e-01,-4.334934266823e-08,2.037286266763e-04,8.790258044249e-08,1.223252185774e-14,2.033506783163e-04,9.742258585981e-08,-3.472648368817e-19,2.036995176650e-04,9.742267929435e-08
2.500000000000e-01,-7.509814291009e-08,2.430292028725e-04,9.503787822478e-08,-2.702401871828e-14,2.417101012331e-04,1.159087593890e-07,-3.643213621929e-18,2.420900873660e-04,1.159088705535e-07
2.600000000000e-01,-1.276288716491e-07,2.813691655125e-04,8.900560238738e-08,-1.143452102078e-13,2.784169715202e-04,1.336144084017e-07,-1.420226687466e-17,2.788262763136e-04,1.336145365492e-07
2.700000000000e-01,-2.128432820020e-07,3.163213032088e-04,5.620382667084e-08,-2.578682671562e-13,3.107768383024e-04,1.492350621680e-07,-3.376940874455e-17,3.112126049295e-04,1.492352052945e-07
2.800000000000e-01,-3.551622862514e-07,3.455455276595e-04,-2.795692941184e-08,-4.610292276012e-13,3.361658123637e-04,1.614987111838e-07,-6.214359417498e-17,3.366284293615e-04,1.614988660713e-07
2.900000000000e-01,-5.875481525602e-07,3.670789400720e-04,-2.076981760487e-07,-7.136843714033e-13,3.523803478652e-04,1.693354568261e-07,-1.064995276987e-16,3.528664872568e-04,1.693356192318e-07
3.000000000000e-01,-9.577076867737e-07,3.795366233235e-04,-5.617111255536e-07,-1.015258371456e-12,3.579525150034e-04,1.720312782958e-07,-2.081554582058e-16,3.584538098799e-04,1.720314432876e-07
3.100000000000e-01,-1.550214524499e-06,3.822364884978e-04,-1.227881615556e-06,-1.398548600751e-12,3.523692084977e-04,1.693353364140e-07,-4.839355809492e-16,3.528711803773e-04,1.693354988197e-07
3.200000000000e-01,-2.518264358239e-06,3.750772261035e-04,-2.443283971368e-06,-1.991138320802e-12,3.361474979187e-04,1.614984703591e-07,-1.207661255529e-15,3.366330901875e-04,1.614986252488e-07
3.300000000000e-01,-4.045221130232e-06,3.582601508874e-04,-4.606966568780e-06,-3.057899372446e-12,3.107582675568e-04,1.492347009284e-07,-2.767544363657e-15,3.112152813819e-04,1.492348440575e-07
3.400000000000e-01,-6.425960750973e-06,3.318053890889e-04,-8.375548843263e-06,-5.116045808156e-12,2.784039500913e-04,1.336139267490e-07,-5.825161849841e-15,2.788195271270e-04,1.336140548981e-07
3.500000000000e-01,-1.030663474437e-05,2.949909055443e-04,-1.480420397154e-05,-9.463761509796e-12,2.417079012553e-04,1.159081573010e-07,-1.223744136737e-14,2.420711967551e-04,1.159082684848e-07
3.600000000000e-01,-1.641949702687e-05,2.457392456564e-04,-2.554761129246e-05,-1.795557769387e-11,2.033598448232e-04,9.742186328214e-08,-2.576310876272e-14,2.036682570420e-04,9.742195678161e-08
3.700000000000e-01,-2.591574429983e-05,1.800815446362e-04,-4.313592336996e-05,-3.345840442037e-11,1.657941331811e-04,7.933753303298e-08,-5.470153466239e-14,1.660385417968e-04,7.933760936674e-08
3.800000000000e-01,-4.091861642990e-05,9.178711159966e-05,-7.133824144021e-05,-6.104212665927e-11,1.309670364868e-04,6.260085577142e-08,-1.191280938928e-13,1.311596017001e-04,6.260091667150e-08
3.900000000000e-01,-6.464705571971e-05,-2.781410253192e-05,-1.156186496341e-04,-1.080171338877e-10,1.002154600545e-04,4.785863804361e-08,-2.621563987777e-13,1.003683046778e-04,4.785868691843e-08
4.000000000000e-01,-1.009835968882e-04,-1.896945377509e-04,-1.836754328592e-04,-1.828675801292e-10,7.424252240148e-05,3.545010101913e-08,-5.560067993035e-13,7.437866806336e-05,3.545014494966e-08
4.100000000000e-01,-1.559248907583e-04,-4.067625232386e-04,-2.860308350772e-04,-2.993866110380e-10,5.317813469104e-05,2.544187227783e-08,-1.136586773644e-12,5.334431493747e-05,2.544192866515e-08
4.200000000000e-01,-2.411684240750e-04,-6.932120916625e-04,-4.366056808889e-04,-4.892603253948e-10,3.672832343442e-05,1.769087620134e-08,-2.350194623239e-12,3.698372969931e-05,1.769099261188e-08
4.300000000000e-01,-3.667672391222e-04,-1.063586497093e-03,-6.531713464635e-04,-7.939077195484e-10,2.430418574123e-05,1.191797323515e-08,-4.740058945613e-12,2.473370933770e-05,1.191828325751e-08
4.400000000000e-01,-5.475478720402e-04,-1.531655144935e-03,-9.575248292546e-04,-1.290550911705e-09,1.519369672658e-05,7.777744008484e-09,-9.363273606163e-12,1.589589857593e-05,7.778617839667e-09
4.500000000000e-01,-8.089218020718e-04,-2.109123158742e-03,-1.375188769916e-03,-2.146082085577e-09,8.680788644174e-06,4.914575528699e-09,-1.875597856130e-11,9.764251592442e-06,4.917010757044e-09
4.600000000000e-01,-1.174290957895e-03,-2.804223383555e-03,-1.934409144805e-03,-3.605966737247e-09,4.125903388778e-06,3.000326137847e-09,-3.760523459266e-11,5.706060494205e-06,3.006925632095e-09
4.700000000000e-01,-1.666645133416e-03,-3.620260394316e-03,-2.664224398696e-03,-6.000979749438e-09,1.031631475587e-06,1.752775117161e-09,-7.402606804334e-11,3.207127305809e-06,1.770109365033e-09
4.800000000000e-01,-2.317783794184e-03,-4.554217586152e-03,-3.591427845648e-03,-9.859210904995e-09,-9.381861648475e-07,9.357285759042e-10,-1.442578568953e-10,1.898042074447e-06,9.798492635596e-10
4.900000000000e-01,-3.165775670134e-03,-5.595510289488e-03,-4.736354718484e-03,-1.606101917740e-08,-1.960017512032e-06,3.402792311966e-10,-2.848368739274e-10,1.551205837534e-06,4.491641141806e-10
5.000000000000e-01,-4.218474399329e-03,-6.724996761918e-03,-6.107603343146e-03,-2.550546585009e-08,-2.048326238797e-06,-2.586393657257e-10,-5.519801771360e-10,2.059670169582e-06,2.104850720081e-12
5.100000000000e-01,-5.486352873513e-03,-7.914356786832e-03,-7.696040513907e-03,-3.968080602964e-08,-1.088954630723e-06,-1.187407611097e-09,-1.049095100292e-09,3.416803170617e-06,-5.810206416319e-10
5.200000000000e-01,-6.983690519136e-03,-9.125943105779e-03,-9.468720365283e-03,-6.207666408256e-08,1.132006924531e-06,-3.038082247213e-09,-2.033561490506e-09,5.692875762648e-06,-1.667339226363e-09
5.300000000000e-01,-8.665599478485e-03,-1.031320283443e-02,-1.136362014843e-02,-9.755722960605e-08,4.890833957244e-06,-6.985795321749e-09,-3.914270907129e-09,9.003588576102e-06,-3.971231140325e-09
5.400000000000e-01,-1.047861935036e-02,-1.142171925948e-02,-1.328630436465e-02,-1.546824340698e-07,1.048811577833e-05,-1.539610232717e-08,-7.424946223384e-09,1.347879983463e-05,-8.940336476372e-09
5.500000000000e-01,-1.234539236027e-02,-1.239089452972e-02,-1.510970093961e-02,-2.505287209683e-07,1.818812430294e-05,-3.296631749300e-08,-1.411404022093e-08,1.923107773135e-05,-1.949185002427e-08
5.600000000000e-01,-1.414194258331e-02,-1.315625868995e-02,-1.667804518218e-02,-4.147537514473e-07,2.815600557454e-05,-6.882200681340e-08,-2.706160254605e-08,2.631174799954e-05,-4.138812862822e-08
5.700000000000e-01,-1.573508479257e-02,-1.365235798497e-02,-1.781567818615e-02,-6.846760619343e-07,4.037014237715e-05,-1.402738950444e-07,-5.105025166256e-08,3.465964506394e-05,-8.574548218360e-08
5.800000000000e-01,-1.697833699530e-02,-1.381608226438e-02,-1.834077651403e-02,-1.115937574664e-06,5.453039610122e-05,-2.793808108372e-07,-9.461273186755e-08,4.404461449080e-05,-1.734953247462e-07
5.900000000000e-01,-1.765173054211e-02,-1.359029323935e-02,-1.808329414430e-02,-1.817624074156e-06,6.995236179917e-05,-5.441214427147e-07,-1.785575516818e-07,5.399531982991e-05,-3.431154807451e-07
6.000000000000e-01,-1.764663489224e-02,-1.292756171750e-02,-1.690552728815e-02,-2.879004241065e-06,8.545377361722e-05,-1.036916718578e-06,-3.306838887506e-07,6.372576600346e-05,-6.636840323794e-07
6.100000000000e-01,-1.684411942406e-02,-1.179379308503e-02,-1.472292461507e-02,-4.430667790816e-06,9.924141545816e-05,-1.934519606742e-06,-5.997942828755e-07,7.204881347939e-05,-1.256342211586e-06
6.200000000000e-01,-1.509707379117e-02,-1.017151759138e-02,-1.152223563184e-02,-6.700473875568e-06,1.088080454215e-04,-3.534913986136e-06,-1.088269412590e-06,7.729003448195e-05,-2.328631642981e-06
6.300000000000e-01,-1.239843384778e-02,-8.062611731431e-03,-7.373976300584e-03,-9.954067831688e-06,1.108413082583e-04,-6.328766582017e-06,-1.959255097526e-06,7.720195678505e-05,-4.227887565493e-06
6.400000000000e-01,-8.821833080792e-03,-5.490245745444e-03,-2.436592575231e-03,-1.454485232573e-05,1.011698249435e-04,-1.110493315281e-05,-3.452486956811e-06,6.888790535344e-05,-7.521812417345e-06
6.500000000000e-01,-4.452181523995e-03,-2.499875096536e-03,3.049374053514e-03,-2.112386475762e-05,7.474887259421e-05,-1.910108252745e-05,-5.988717354661e-06,4.874291622767e-05,-1.311623980159e-05
6.600000000000e-01,5.497093100386e-04,8.408576489994e-04,8.777472321161e-03,-3.103183189162e-05,2.569794781845e-05,-3.221091875673e-05,-1.039683221117e-05,1.242066266738e-05,-2.242139359795e-05
6.700000000000e-01,5.889436406273e-03,4.443387247148e-03,1.440067392631e-02,-4.590978669738e-05,-5.259262684737e-05,-5.325765591472e-05,-1.764947660971e-05,-4.516334868319e-05,-3.757779857254e-05
6.800000000000e-01,1.130310098686e-02,8.200672038007e-03,1.956314829161e-02,-6.849741591225e-05,-1.672825351360e-04,-8.633791710238e-05,-2.927908944388e-05,-1.297776976514e-04,-6.175020961538e-05
6.900000000000e-01,1.645791785466e-02,1.199076189344e-02,2.393461707225e-02,-1.045172915013e-04,-3.258193292725e-04,-1.372295067385e-04,-4.839160199714e-05,-2.477669005120e-04,-9.949101356865e-05
7.000000000000e-01,2.104832718845e-02,1.568137344600e-02,2.724285021345e-02,-1.605502587698e-04,-5.355949598286e-04,-2.138391185487e-04,-7.845726738283e-05,-4.058743333163e-04,-1.571619511274e-04
7.100000000000e-01,2.483142175611e-02,1.913528296553e-02,2.930000523239e-02,-2.454981873026e-04,-8.035227220007e-04,-3.266412520666e-04,-1.242231907780e-04,-6.109894315241e-04,-2.433834359006e-04
7.200000000000e-01,2.755392297989e-02,2.221629222962e-02,3.001936341107e-02,-3.736771255258e-04,-1.135545560238e-03,-4.890280783244e-04,-1.935201552537e-04,-8.698180683163e-04,-3.694538299263e-04
7.300000000000e-01,2.903979668519e-02,2.479549963320e-02,2.942043561538e-02,-5.643555841914e-04,-1.536086988258e-03,-7.174545803581e-04,-2.974036165318e-04,-1.188476608766e-03,-5.496480247466e-04
7.400000000000e-01,2.930877516775e-02,2.675754350492e-02,2.762213922037e-02,-8.337720456885e-04,-2.007475729692e-03,-1.031229744446e-03,-4.461574644924e-04,-1.572008756672e-03,-8.012692558744e-04
7.500000000000e-01,2.838934473347e-02,2.800651029463e-02,2.482547184452e-02,-1.202537825435e-03,-2.549356933218e-03,-1.451781813496e-03,-6.537365384278e-04,-2.023846751440e-03,-1.144296948900e-03
7.600000000000e-01,2.628918908947e-02,2.847119347183e-02,2.128852341894e-02,-1.707644017186e-03,-3.158141519609e-03,-2.001225250240e-03,-9.468460504141e-04,-2.545231766938e-03,-1.600456366000e-03
7.700000000000e-01,2.331375871791e-02,2.810938776243e-02,1.729754511905e-02,-2.358545950944e-03,-3.826518378719e-03,-2.700091852740e-03,-1.338421792395e-03,-3.134606034534e-03,-2.191545027159e-03
7.800000000000e-01,1.968060034995e-02,2.691099811572e-02,1.313801849897e-02,-3.170215060532e-03,-4.543071084359e-03,-3.564169537660e-03,-1.847767538960e-03,-3.787036726498e-03,-2.936898859689e-03
7.900000000000e-01,1.562370093237e-02,2.489973525115e-02,9.069259367893e-03,-4.160661004450e-03,-5.292043720642e-03,-4.600525301246e-03,-2.502934326905e-03,-4.493682589091e-03,-3.849977592863e-03
8.000000000000e-01,1.143946979444e-02,2.213327078724e-02,5.305183721635e-03,-5.320244423122e-03,-6.053284556043e-03,-5.802969668075e-03,-3.318451179919e-03,-5.241351280246e-03,-4.934197098974e-03
8.100000000000e-01,7.369663224418e-03,1.870180636864e-02,2.002669897119e-03,-6.619193716365e-03,-6.802410348665e-03,-7.147431013825e-03,-4.295313821457e-03,-6.012209309983e-03,-6.178328251077e-03
8.200000000000e-01,3.617292416745e-03,1.472504944903e-02,-7.422897911013e-04,-8.019265281947e-03,-7.511200618812e-03,-8.587916936081e-03,-5.433522563148e-03,-6.783673393181e-03,-7.551995347449e-03
8.300000000000e-01,3.828083795441e-04,1.034771995844e-02,-2.891530185716e-03,-9.453599705860e-03,-8.148259018736e-03,-1.005390057207e-02,-6.721665850527e-03,-7.528524331823e-03,-9.002005350346e-03
8.400000000000e-01,-2.273357369443e-03,5.733726178412e-03,-4.456389586288e-03,-1.083107433187e-02,-8.679912166257e-03,-1.145002966228e-02,-8.107380765611e-03,-8.215296743218e-03,-1.045037350572e-02
8.500000000000e-01,-4.311139670770e-03,1.059299127647e-03,-5.486140490220e-03,-1.205559811527e-02,-9.071366126629e-03,-1.265896607469e-02,-9.533931205440e-03,-8.808953938442e-03,-1.179492866122e-02
8.600000000000e-01,-5.688487335081e-03,-3.494674217500e-03,-6.055200412413e-03,-1.298815163236e-02,-9.288076050106e-03,-1.354789144080e-02,-1.091304555822e-02,-9.271885427202e-03,-1.291323767695e-02
8.700000000000e-01,-6.495297765385e-03,-7.750704142861e-03,-6.250859695929e-03,-1.351613672267e-02,-9.297277664668e-03,-1.397875938087e-02,-1.213426283225e-02,-9.565195136082e-03,-1.367025910654e-02
8.800000000000e-01,-6.823083748007e-03,-1.154281952961e-02,-6.162790307974e-03,-1.354303774530e-02,-9.069651973524e-03,-1.382177623579e-02,-1.308641908534e-02,-9.650291538342e-03,-1.392963259888e-02
8.900000000000e-01,-6.753165998706e-03,-1.472433415152e-02,-5.875060167297e-03,-1.295609366047e-02,-8.581021924983e-03,-1.297093313720e-02,-1.363151351690e-02,-9.490724919128e-03,-1.356788536480e-02
9.000000000000e-01,-6.392495919427e-03,-1.717487281368e-02,-5.460872432155e-03,-1.166861323415e-02,-7.814025200390e-03,-1.135981034714e-02,-1.362015091697e-02,-9.054209871312e-03,-1.249018525927e-02
9.100000000000e-01,-5.858965183567e-03,-1.880631377835e-02,-4.979847890522e-03,-9.704009318681e-03,-6.759661161838e-03,-8.975463225320e-03,-1.298205443839e-02,-8.314752492807e-03,-1.064571601602e-02
9.200000000000e-01,-5.233890511648e-03,-1.956729634520e-02,-4.477404621808e-03,-7.085783622298e-03,-5.418617940729e-03,-5.868098556948e-03,-1.164808908295e-02,-7.254786729903e-03,-8.040425777179e-03
9.300000000000e-01,-4.588734796810e-03,-1.944606610151e-02,-3.985663601105e-03,-3.836485666602e-03,-3.802312132386e-03,-2.154537593363e-03,-9.514808213225e-03,-5.867198948987e-03,-4.744915072106e-03
9.400000000000e-01,-3.977727348595e-03,-1.847143506217e-02,-3.525299710793e-03,-1.455253840516e-04,-1.933533004548e-03,1.985853932232e-03,-6.679909338526e-03,-4.157105457734e-03,-8.956425344792e-04
9.500000000000e-01,-3.429349436879e-03,-1.671178224322e-02,-3.107830092581e-03,3.825298611874e-03,1.533540110378e-04,6.323082771422e-03,-3.228995042251e-03,-2.143275048847e-03,3.311581067315e-03
