t,x,p_dibem,p_exact,error
8.000000000000e-01,-1.451612903226e+00,-2.792617066776e-07,-3.935208658463e-12,-2.792577714690e-07
8.000000000000e-01,-1.354838709677e+00,-1.613146687703e-07,-3.935613392012e-12,-1.613107331569e-07
8.000000000000e-01,-1.258064516129e+00,-8.986818534618e-08,-3.935993403609e-12,-8.986424935278e-08
8.000000000000e-01,-1.161290322581e+00,1.351281231901e-07,-3.936358052488e-12,1.351320595482e-07
8.000000000000e-01,-1.064516129032e+00,-2.682951606488e-06,-4.000753149561e-12,-2.682947605735e-06
8.000000000000e-01,-9.677419354839e-01,6.539127243641e-06,-1.100293583582e-09,6.540227537225e-06
8.000000000000e-01,-8.709677419355e-01,1.136476956258e-04,-1.371546319767e-06,1.150192419456e-04
8.000000000000e-01,-7.741935483871e-01,-6.489711550592e-04,-2.299314175061e-04,-4.190397375531e-04
8.000000000000e-01,-6.774193548387e-01,-6.053244570979e-03,-5.802969668075e-03,-2.502749029033e-04
8.000000000000e-01,-5.806451612903e-01,-9.119270353250e-03,-1.288371311981e-02,3.764442766562e-03
8.000000000000e-01,-4.838709677419e-01,1.402838819392e-02,2.505085903841e-02,-1.102247084449e-02
8.000000000000e-01,-3.870967741935e-01,2.213323414579e-02,5.305183721635e-03,1.682805042415e-02
8.000000000000e-01,-2.903225806452e-01,-1.928069806999e-02,-6.555134490243e-03,-1.272556357975e-02
8.000000000000e-01,-1.935483870968e-01,-8.130390714703e-04,-2.669010395398e-03,1.855971323928e-03
8.000000000000e-01,-9.677419354839e-02,-1.788023338228e-02,-1.542417732540e-03,-1.633781564974e-02
8.000000000000e-01,7.285838599103e-17,5.336488853986e-03,-1.325813449681e-03,6.662302303667e-03
8.000000000000e-01,9.677419354839e-02,-1.788026537422e-02,-1.542417732540e-03,-1.633784764168e-02
8.000000000000e-01,1.935483870968e-01,-8.130993137082e-04,-2.669010395398e-03,1.855911081690e-03
8.000000000000e-01,2.903225806452e-01,-1.928073654149e-02,-6.555134490243e-03,-1.272560205125e-02
8.000000000000e-01,3.870967741935e-01,2.213327078724e-02,5.305183721635e-03,1.682808706561e-02
8.000000000000e-01,4.838709677419e-01,1.402849147519e-02,2.505085903841e-02,-1.102236756322e-02
8.000000000000e-01,5.806451612903e-01,-9.119188679941e-03,-1.288371311981e-02,3.764524439872e-03
8.000000000000e-01,6.774193548387e-01,-6.053284556043e-03,-5.802969668075e-03,-2.503148879680e-04
8.000000000000e-01,7.741935483871e-01,-6.491122765095e-04,-2.299314175061e-04,-4.191808590034e-04
8.000000000000e-01,8.709677419355e-01,1.135389508616e-04,-1.371546319767e-06,1.149104971813e-04
8.000000000000e-01,9.677419354839e-01,6.559502609104e-06,-1.100293583582e-09,6.560602902687e-06
8.000000000000e-01,1.064516129032e+00,-2.556820240138e-06,-4.000755018022e-12,-2.556816239383e-06
8.000000000000e-01,1.161290322581e+00,2.643665191563e-07,-3.936357635419e-12,2.643704555139e-07
8.000000000000e-01,1.258064516129e+00,-4.317796545798e-08,-3.935993403609e-12,-4.317402946458e-08
8.000000000000e-01,1.354838709677e+00,-2.034952832650e-07,-3.935613392012e-12,-2.034913476516e-07
8.000000000000e-01,1.451612903226e+00,-3.648432244313e-07,-3.935208658463e-12,-3.648392892226e-07
1.600000000000e+00,-1.451612903226e+00,-6.075730062370e-03,-6.475703067563e-03,3.999730051931e-04
1.600000000000e+00,-1.354838709677e+00,-3.020229345302e-03,-3.600888788339e-03,5.806594430370e-04
1.600000000000e+00,-1.258064516129e+00,9.306290367204e-03,1.638134226207e-02,-7.075051894861e-03
1.600000000000e+00,-1.161290322581e+00,1.011192581090e-02,-1.041006971536e-03,1.115293278244e-02
1.600000000000e+00,-1.064516129032e+00,-8.395916074994e-03,-2.552705246307e-03,-5.843210828687e-03
1.600000000000e+00,-9.677419354839e-01,-4.007342714758e-03,-8.448399068502e-04,-3.162502807907e-03
1.600000000000e+00,-8.709677419355e-01,7.173573037354e-03,-4.093846460293e-04,7.582957683383e-03
1.600000000000e+00,-7.741935483871e-01,-6.830233946940e-03,-2.503953941482e-04,-6.579838552792e-03
