t,w_julia,w_fem,w_matlab_aprfun3
0.0,0.0,3.94541e-9,0.0
0.001,1.2402854604857905e-9,3.94541e-9,0.0
0.002,4.349428547325065e-9,3.94541e-9,1.905e-8
0.003,9.652356866590068e-9,3.94541e-9,1.905e-8
0.004,1.732089016498402e-8,1.96485e-8,1.905e-8
0.005,2.7445279055429417e-8,1.96485e-8,6.288e-8
0.006,4.00670255517359e-8,1.96485e-8,6.288e-8
0.007,5.519395020370115e-8,5.09767e-8,1.337e-7
0.008,7.28085314262404e-8,5.09767e-8,1.337e-7
0.009000000000000001,9.287520327200359e-8,9.79301e-8,2.332e-7
0.010000000000000002,1.1534918761977487e-7,9.79301e-8,2.332e-7
0.011000000000000003,1.4018741928124251e-7,9.79301e-8,2.332e-7
0.012000000000000004,1.673607188650168e-7,1.6051e-7,3.615e-7
0.013000000000000005,1.968654494402765e-7,1.6051e-7,3.615e-7
0.014000000000000005,2.2873248634355892e-7,2.38725e-7,5.174e-7
0.015000000000000006,2.6303147887782806e-7,2.38725e-7,5.174e-7
0.016000000000000007,2.998690567874395e-7,2.38725e-7,5.174e-7
0.017000000000000008,3.393806900747625e-7,3.32601e-7,6.993e-7
0.01800000000000001,3.8171711267526336e-7,3.32601e-7,6.993e-7
0.01900000000000001,4.270273006302975e-7,4.42216e-7,9.074e-7
0.02000000000000001,4.7544072308916753e-7,4.42216e-7,9.074e-7
0.02100000000000001,5.270518199439283e-7,4.42216e-7,1.144e-6
0.022000000000000013,5.819093744890931e-7,5.67688e-7,1.144e-6
0.023000000000000013,6.400127134400516e-7,5.67688e-7,1.144e-6
0.024000000000000014,7.013156172263027e-7,7.08974e-7,1.412e-6
0.025000000000000015,7.657376299682029e-7,7.08974e-7,1.412e-6
0.026000000000000016,8.331812952211223e-7,7.08974e-7,1.713e-6
0.027000000000000017,9.035528731490697e-7,8.65239e-7,1.713e-6
0.028000000000000018,9.767834575177137e-7,8.65239e-7,1.713e-6
0.02900000000000002,1.0528472127056003e-6,1.0344e-6,2.048e-6
0.03000000000000002,1.131773747682568e-6,1.0344e-6,2.048e-6
0.03100000000000002,1.2136524245623887e-6,1.0344e-6,2.415e-6
0.03200000000000002,1.2986275752383577e-6,1.21442e-6,2.415e-6
0.03300000000000002,1.3868850072756895e-6,1.21442e-6,2.415e-6
0.03400000000000002,1.4786316014353486e-6,1.40701e-6,2.81e-6
0.035000000000000024,1.5740710001725516e-6,1.40701e-6,2.81e-6
0.036000000000000025,1.6733791449279016e-6,1.40701e-6,3.23e-6
0.037000000000000026,1.776683590333785e-6,1.6206e-6,3.23e-6
0.03800000000000003,1.8840500505115168e-6,1.6206e-6,3.23e-6
0.03900000000000003,1.995478568899645e-6,1.86809e-6,3.673e-6
0.04000000000000003,2.110910202495871e-6,1.86809e-6,3.673e-6
0.04100000000000003,2.2302434061734634e-6,1.86809e-6,3.673e-6
0.04200000000000003,2.3533576669814365e-6,2.16007e-6,4.136e-6
0.04300000000000003,2.4801406448564505e-6,2.16007e-6,4.136e-6
0.04400000000000003,2.610514352486322e-6,2.49996e-6,4.622e-6
0.04500000000000003,2.7444558972421194e-6,2.49996e-6,4.622e-6
0.046000000000000034,2.8820090461369713e-6,2.49996e-6,4.622e-6
0.047000000000000035,3.0232842739738604e-6,2.88551e-6,5.131e-6
0.048000000000000036,3.1684468155856328e-6,2.88551e-6,5.131e-6
0.04900000000000004,3.3176942788008483e-6,3.31315e-6,5.665e-6
0.05000000000000004,3.471227253330518e-6,3.31315e-6,5.665e-6
0.05100000000000004,3.6292177456110646e-6,3.31315e-6,5.665e-6
0.05200000000000004,3.791780913718153e-6,3.7802e-6,6.225e-6
