ab,K1b,K2b,K3b,F,Le,La,Lb,nnod
0.6,1.51357472,-5.26251416e-03,1.08996338e-02,1.10243579,0.07500000,0.06250000,0.03750000,192
0.8,2.50758743,-6.63211921e-03,5.28600615e-02,1.58174385,0.10000000,0.08333333,0.05000000,192
