0.1666666666666667,0,3.414245586638504e-06,7.732492164812185e-08,-3.768319789264778e-06
0.5,0,7.268292810349275e-06,-5.765529472349535e-08,-1.071341341705128e-05
0.8333333333333333,0,8.293953948287586e-06,2.033934496788162e-07,-1.583145332050164e-05
1,0.1666666666666667,8.16293332595325e-06,7.451901800354146e-08,-1.753612772233806e-05
1,0.5,8.215079746624979e-06,3.152069124880956e-12,-1.754783086134968e-05
1,0.8333333333333333,8.162935277392684e-06,-7.451392969836269e-08,-1.753613061316846e-05
0.8333333333333333,1,8.293958622525373e-06,-2.033858683313985e-07,-1.583145726661907e-05
0.5,1,7.268293043347877e-06,5.766781925247118e-08,-1.071341700926663e-05
0.1666666666666667,1,3.414242500512512e-06,-7.732208813579062e-08,-3.768321248797155e-06
0,0.8333333333333333,0,0,0
0,0.5,0,0,0
0,0.1666666666666667,0,0,0
