t,x,p_dibem,p_exact,error
1.600000000000e+00,-1.374083333333e+00,-4.230797069908e-03,-7.561986641573e-03,3.331189571664e-03
1.600000000000e+00,-1.249166666667e+00,8.256782819352e-03,1.566409839159e-02,-7.407315572240e-03
1.600000000000e+00,-1.124250000000e+00,9.378191951001e-03,-3.485596559611e-03,1.286378851061e-02
1.600000000000e+00,-9.993333333333e-01,-1.092860225103e-02,-1.173950796490e-03,-9.754651454543e-03
1.600000000000e+00,-8.744166666667e-01,-1.672798835383e-04,-4.179589355250e-04,2.506790519867e-04
1.600000000000e+00,-7.495000000000e-01,6.220039201842e-03,-2.257557808596e-04,6.445794982702e-03
1.600000000000e+00,-6.245833333333e-01,-9.371591967275e-03,-1.469464483461e-04,-9.224645518929e-03
1.600000000000e+00,-4.996666666667e-01,1.347031411010e-02,-1.077004940814e-04,1.357801460418e-02
1.600000000000e+00,-3.747500000000e-01,-1.570847596856e-02,-8.620438645432e-05,-1.562227158210e-02
1.600000000000e+00,-2.498333333333e-01,-7.806501493155e-03,-7.414962255873e-05,-7.732351870597e-03
1.600000000000e+00,-1.249166666667e-01,8.822967625565e-03,-6.794163440296e-05,8.890909259968e-03
1.600000000000e+00,0.000000000000e+00,-1.868112148087e-03,-6.602009162250e-05,-1.802092056465e-03
1.600000000000e+00,1.249166666667e-01,8.822930520499e-03,-6.794163440296e-05,8.890872154902e-03
1.600000000000e+00,2.498333333333e-01,-7.806391029721e-03,-7.414962255873e-05,-7.732241407162e-03
1.600000000000e+00,3.747500000000e-01,-1.570853746973e-02,-8.620438645432e-05,-1.562233308327e-02
1.600000000000e+00,4.996666666667e-01,1.347023787318e-02,-1.077004940814e-04,1.357793836726e-02
1.600000000000e+00,6.245833333333e-01,-9.371478044577e-03,-1.469464483461e-04,-9.224531596230e-03
1.600000000000e+00,7.495000000000e-01,6.219942267167e-03,-2.257557808596e-04,6.445698048027e-03
1.600000000000e+00,8.744166666667e-01,-1.672729838724e-04,-4.179589355250e-04,2.506859516526e-04
1.600000000000e+00,9.993333333333e-01,-1.092857277364e-02,-1.173950796490e-03,-9.754621977146e-03
1.600000000000e+00,1.124250000000e+00,9.378183130566e-03,-3.485596559611e-03,1.286377969018e-02
1.600000000000e+00,1.249166666667e+00,8.256819655081e-03,1.566409839159e-02,-7.407278736511e-03
1.600000000000e+00,1.374083333333e+00,-4.230812349408e-03,-7.561986641573e-03,3.331174292165e-03
1.600000000000e+00,1.499000000000e+00,-6.912647890155e-03,-2.303416992361e-03,-4.609230897794e-03
2.200000000000e+00,-1.499000000000e+00,-1.627557775983e-02,-3.725349444461e-04,-1.590304281538e-02
2.200000000000e+00,-1.374083333333e+00,3.891307978617e-03,-1.831951507966e-04,4.074503129414e-03
2.200000000000e+00,-1.249166666667e+00,4.019657436478e-03,-1.102017218104e-04,4.129859158288e-03
2.200000000000e+00,-1.124250000000e+00,1.435389712596e-03,-7.453553066566e-05,1.509925243262e-03
2.200000000000e+00,-9.993333333333e-01,4.306599117244e-03,-5.462466979109e-05,4.361223787035e-03
2.200000000000e+00,-8.744166666667e-01,-1.044981429930e-02,-4.251324559653e-05,-1.040730105370e-02
2.200000000000e+00,-7.495000000000e-01,3.447546352974e-03,-3.471232524403e-05,3.482258678218e-03
