t,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,error_0_4_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,error_0_7_0_0_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_,error_0_5_0_5_
4.000000000000e-01,-4.479143046248e-04,-3.215350638292e-04,-1.263792407956e-04,8.647017842985e-05,3.545049189665e-08,8.643472793795e-05,8.453649181849e-05,3.545026484192e-08,8.450104155365e-05
4.100000000000e-01,-8.539691324346e-04,-4.884991467945e-04,-3.654699856401e-04,6.225774993886e-05,2.544219752722e-08,6.223230774133e-05,6.017881252438e-05,2.544203330218e-08,6.015337049107e-05
4.200000000000e-01,-1.370386346093e-03,-7.273450734211e-04,-6.430412726715e-04,4.330500794105e-05,1.769124394645e-08,4.328731669710e-05,4.125996253303e-05,1.769112531360e-08,4.124227140772e-05
4.300000000000e-01,-2.008363138702e-03,-1.061156172542e-03,-9.472069661597e-04,2.890698564587e-05,1.191865423335e-08,2.889506699163e-05,2.716943948074e-05,1.191855932154e-08,2.715752092142e-05
4.400000000000e-01,-2.774661045354e-03,-1.516633786823e-03,-1.258027258531e-03,1.820273175722e-05,7.779470583131e-09,1.819495228663e-05,1.715592290917e-05,7.779359690542e-09,1.714814354948e-05
4.500000000000e-01,-3.670170676037e-03,-2.122876573888e-03,-1.547294102149e-03,1.031548809288e-05,4.919338215580e-09,1.031056875467e-05,1.046111686470e-05,4.919113665178e-09,1.045619775103e-05
4.600000000000e-01,-4.688722278491e-03,-2.909167272256e-03,-1.779555006234e-03,4.458318624734e-06,3.013419441010e-09,4.455305205293e-06,6.420106117509e-06,3.012810953579e-09,6.417093306555e-06
4.700000000000e-01,-5.816191778873e-03,-3.901606048013e-03,-1.914585730860e-03,-8.194207761733e-09,1.787871131743e-09,-9.982078893476e-09,4.506353250065e-06,1.786121334541e-09,4.504567128730e-06
4.800000000000e-01,-7.030012612468e-03,-5.118556990646e-03,-1.911455621822e-03,-3.542728681509e-06,1.027042347508e-09,-3.543755723857e-06,4.358724118832e-06,1.022074714010e-09,4.357702044118e-06
4.900000000000e-01,-8.299139425658e-03,-6.565071385849e-03,-1.734068039810e-03,-6.418182607696e-06,5.707959400272e-10,-6.418753403636e-06,5.767812368391e-06,5.570889431003e-10,5.767255279448e-06
5.000000000000e-01,-9.584484729822e-03,-8.226708022164e-03,-1.357776707658e-03,-8.726548239691e-06,3.062715255552e-10,-8.726854511217e-06,8.636795335222e-06,2.696118682924e-10,8.636525723353e-06
5.100000000000e-01,-1.083985889294e-02,-1.006345801329e-02,-7.764008796442e-04,-1.040731136411e-05,1.575057670577e-10,-1.040746886987e-05,1.297946233152e-05,6.247011001836e-11,1.297939986141e-05
5.200000000000e-01,-1.201337472014e-02,-1.200475044123e-02,-8.624278912807e-06,-1.126160157827e-05,7.508520530431e-11,-1.126167666348e-05,1.885780454497e-05,-1.638552418427e-10,1.885796840021e-05
5.300000000000e-01,-1.304928826096e-02,-1.394670050176e-02,8.974122408019e-04,-1.097406611958e-05,2.672137301346e-11,-1.097409284096e-05,2.634599607452e-05,-5.563423931163e-10,2.634655241692e-05
5.400000000000e-01,-1.389020556225e-02,-1.575279269151e-02,1.862587129264e-03,-9.141480461732e-06,-1.164739851070e-11,-9.141468814334e-06,3.549616846394e-05,-1.393653115578e-09,3.549756211705e-05
5.500000000000e-01,-1.447955472689e-02,-1.725900638456e-02,2.779451657671e-03,-5.306290869934e-06,-6.615584256239e-11,-5.306224714091e-06,4.629566777246e-05,-3.250573789078e-09,4.629891834625e-05
5.600000000000e-01,-1.476422964332e-02,-1.828395661540e-02,3.519726972083e-03,1.010673861690e-06,-1.810390320373e-10,1.010854900722e-06,5.861919446356e-05,-7.320162566618e-09,5.862651462612e-05
5.700000000000e-01,-1.469726039200e-02,-1.864395153506e-02,3.946691143058e-03,1.026475995503e-05,-4.491364147482e-10,1.026520909144e-05,7.219419364800e-05,-1.603483034868e-08,7.221022847834e-05
5.800000000000e-01,-1.424039541874e-02,-1.817202925426e-02,3.931633835513e-03,2.283708023486e-05,-1.074120723534e-09,2.283815435559e-05,8.654884667511e-05,-3.423630184044e-08,8.658308297695e-05
5.900000000000e-01,-1.336644837517e-02,-1.673915641063e-02,3.372708035455e-03,3.897413735153e-05,-2.497791614423e-09,3.897663514314e-05,1.009678006764e-04,-7.132430653406e-08,1.010391249830e-04
6.000000000000e-01,-1.206128642954e-02,-1.427501563880e-02,2.213729209260e-03,5.872426267300e-05,-5.655356748003e-09,5.872991802974e-05,1.144428340360e-04,-1.451019982143e-07,1.145879360342e-04
6.100000000000e-01,-1.032534834664e-02,-1.078535735992e-02,4.600090132866e-04,8.186652723941e-05,-1.247429333996e-08,8.187900153275e-05,1.256290142651e-04,-2.884816926351e-07,1.259174959577e-04
6.200000000000e-01,-8.174593185764e-03,-6.362892964331e-03,-1.811700221433e-03,1.078410592989e-04,-2.682322330229e-08,1.078678825222e-04,1.328024794560e-04,-5.608774209764e-07,1.333633568769e-04
6.300000000000e-01,-5.640814841385e-03,-1.189242745048e-03,-4.451572096336e-03,1.356792033838e-04,-5.626900112248e-08,1.357354723849e-04,1.338281510420e-04,-1.067054601814e-06,1.348952056439e-04
6.400000000000e-01,-2.771283993158e-03,4.473495888665e-03,-7.244779881823e-03,1.639446796610e-04,-1.152456389778e-07,1.640599253000e-04,1.261372540742e-04,-1.987482911394e-06,1.281247369856e-04
6.500000000000e-01,3.722945776624e-04,1.030155659296e-02,-9.929262015300e-03,1.906806090709e-04,-2.306221436335e-07,1.909112312146e-04,1.067196564560e-04,-3.625855067178e-06,1.103455115232e-04
6.600000000000e-01,3.715472865804e-03,1.593708958571e-02,-1.222161671990e-02,2.133775554550e-04,-4.512333828557e-07,2.138287888378e-04,7.213674135164e-05,-6.481311839628e-06,7.861805319127e-05
6.700000000000e-01,7.173348321487e-03,2.102145703636e-02,-1.384810871487e-02,2.289608685847e-04,-8.637705993766e-07,2.298246391841e-04,1.855191827989e-05,-1.135481956035e-05,2.990673784024e-05
6.800000000000e-01,1.065335486788e-02,2.523011511721e-02,-1.457676024933e-02,2.338047723746e-04,-1.618571545233e-06,2.354233439199e-04,-5.820315152571e-05,-1.950061978654e-05,-3.870253173917e-05
6.900000000000e-01,1.405844216755e-02,2.830453790286e-02,-1.424609573531e-02,2.237747467929e-04,-2.970328676908e-06,2.267450754698e-04,-1.625457593198e-04,-3.283395067753e-05,-1.297118086422e-04
7.000000000000e-01,1.729051551869e-02,3.007695662051e-02,-1.278644110182e-02,1.943043928381e-04,-5.340500230847e-06,1.996448930689e-04,-2.990172180869e-04,-5.420422554170e-05,-2.448129925452e-04
7.100000000000e-01,2.025397387425e-02,3.048470747665e-02,-1.023073360240e-02,1.405046823177e-04,-9.410087119967e-06,1.499147694377e-04,-4.721316824526e-04,-8.773714028179e-05,-3.843945421709e-04
7.200000000000e-01,2.285921073507e-02,2.957252429288e-02,-6.713313557811e-03,5.731093695277e-05,-1.625305209278e-05,7.356398904555e-05,-6.861931473826e-04,-1.392382166999e-04,-5.469549306827e-04
7.300000000000e-01,2.502590780591e-02,2.748289759650e-02,-2.456989790592e-03,-6.034082085943e-05,-2.752135696269e-05,-3.281946389674e-05,-9.450760863873e-04,-2.166327087568e-04,-7.284433776305e-04
7.400000000000e-01,2.668599362818e-02,2.443632643406e-02,2.249667194116e-03,-2.173038290097e-04,-4.569140530555e-05,-1.716124237042e-04,-1.251988321244e-03,-3.303919603460e-04,-9.215963608976e-04
7.500000000000e-01,2.778613561505e-02,2.070461648676e-02,7.081519128295e-03,-4.179853634968e-04,-7.437731207794e-05,-3.436080514189e-04,-1.609204874882e-03,-4.938649924613e-04,-1.115339882421e-03
7.600000000000e-01,2.828965601622e-02,1.658111885235e-02,1.170853716387e-02,-6.660940790663e-04,-1.187073869932e-04,-5.473866920731e-04,-2.017790365485e-03,-7.233993148198e-04,-1.294391050665e-03
7.700000000000e-01,2.817781247424e-02,1.235187425131e-02,1.582593822293e-02,-9.643752317471e-04,-1.857450937853e-04,-7.786301379617e-04,-2.477321832649e-03,-1.038102571083e-03,-1.439219261566e-03
7.800000000000e-01,2.745038348895e-02,8.271076630785e-03,1.917930685816e-02,-1.314344489589e-03,-2.849136427278e-04,-1.029430846861e-03,-2.985609110796e-03,-1.459075607605e-03,-1.526533503192e-03
7.900000000000e-01,2.612554508698e-02,4.543258344001e-03,2.158228674298e-02,-1.716034828093e-03,-4.283545767870e-04,-1.287680251306e-03,-3.538441735535e-03,-2.007949435251e-03,-1.530492300284e-03
8.000000000000e-01,2.423907681904e-02,1.313353301781e-03,2.292572351726e-02,-2.167754789828e-03,-6.311174441283e-04,-1.536637345700e-03,-4.129365241717e-03,-2.704595813956e-03,-1.424769427762e-03
8.100000000000e-01,2.184292869542e-02,-1.335444862597e-03,2.317837355802e-02,-2.665896022798e-03,-9.110447646885e-04,-1.754851258109e-03,-4.749510266189e-03,-3.563964446550e-03,-1.185545819639e-03
8.200000000000e-01,1.900322981176e-02,-3.377141113957e-03,2.238037092572e-02,-3.204771545817e-03,-1.288191858020e-03,-1.916579687797e-03,-5.387479167947e-03,-4.592133953311e-03,-7.953452146355e-04
8.300000000000e-01,1.579785254766e-02,-4.833509294262e-03,2.063136184192e-02,-3.776517185850e-03,-1.783615299717e-03,-1.992901886133e-03,-6.029313660778e-03,-5.781843968183e-03,-2.474696925949e-04
8.400000000000e-01,1.231362595894e-02,-5.761860367231e-03,1.807548632617e-02,-4.371059908883e-03,-2.417388900890e-03,-1.953671007993e-03,-6.658557292303e-03,-7.107983558619e-03,4.494262663160e-04
8.500000000000e-01,8.643353433606e-03,-6.242021786140e-03,1.488537521975e-02,-4.976160139376e-03,-3.205773334053e-03,-1.770386805323e-03,-7.256416098036e-03,-8.523713709511e-03,1.267297611475e-03
8.600000000000e-01,4.882731223815e-03,-6.364192737281e-03,1.124692396110e-02,-5.577534196668e-03,-4.157581649709e-03,-1.419952546959e-03,-7.802032901474e-03,-9.958053191946e-03,2.156020290472e-03
8.700000000000e-01,1.127328756846e-03,-6.218832910351e-03,7.346161667197e-03,-6.159067600514e-03,-5.269946291260e-03,-8.891213092538e-04,-8.272883182419e-03,-1.131580594566e-02,3.042922763244e-03
8.800000000000e-01,-2.530274624564e-03,-5.889194091716e-03,3.358919467151e-03,-6.703109045331e-03,-6.523890028839e-03,-1.792190164914e-04,-8.645285435260e-03,-1.248060681342e-02,3.835321378162e-03
8.900000000000e-01,-6.003090699683e-03,-5.446610243960e-03,-5.564804557225e-04,-7.190849388365e-03,-7.880305496954e-03,6.894561085888e-04,-8.895032010150e-03,-1.332158164289e-02,4.426549632738e-03
9.000000000000e-01,-9.211976664134e-03,-4.948284929287e-03,-4.263691734848e-03,-7.602782978346e-03,-9.277114487334e-03,1.674331508988e-03,-8.998121099940e-03,-1.370365915453e-02,4.705538054588e-03
9.100000000000e-01,-1.208747490020e-02,-4.437080670468e-03,-7.650394229736e-03,-7.919234018927e-03,-1.062845932515e-02,2.709225306223e-03,-8.931593367985e-03,-1.350097779544e-02,4.569384427453e-03
9.200000000000e-01,-1.457122568187e-02,-3.942717769765e-03,-1.062850791211e-02,-8.120944704808e-03,-1.182672607592e-02,3.705781371108e-03,-8.674419548733e-03,-1.261218529663e-02,3.937765747895e-03
9.300000000000e-01,-1.661691512775e-02,-3.483803698000e-03,-1.313311142975e-02,-8.189698166579e-03,-1.274797803276e-02,4.558279866183e-03,-8.208461760946e-03,-1.097584908161e-02,2.767387320666e-03
9.400000000000e-01,-1.819079093741e-02,-3.070201816014e-03,-1.512058912140e-02,-8.108974405771e-03,-1.326097975118e-02,5.152005345411e-03,-7.519430681688e-03,-8.583812513732e-03,1.064381832044e-03
9.500000000000e-01,-1.927177148513e-02,-2.705372853045e-03,-1.656639863208e-02,-7.864604213059e-03,-1.323944601202e-02,5.374841798959e-03,-6.597833666404e-03,-5.490261092106e-03,-1.107572574298e-03
9.600000000000e-01,-1.985118283893e-02,-2.388453422637e-03,-1.746272941629e-02,-7.445403770221e-03,-1.257652701831e-02,5.131123248087e-03,-5.439862308976e-03,-1.814575304581e-03,-3.625287004395e-03
9.700000000000e-01,-1.993221786963e-02,-2.115951612458e-03,-1.781626625718e-02,-6.843772830446e-03,-1.119994706364e-02,4.356174233192e-03,-4.048177148474e-03,2.263255242118e-03,-6.311432390592e-03
9.800000000000e-01,-1.952914107137e-02,-1.883028958793e-03,-1.764611211258e-02,-6.056231370808e-03,-9.085774374764e-03,3.029543003956e-03,-2.432567126289e-03,6.514877782531e-03,-8.947444908820e-03
9.900000000000e-01,-1.866634226463e-02,-1.684397850389e-03,-1.698194441424e-02,-5.083854947950e-03,-6.268634443719e-03,1.184779495769e-03,-6.104088131631e-04,1.068254747215e-02,-1.129295628531e-02
1.000000000000e+00,-1.737728407239e-02,-1.514896314211e-03,-1.586238775818e-02,-3.932625134952e-03,-2.846372338422e-03,-1.086252796530e-03,1.393072129724e-03,1.450278273917e-02,-1.310971060945e-02
1.010000000000e+00,-1.570340568458e-02,-1.369814053449e-03,-1.433359163113e-02,-2.613639253771e-03,1.022255835161e-03,-3.635895088932e-03,3.544813050938e-03,1.773182015070e-02,-1.418700709976e-02
1.020000000000e+00,-1.369301955193e-02,-1.245041295422e-03,-1.244797825650e-02,-1.143182928961e-03,5.127380098601e-03,-6.270563027562e-03,5.804179768605e-03,2.016957614940e-02,-1.436539638079e-02
1.030000000000e+00,-1.140024900135e-02,-1.137101651047e-03,-1.026314735030e-02,4.573495156719e-04,9.224721069197e-03,-8.767371553525e-03,8.123543853662e-03,2.167894703738e-02,-1.355540318372e-02
1.040000000000e+00,-8.883996435608e-03,-1.043116617064e-03,-7.840879818544e-03,2.161693590920e-03,1.305751100575e-02,-1.089581741483e-02,1.044916034332e-02,2.219792761522e-02,-1.174876727189e-02
1.050000000000e+00,-6.206962865846e-03,-9.607358184915e-04,-5.246227047354e-03,3.939118391478e-03,1.638102849365e-02,-1.244191010217e-02,1.272233783157e-02,2.174309171127e-02,-9.020753879697e-03
1.060000000000e+00,-3.434692693697e-03,-8.880554176681e-04,-2.546637276029e-03,5.754992789032e-03,1.898661274338e-02,-1.323161995434e-02,1.488089992508e-02,2.040426151419e-02,-5.523361589102e-03
1.070000000000e+00,-6.346279773359e-04,-8.235380425123e-04,1.889100651764e-04,7.571490776400e-03,2.072199170155e-02,-1.315050092515e-02,1.686090784773e-02,1.833146389348e-02,-1.470556045755e-03
1.080000000000e+00,2.124870993107e-03,-7.659411281805e-04,2.890812121287e-03,9.348455951021e-03,2.150524886371e-02,-1.215679291269e-02,1.859857911450e-02,1.571630719447e-02,2.882271920027e-03
1.090000000000e+00,4.775545711787e-03,-7.142563512987e-04,5.489802063085e-03,1.104436827677e-02,2.133068664964e-02,-1.028631837288e-02,2.003238934305e-02,1.277054370800e-02,7.261845635050e-03
1.100000000000e+00,7.250387226020e-03,-6.676603443604e-04,7.918047570380e-03,1.261741479320e-02,2.026605141477e-02,-7.648636621570e-03,2.110525848175e-02,9.704730999901e-03,1.140052748185e-02
1.110000000000e+00,9.484849612003e-03,-6.254755937534e-04,1.011032520576e-02,1.402662411748e-02,1.844184654709e-02,-4.415222429613e-03,2.176675998916e-02,6.709586973967e-03,1.505717301520e-02
1.120000000000e+00,1.141823549505e-02,-5.871399143459e-04,1.200537540940e-02,1.523304646810e-02,1.603455088312e-02,-8.015044150207e-04,2.197527818116e-02,3.941951778204e-03,1.803332640296e-02
1.130000000000e+00,1.299518352223e-02,-5.521828308753e-04,1.354736635311e-02,1.620092088772e-02,1.324629760324e-02,2.954623284481e-03,2.170001002803e-02,1.516383081555e-03,2.018362694648e-02
