t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,-9.866666666667e-01,-1.322916405635e-08,-7.071310089793e-08,5.748393684158e-08
4.500000000000e-01,x,-9.733333333333e-01,-1.277752910472e-08,-1.018956121633e-07,8.911808305854e-08
4.500000000000e-01,x,-9.600000000000e-01,-1.867823044365e-08,-1.334236742113e-07,1.147454437676e-07
4.500000000000e-01,x,-9.466666666667e-01,-4.498069127434e-08,-1.648068087175e-07,1.198261174431e-07
4.500000000000e-01,x,-9.333333333333e-01,-1.010667118081e-07,-1.963672507622e-07,9.530053895414e-08
4.500000000000e-01,x,-9.200000000000e-01,-1.941656199140e-07,-2.301554578416e-07,3.598983792757e-08
4.500000000000e-01,x,-9.066666666667e-01,-3.555219705606e-07,-2.716946681053e-07,-8.382730245524e-08
4.500000000000e-01,x,-8.933333333333e-01,-6.524478939742e-07,-3.332386927663e-07,-3.192092012079e-07
4.500000000000e-01,x,-8.800000000000e-01,-1.199298742624e-06,-4.396508019809e-07,-7.596479406427e-07
4.500000000000e-01,x,-8.666666666667e-01,-2.145429741207e-06,-6.385883935959e-07,-1.506841347611e-06
4.500000000000e-01,x,-8.533333333333e-01,-3.715469145368e-06,-1.017406656055e-06,-2.698062489313e-06
4.500000000000e-01,x,-8.400000000000e-01,-6.269062815030e-06,-1.730048763211e-06,-4.539014051818e-06
4.500000000000e-01,x,-8.266666666667e-01,-1.034879656022e-05,-3.038122587570e-06,-7.310673972649e-06
4.500000000000e-01,x,-8.133333333333e-01,-1.674452154807e-05,-5.371312555211e-06,-1.137320899285e-05
4.500000000000e-01,x,-8.000000000000e-01,-2.659213713304e-05,-9.413164690863e-06,-1.717897244218e-05
4.500000000000e-01,x,-7.866666666667e-01,-4.143643022456e-05,-1.621899981144e-05,-2.521743041312e-05
4.500000000000e-01,x,-7.733333333333e-01,-6.332722715091e-05,-2.737303930302e-05,-3.595418784789e-05
