t,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,error_0_9_0_0_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,error_0_0_0_9_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_,error_0_65_0_65_
1.050000000000e-01,8.429436760633e-11,8.421289510338e-11,8.147250294727e-14,-4.443891884967e-13,-1.746184785960e-10,1.741740894075e-10,-3.189884166355e-12,9.422742987046e-11,-9.741731403681e-11
1.100000000000e-01,1.068277120255e-10,1.143092310202e-10,-7.481518994663e-12,-5.329927138363e-13,-2.385479883244e-10,2.380149956105e-10,-4.045593526275e-12,1.184411184857e-10,-1.224867120119e-10
1.150000000000e-01,1.340869728435e-10,1.536956988713e-10,-1.960872602778e-11,-6.903553925683e-13,-3.225137797488e-10,3.218234243563e-10,-5.046324410222e-12,1.466011891784e-10,-1.516475135886e-10
1.200000000000e-01,1.666042175900e-10,2.048099150102e-10,-3.820569742025e-11,-9.269634341867e-13,-4.317743961356e-10,4.308474327014e-10,-6.230670685559e-12,1.785931240481e-10,-1.848237947337e-10
1.250000000000e-01,2.048717148262e-10,2.706116726459e-10,-6.573995781963e-11,-1.349683631313e-12,-5.726857832312e-10,5.713360995999e-10,-7.712397546312e-12,2.139311156374e-10,-2.216435131837e-10
1.300000000000e-01,2.495686408577e-10,3.546627339053e-10,-1.050940930475e-10,-1.806306516384e-12,-7.528522621521e-10,7.510459556357e-10,-9.338267231423e-12,2.515964288690e-10,-2.609346961004e-10
1.350000000000e-01,3.010913678169e-10,4.612102569009e-10,-1.601188890840e-10,-2.418182964647e-12,-9.812762302984e-10,9.788580473337e-10,-1.129587005771e-11,2.898347013263e-10,-3.011305713840e-10
1.400000000000e-01,3.596310654936e-10,5.952746715945e-10,-2.356436061009e-10,-3.051162265873e-12,-1.268506210595e-09,1.265455048329e-09,-1.350212136840e-11,3.259043818639e-10,-3.394065032324e-10
1.450000000000e-01,4.251188658338e-10,7.627382913793e-10,-3.376194255455e-10,-3.773985300000e-12,-1.626771014630e-09,1.622997029330e-09,-1.610786483727e-11,3.557703790410e-10,-3.718782438783e-10
1.500000000000e-01,4.972435571397e-10,9.704287134107e-10,-4.731851562710e-10,-4.484942824221e-12,-2.070082429147e-09,2.065597486323e-09,-1.910812833773e-11,3.737435470999e-10,-3.928516754376e-10
1.550000000000e-01,5.755299840237e-10,1.226194586323e-09,-6.506646022994e-10,-4.869735683226e-12,-2.614297277616e-09,2.609427541933e-09,-2.227741231025e-11,3.720656375499e-10,-3.943430498601e-10
1.600000000000e-01,6.583899608217e-10,1.538973538940e-09,-8.805835781185e-10,-5.124157933710e-12,-3.277132771531e-09,3.272008613597e-09,-2.597691866618e-11,3.404351562502e-10,-3.664120749164e-10
1.650000000000e-01,7.439892089878e-10,1.918845248833e-09,-1.174856039845e-09,-5.173175108928e-12,-4.078112603549e-09,4.072939428440e-09,-3.021435280482e-11,2.654811517312e-10,-2.956955045360e-10
1.700000000000e-01,8.301917004859e-10,2.377059994519e-09,-1.546868294033e-09,-4.591941800793e-12,-5.038417935708e-09,5.033825993908e-09,-3.464408073372e-11,1.302034094323e-10,-1.648474901660e-10
1.750000000000e-01,9.134899605446e-10,2.926037887147e-09,-2.012547926602e-09,-3.451163805055e-12,-6.180629298817e-09,6.177178135012e-09,-3.946344951724e-11,-8.660493699060e-11,4.714148747336e-11
1.800000000000e-01,9.899081151199e-10,3.579347522536e-09,-2.589439407416e-09,-1.715428369813e-12,-7.528364235186e-09,7.526648806816e-09,-4.448699277711e-11,-4.109592365187e-10,3.664722437416e-10
1.850000000000e-01,1.054364183604e-09,4.351627345182e-09,-3.297263161578e-09,3.277595875675e-13,-9.105743896594e-09,9.106071656182e-09,-5.007150781677e-11,-8.742246338477e-10,8.241531260309e-10
1.900000000000e-01,1.101448237602e-09,5.258482628954e-09,-4.157034391352e-09,3.042475972670e-12,-1.093673519003e-08,1.093977766600e-08,-5.564061317988e-11,-1.513636200888e-09,1.457995587708e-09
1.950000000000e-01,1.124552361454e-09,6.316310787782e-09,-5.191758426327e-09,5.823762246935e-12,-1.304429627746e-08,1.305012003971e-08,-6.158492861015e-11,-2.372677674073e-09,2.311092745463e-09
2.000000000000e-01,1.116771088647e-09,7.542083939258e-09,-6.425312850612e-09,8.344203323822e-12,-1.544936912267e-08,1.545771332599e-08,-6.786593245829e-11,-3.501340370010e-09,3.433474437552e-09
2.050000000000e-01,1.071124798024e-09,8.953069477533e-09,-7.881944679510e-09,1.050389754031e-11,-1.816969662044e-08,1.818020051798e-08,-7.419340322021e-11,-4.956185481452e-09,4.881992078232e-09
2.100000000000e-01,9.804992166950e-10,1.056647849518e-08,-9.585979278481e-09,1.194568754956e-11,-2.121846893560e-08,2.123041462315e-08,-8.046318685201e-11,-6.800145094672e-09,6.719681907820e-09
2.150000000000e-01,8.378914045674e-10,1.239904440838e-08,-1.156115300382e-08,1.221497792052e-11,-2.460282569113e-08,2.461504066905e-08,-8.674679039277e-11,-9.102021492648e-09,9.015274702255e-09
2.200000000000e-01,6.373442095583e-10,1.446653831407e-08,-1.382919410451e-08,1.097679615317e-11,-2.832224727337e-08,2.833322406953e-08,-9.301649619630e-11,-1.193565540386e-08,1.184263890766e-08
2.250000000000e-01,3.741928667779e-10,1.678321327260e-08,-1.640902040582e-08,8.047715948247e-12,-3.236686662274e-08,3.237491433869e-08,-9.924329183207e-11,-1.537870775262e-08,1.527946446079e-08
2.300000000000e-01,4.592815505649e-11,1.936117086834e-08,-1.931524271328e-08,3.765000608481e-12,-3.671574967429e-08,3.671951467490e-08,-1.050779617067e-10,-1.951100689803e-08,1.940592893632e-08
2.350000000000e-01,-3.478356975820e-10,2.220965819632e-08,-2.255749389390e-08,-1.600335616768e-12,-4.133521361571e-08,4.133361328009e-08,-1.105631674513e-10,-2.441245460830e-08,2.430189144085e-08
2.400000000000e-01,-8.046671570015e-10,2.533432052204e-08,-2.613898767904e-08,-7.661549517461e-12,-4.617725885753e-08,4.616959730801e-08,-1.160780602843e-10,-3.016054150036e-08,3.004446344008e-08
