t,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,error_0_9_0_0_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,error_0_0_0_9_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_,error_0_65_0_65_
1.000000000000e-01,-4.223404737365e-12,6.141584416902e-11,-6.563924890638e-11,2.068108471719e-11,-1.264154831185e-10,1.470965678357e-10,-5.878082228236e-12,7.382811085963e-11,-7.970619308786e-11
1.050000000000e-01,-5.969379024790e-12,8.421289510338e-11,-9.018227412817e-11,2.585201137697e-11,-1.746184785960e-10,2.004704899730e-10,-7.746761227773e-12,9.422742987046e-11,-1.019741910982e-10
1.100000000000e-01,-8.270405371416e-12,1.143092310202e-10,-1.225796363916e-10,3.196111087586e-11,-2.385479883244e-10,2.705090992002e-10,-1.014281363386e-11,1.184411184857e-10,-1.285839321195e-10
1.150000000000e-01,-1.114451098191e-11,1.536956988713e-10,-1.648402098532e-10,3.911091703941e-11,-3.225137797488e-10,3.616246967882e-10,-1.317249379388e-11,1.466011891784e-10,-1.597736829723e-10
1.200000000000e-01,-1.480607392144e-11,2.048099150102e-10,-2.196159889317e-10,4.733872645064e-11,-4.317743961356e-10,4.791131225862e-10,-1.700307315528e-11,1.785931240481e-10,-1.955961972034e-10
1.250000000000e-01,-1.911356254688e-11,2.706116726459e-10,-2.897252351927e-10,5.678738662403e-11,-5.726857832312e-10,6.294731698552e-10,-2.165663747018e-11,2.139311156374e-10,-2.355877531076e-10
1.300000000000e-01,-2.465452286844e-11,3.546627339053e-10,-3.793172567737e-10,6.709926431410e-11,-7.528522621521e-10,8.199515264662e-10,-2.770404102163e-11,2.515964288690e-10,-2.793004698906e-10
1.350000000000e-01,-3.113782999975e-11,4.612102569009e-10,-4.923480869007e-10,7.862454062581e-11,-9.812762302984e-10,1.059900770924e-09,-3.487461097487e-11,2.898347013263e-10,-3.247093123012e-10
1.400000000000e-01,-3.911292452069e-11,5.952746715945e-10,-6.343875961152e-10,9.088399174774e-11,-1.268506210595e-09,1.359390202342e-09,-4.372956767826e-11,3.259043818639e-10,-3.696339495422e-10
1.450000000000e-01,-4.896183091618e-11,7.627382913793e-10,-8.117001222955e-10,1.036556767229e-10,-1.626771014630e-09,1.730426691353e-09,-5.451126774242e-11,3.557703790410e-10,-4.102816467834e-10
