t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,-2.000000000000e+00,-1.396691139861e-08,3.191589524705e-07,-3.331258638691e-07
4.500000000000e-01,x,-1.986666666667e+00,-1.343594795417e-08,3.157123258635e-07,-3.291482738177e-07
4.500000000000e-01,x,-1.973333333333e+00,-1.333066547742e-08,3.076223685434e-07,-3.209530340208e-07
4.500000000000e-01,x,-1.960000000000e+00,-1.331671084894e-08,2.951075825289e-07,-3.084242933779e-07
4.500000000000e-01,x,-1.946666666667e+00,-1.322000099505e-08,2.785175054636e-07,-2.917375064587e-07
4.500000000000e-01,x,-1.933333333333e+00,-1.301537544547e-08,2.583326067875e-07,-2.713479822329e-07
4.500000000000e-01,x,-1.920000000000e+00,-1.272524545468e-08,2.351619912150e-07,-2.478872366697e-07
4.500000000000e-01,x,-1.906666666667e+00,-1.240293957510e-08,2.097365743616e-07,-2.221395139367e-07
4.500000000000e-01,x,-1.893333333333e+00,-1.210510815411e-08,1.828959652639e-07,-1.950010734180e-07
4.500000000000e-01,x,-1.880000000000e+00,-1.184363179043e-08,1.555680696930e-07,-1.674117014835e-07
4.500000000000e-01,x,-1.866666666667e+00,-1.160548869111e-08,1.287412261178e-07,-1.403467148089e-07
4.500000000000e-01,x,-1.853333333333e+00,-1.137460913930e-08,1.034293748892e-07,-1.148039840285e-07
4.500000000000e-01,x,-1.840000000000e+00,-1.113255080390e-08,8.063130863105e-08,-9.176385943495e-08
4.500000000000e-01,x,-1.826666666667e+00,-1.086382848703e-08,6.128550844483e-08,-7.214933693186e-08
4.500000000000e-01,x,-1.813333333333e+00,-1.055843801738e-08,4.622253207799e-08,-5.678097009537e-08
4.500000000000e-01,x,-1.800000000000e+00,-1.021154056304e-08,3.611746566098e-08,-4.632900622402e-08
4.500000000000e-01,x,-1.786666666667e+00,-9.823216867786e-09,3.144559174244e-08,-4.126880861023e-08
4.500000000000e-01,x,-1.773333333333e+00,-9.396766283733e-09,3.244506645329e-08,-4.184183273702e-08
4.500000000000e-01,x,-1.760000000000e+00,-8.934843034401e-09,3.909084534873e-08,-4.802568838313e-08
4.500000000000e-01,x,-1.746666666667e+00,-8.436894912532e-09,5.108409641854e-08,-5.952099133107e-08
4.500000000000e-01,x,-1.733333333333e+00,-7.904598310005e-09,6.786065532906e-08,-7.576525363907e-08
4.500000000000e-01,x,-1.720000000000e+00,-7.344000204085e-09,8.862057952687e-08,-9.596457973096e-08
4.500000000000e-01,x,-1.706666666667e+00,-6.765334689702e-09,1.123785825142e-07,-1.191439172039e-07
