t,p_trixi_0_9_0_0_,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,p_trixi_0_0_0_9_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,p_trixi_0_65_0_65_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-03,-5.684049656592e-44,1.570116224994e-15,4.577548445010e-17,-1.464843563276e-44,1.829804956238e-15,-7.210487834474e-17,-2.859004684692e-51,-2.355694916388e-16,1.041758361915e-16
1.000000000000e-02,-2.760098337180e-25,7.574654693834e-15,7.936079579998e-16,-4.019150946262e-27,9.950670498674e-15,-1.258378781701e-15,-2.667246402635e-39,-1.305196993729e-15,1.799741566324e-15
1.500000000000e-02,-3.644853831902e-21,1.802895993292e-14,4.381936327406e-15,-2.777408128530e-23,2.896398861520e-14,-7.020427788249e-15,-1.475851840366e-30,-3.856442218146e-15,9.878165229652e-15
2.000000000000e-02,-9.395049693301e-20,2.901008945012e-14,1.519617868895e-14,-9.047964281585e-22,6.353328141910e-14,-2.467402530498e-14,-6.854641309544e-28,-8.811335211042e-15,3.396209944455e-14
2.500000000000e-02,-6.554314317809e-19,3.506684887110e-14,4.093119264836e-14,-8.081990226822e-21,1.202615171441e-13,-6.750974767599e-14,-1.561471530412e-26,-1.716211060273e-14,9.042594115281e-14
3.000000000000e-02,-2.652499642593e-18,3.019768069651e-14,9.409342516172e-14,-3.636050392875e-20,2.079736420401e-13,-1.578953872836e-13,-8.597582065759e-26,-3.072872480720e-14,2.048271596929e-13
3.500000000000e-02,-1.092235526422e-17,9.300298768075e-15,1.940276830060e-13,-2.288413720736e-19,3.378822486817e-13,-3.315547894636e-13,-9.642813361536e-25,-5.227692502663e-14,4.147898096405e-13
4.000000000000e-02,-2.692399519585e-17,-2.938217836194e-14,3.698496897987e-13,-9.570465804247e-19,5.249467158296e-13,-6.438616151675e-13,-5.443120889621e-24,-8.534435107551e-14,7.736486298970e-13
4.500000000000e-02,-4.159145267377e-17,-8.267559833092e-14,6.640070750613e-13,-2.994756282437e-18,7.895259456225e-13,-1.177622017810e-12,-1.893506375370e-23,-1.324576444227e-13,1.354002409132e-12
5.000000000000e-02,-3.071483035267e-17,-1.483759762446e-13,1.137201085339e-12,-7.554302737691e-18,1.154958022245e-12,-2.053868894435e-12,-4.534400489771e-23,-2.016418939167e-13,2.251975941405e-12
5.500000000000e-02,4.144969781494e-17,-2.219895401606e-13,1.874653101432e-12,-1.620758511848e-17,1.649930481155e-12,-3.445766760042e-12,-7.987046547240e-23,-3.023193332520e-13,3.591398322438e-12
6.000000000000e-02,2.220713733922e-16,-3.008628344999e-13,2.994081312128e-12,-3.100824297973e-17,2.312404851440e-12,-5.596331531414e-12,-9.886776800089e-23,-4.424515165881e-13,5.527984151723e-12
6.500000000000e-02,5.224038826315e-16,-3.928206237850e-13,4.655903515305e-12,-5.491810203500e-17,3.179607247185e-12,-8.841085242765e-12,2.890909364120e-23,-6.429640763562e-13,8.253527078806e-12
7.000000000000e-02,7.359521350745e-16,-5.028167652185e-13,7.076007384589e-12,-8.362658107682e-17,4.317084748656e-12,-1.363648943545e-11,4.174351429777e-22,-9.093911086826e-13,1.199928605018e-11
7.500000000000e-02,5.736104663083e-16,-6.669891831675e-13,1.054144586765e-11,-1.096166230867e-16,5.775153576148e-12,-2.059486030494e-11,1.049158240511e-21,-1.273569357387e-12,1.703783707405e-11
8.000000000000e-02,-2.564398407291e-16,-9.314914697910e-13,1.542991160910e-11,-1.207206259249e-16,7.622933158793e-12,-3.052738473745e-11,1.656657595189e-21,-1.770009704585e-12,2.368362279989e-11
8.500000000000e-02,-1.943952764766e-15,-1.337635540273e-12,2.223367032560e-11,-1.006532772437e-16,9.949386229718e-12,-4.449673510418e-11,1.693459615799e-21,-2.421332651989e-12,3.229094345848e-11
9.000000000000e-02,-4.458512100353e-15,-1.989044459908e-12,3.158814192923e-11,-2.665820615193e-17,1.282478470191e-11,-6.387961082757e-11,1.890555935532e-22,-3.301328241292e-12,4.324689756609e-11
9.500000000000e-02,-6.708132666524e-15,-2.900502836056e-12,4.430566202697e-11,1.400812380230e-16,1.638196034014e-11,-9.043993610673e-11,-4.368628063289e-21,-4.408315020255e-12,5.695780895762e-11
1.000000000000e-01,-6.805468625037e-15,-4.223404737365e-12,6.141584416902e-11,3.888724138305e-16,2.068108471719e-11,-1.264154831185e-10,-1.050276774894e-20,-5.878082228236e-12,7.382811085963e-11
1.050000000000e-01,-3.094658122323e-15,-5.969379024790e-12,8.421289510338e-11,6.986210053178e-16,2.585201137697e-11,-1.746184785960e-10,-1.472393626081e-20,-7.746761227773e-12,9.422742987046e-11
1.100000000000e-01,5.453533729556e-15,-8.270405371416e-12,1.143092310202e-10,1.024561297890e-15,3.196111087586e-11,-2.385479883244e-10,-1.181686156877e-20,-1.014281363386e-11,1.184411184857e-10
1.150000000000e-01,1.880358559978e-14,-1.114451098191e-11,1.536956988713e-10,1.298016370274e-15,3.911091703941e-11,-3.225137797488e-10,4.071750376767e-21,-1.317249379388e-11,1.466011891784e-10
1.200000000000e-01,3.518617042611e-14,-1.480607392144e-11,2.048099150102e-10,1.410928882186e-15,4.733872645064e-11,-4.317743961356e-10,3.902614979848e-20,-1.700307315528e-11,1.785931240481e-10
1.250000000000e-01,4.703765795722e-14,-1.911356254688e-11,2.706116726459e-10,1.155594689198e-15,5.678738662403e-11,-5.726857832312e-10,8.967787243960e-20,-2.165663747018e-11,2.139311156374e-10
1.300000000000e-01,4.569648010620e-14,-2.465452286844e-11,3.546627339053e-10,4.667796456111e-16,6.709926431410e-11,-7.528522621521e-10,1.282746808300e-19,-2.770404102163e-11,2.515964288690e-10
1.350000000000e-01,2.401821617983e-14,-3.113782999975e-11,4.612102569009e-10,-7.015314725733e-16,7.862454062581e-11,-9.812762302984e-10,1.210333989703e-19,-3.487461097487e-11,2.898347013263e-10
1.400000000000e-01,-2.238418617834e-14,-3.911292452069e-11,5.952746715945e-10,-2.330137829627e-15,9.088399174774e-11,-1.268506210595e-09,3.394048179399e-20,-4.372956767826e-11,3.259043818639e-10
1.450000000000e-01,-9.367379075098e-14,-4.896183091618e-11,7.627382913793e-10,-4.323940869090e-15,1.036556767229e-10,-1.626771014630e-09,-1.576048235314e-19,-5.451126774242e-11,3.557703790410e-10
1.500000000000e-01,-1.837202401053e-13,-6.106706898388e-11,9.704287134107e-10,-6.482787375860e-15,1.165373527301e-10,-2.070082429147e-09,-4.587262591269e-19,-6.751408046111e-11,3.737435470999e-10
1.550000000000e-01,-2.650448541955e-13,-7.606706508262e-11,1.226194586323e-09,-8.305397106672e-15,1.289396081933e-10,-2.614297277616e-09,-7.645856146308e-19,-8.311860588597e-11,3.720656375499e-10
1.600000000000e-01,-3.019755524549e-13,-9.436184630415e-11,1.538973538940e-09,-9.320002235578e-15,1.402159385521e-10,-3.277132771531e-09,-8.672561385836e-19,-1.015668710143e-10,3.404351562502e-10
1.650000000000e-01,-2.614735335020e-13,-1.171382726778e-10,1.918845248833e-09,-9.102730312938e-15,1.490994913640e-10,-4.078112603549e-09,-5.550823203406e-19,-1.237027800056e-10,2.654811517312e-10
1.700000000000e-01,-1.153834206188e-13,-1.448544204746e-10,2.377059994519e-09,-7.294725664963e-15,1.546286933264e-10,-5.038417935708e-09,3.473318819874e-19,-1.497244092098e-10,1.302034094323e-10
1.750000000000e-01,1.544746213240e-13,-1.781392141335e-10,2.926037887147e-09,-3.643490412385e-15,1.554411914642e-10,-6.180629298817e-09,1.923378100865e-18,-1.800433699142e-10,-8.660493699060e-11
1.800000000000e-01,5.554970930121e-13,-2.180733352596e-10,3.579347522536e-09,2.063607544601e-15,1.496300148704e-10,-7.528364235186e-09,4.088261184755e-18,-2.155589198125e-10,-4.109592365187e-10
1.850000000000e-01,1.032454340027e-12,-2.653752091771e-10,4.351627345182e-09,9.577618392678e-15,1.353891751083e-10,-9.105743896594e-09,6.013889625945e-18,-2.567912609836e-10,-8.742246338477e-10
1.900000000000e-01,1.456255174217e-12,-3.204323593816e-10,5.258482628954e-09,1.774691994288e-14,1.107758941669e-10,-1.093673519003e-08,6.417253712453e-18,-3.041446008763e-10,-1.513636200888e-09
1.950000000000e-01,1.690862560760e-12,-3.842262082859e-10,6.316310787782e-09,2.551491671955e-14,7.310930290559e-11,-1.304429627746e-08,4.002341221095e-18,-3.586537091477e-10,-2.372677674073e-09
2.000000000000e-01,1.584758619537e-12,-4.573252564124e-10,7.542083939258e-09,3.164136571277e-14,2.016501838195e-11,-1.544936912267e-08,-2.334462253580e-18,-4.208056867097e-10,-3.501340370010e-09
2.050000000000e-01,9.847029577401e-13,-5.406644418000e-10,8.953069477533e-09,3.476913159397e-14,-5.089750434188e-11,-1.816969662044e-08,-1.322001924042e-17,-4.914873929960e-10,-4.956185481452e-09
