q_kPa,w_cm
1.0,0.07151840678022509
2.0,0.13109555406389217
3.0,0.17818005921758565
4.0,0.21610791471361532
5.0,0.24764172839360954
6.0,0.27460225433291197
7.0,0.29817328633336465
8.0,0.31914726494547874
9.0,0.3380765618056088
10.0,0.3554076306279205
11.0,0.3717269769131211
12.0,0.38793519031088275
13.0,0.40459633002863815
14.0,0.4187801663428925
