theta,P,w_lin,w_nl
0,1,0.006350350067539561,0.06632217736580588
0,25,0.158758751688489,9.185879459681155
0,50,0.317517503376978,0.317517503376979
0,75,0.47627625506546706,0.4762762550654702
0,100,0.635035006753956,0.635035006753958
0,125,0.793793758442445,0.7937937584424466
0,150,0.9525525101309341,0.9525525101309341
0,175,1.1113112618194232,1.1113112618194279
0,200,1.270070013507912,1.270070013507916
0,225,1.4288287651964011,1.4288287651964064
0,250,1.58758751688489,1.5875875168848934
0,275,1.746346268573379,1.746346268573386
0,300,1.9051050202618682,1.9051050202618682
15,1,0.006601305487609602,0.09522968733199587
15,25,0.16503263719024003,0.1479401021000854
15,50,0.33006527438048006,0.2511721171618364
15,75,0.4950979115707202,0.32124113518609393
15,100,0.6601305487609601,0.3710551351436579
15,125,0.8251631859512004,0.4103641392118601
15,150,0.9901958231414404,0.44246710256868366
15,175,1.1552284603316805,0.46806200204092363
15,200,1.3202610975219202,0.48247744558639866
15,225,1.4852937347121604,0.4438230842780877
15,250,1.6503263719024008,0.31823984049098575
15,275,1.8153590090926404,0.2530827482441574
15,300,1.9803916462828808,0.1722083848120308
30,1,0.005797432821958418,0.0828225552312134
30,25,0.14493582054896045,0.12701532847340524
30,50,0.2898716410979209,0.21060661206600598
30,75,0.4348074616468814,0.2655866634265236
30,100,0.5797432821958418,0.3038202499103057
30,125,0.7246791027448024,0.333347903795016
30,150,0.8696149232937628,0.35693277352985614
30,175,1.0145507438427233,0.3759304142373922
30,200,1.1594865643916836,0.3919649988066449
30,225,1.304422384940644,0.40562723940533596
30,250,1.4493582054896048,0.41670541058515037
30,275,1.5942940260385647,0.42326072389905406
30,300,1.7392298465875256,0.4144973575033099
45,1,0.005575248563011361,0.08132324420412503
45,25,0.139381214075284,0.12901941372866385
45,50,0.278762428150568,0.23277227561216382
45,75,0.41814364222585204,0.319725969134506
45,100,0.557524856301136,0.3970244063603083
45,125,0.6969060703764202,0.4696442107940277
45,150,0.8362872844517041,0.5394368038145018
45,175,0.9756684985269882,0.6075139447530706
45,200,1.115049712602272,0.674875714280835
45,225,1.254430926677556,0.7420027650748084
45,250,1.3938121407528403,0.8093400056269917
45,275,1.5331933548281242,0.8771960930555941
45,300,1.6725745689034082,0.9458132158561927
