L_h,P,BEM_lin,BEM_nl,FEM_lin,FEM_nl,e_lin,e_nl
4,50,0.866426133035554,0.37904491556374637,0.8547585986622734,0.3757747665700581,1.3650093010518642,0.8702417736925389
4,150,2.599278399106662,0.6058892066234053,2.56427579598682,0.5976753574289432,1.3650093010518731,1.3742994574506349
4,250,4.33213066517777,0.7366949785725388,4.273792993311367,0.7259633435283801,1.3650093010518696,1.4782612841028684
10,50,0.3374085880926817,0.2676031347890854,0.33135734328275446,0.2676673291057686,1.8261990967146269,-0.023982873403980594
10,150,1.012225764278045,0.5170457142710622,0.9940720298482633,0.5191318461145513,1.826199096714627,-0.4018501001436991
10,250,1.6870429404634084,0.6607126507167499,1.6567867164137722,0.6615947175473588,1.826199096714627,-0.13332434604055515
20,50,0.2514598650206714,0.2213942510704396,0.24558719674289103,0.21982692875779164,2.391276237388126,0.7129801255490725
20,150,0.7543795950620142,0.4700386665219306,0.736761590228673,0.47436044235872543,2.391276237388134,-0.911074248793826
20,250,1.257299325103357,0.6175004010342231,1.227935983714455,0.624173996938481,2.39127623738814,-1.0691883892938945
100,50,0.21636222206414665,0.19777207338396394,0.21682387321484056,0.19983647057759327,-0.21291527720127054,-1.0330432616541625
100,150,0.6490866661924398,0.44252121560817753,0.6504716196445216,0.45200090460094483,-0.2129152772012791,-2.0972721285008427
100,250,1.081811110320733,0.5915481690810609,1.0841193660742028,0.6048460231870435,-0.2129152772012859,-2.198551961359323
