L_h,P,BEM_lin,BEM_nl,FEM_lin,FEM_nl,e_lin,e_nl
4,50,0.80135730379983,0.31203278164345666,0.7775061278203222,0.4316408129328488,3.0676511896276124,-27.710083871980792
4,150,2.4040719113994897,0.5720058763259432,2.3325183834609664,0.7104812384669155,3.067651189627622,-19.490361552653514
4,250,4.006786518999149,0.806051874529295,3.887530639101611,0.8675303934552803,3.0676511896276066,-7.086612686977212
10,50,0.20362210826589527,0.18183275760342538,0.20087744442767091,0.1933457812568902,1.3663374930143632,-5.954628840940659
10,150,0.6108663247976858,0.3880183491363465,0.6026323332830126,0.4830426153903954,1.366337493014382,-19.6720254541621
10,250,1.0181105413294762,0.5045540777847264,1.0043872221383543,0.6738714979186735,1.3663374930143746,-25.126069385172492
20,50,0.09830745370256036,0.09688474114646861,0.0949463958142355,0.09451256732377222,3.5399531066991052,2.5099030635471147
20,150,0.29492236110768105,0.26533741793204096,0.2848391874427065,0.27421926415146897,3.5399531066991057,-3.2389577905518654
20,250,0.4915372685128018,0.39344412832059233,0.4747319790711775,0.4328170427724373,3.5399531066991052,-9.096895584249468
100,50,0.062389337842494876,0.06217747548505069,0.05791824599663775,0.05784795251587728,7.719660305522162,7.484314968598249
100,150,0.18716801352748458,0.18184313633053611,0.17375473798991323,0.17190623972926505,7.719660305522152,5.780416474073697
100,250,0.3119466892124743,0.29013991207721807,0.2895912299831887,0.28146464959613426,7.719660305522162,3.0821854515413185
