P,BEM,Present,Anal
1,0.16732845551554584,0.1669,0.169
2,0.31937066173190237,0.323,0.323
3,0.45073806888377427,0.4562,0.457
6,0.7454740251675863,0.761,0.761
10,1.0082272797677538,1.0487,1.035
15,1.2402938794592575,1.2989,1.279
