q_kPa,w_cm
1.0,0.07441194640547152
2.0,0.12434040441947926
3.0,0.15906298905827213
4.0,0.18551223921656007
5.0,0.20693613591854718
6.0,0.2250104184232561
7.0,0.2406956207996093
8.0,0.25459143035026466
9.0,0.26709749206015315
10.0,0.2793645020598363
11.0,13738.833715235043
12.0,0.4926506106739199
13.0,7.090677356410455e101
14.0,0.5516644450575978
