t,axis,s,p_dibem,p_exact,error
4.400000000000e-01,x,-2.000000000000e+00,4.484596025410e-04,2.718116855170e-07,4.481877908555e-04
4.400000000000e-01,x,-1.986666666667e+00,4.143885783216e-04,2.690961398795e-07,4.141194821818e-04
4.400000000000e-01,x,-1.973333333333e+00,3.810269662982e-04,2.620532976607e-07,3.807649130005e-04
4.400000000000e-01,x,-1.960000000000e+00,3.487265377702e-04,2.510211882816e-07,3.484755165820e-04
4.400000000000e-01,x,-1.946666666667e+00,3.178810811266e-04,2.364725610033e-07,3.176446085656e-04
4.400000000000e-01,x,-1.933333333333e+00,2.889220023452e-04,2.189872139617e-07,2.887030151313e-04
4.400000000000e-01,x,-1.920000000000e+00,2.623129867794e-04,1.992238846551e-07,2.621137628947e-04
4.400000000000e-01,x,-1.906666666667e+00,2.385442183999e-04,1.778932337870e-07,2.383663251661e-04
4.400000000000e-01,x,-1.893333333333e+00,2.181265939728e-04,1.557332752796e-07,2.179708606975e-04
4.400000000000e-01,x,-1.880000000000e+00,2.015862616841e-04,1.334882286640e-07,2.014527734554e-04
4.400000000000e-01,x,-1.866666666667e+00,1.894596926410e-04,1.118911717120e-07,1.893478014693e-04
4.400000000000e-01,x,-1.853333333333e+00,1.822893861295e-04,9.165010647850e-08,1.821977360230e-04
4.400000000000e-01,x,-1.840000000000e+00,1.806202283342e-04,7.343626649529e-08,1.805467920677e-04
4.400000000000e-01,x,-1.826666666667e+00,1.849964714526e-04,5.787288593455e-08,1.849385985667e-04
4.400000000000e-01,x,-1.813333333333e+00,1.959592706695e-04,4.552242986790e-08,1.959137482397e-04
4.400000000000e-01,x,-1.800000000000e+00,2.140447049471e-04,3.687059506689e-08,2.140078343520e-04
4.400000000000e-01,x,-1.786666666667e+00,2.397822069129e-04,3.230626990805e-08,2.397499006430e-04
4.400000000000e-01,x,-1.773333333333e+00,2.736933327997e-04,3.209797814199e-08,2.736612348216e-04
4.400000000000e-01,x,-1.760000000000e+00,3.162908119244e-04,3.636887721935e-08,3.162544430472e-04
4.400000000000e-01,x,-1.746666666667e+00,3.680778246514e-04,4.507378726113e-08,3.680327508642e-04
4.400000000000e-01,x,-1.733333333333e+00,4.295474668777e-04,5.798262241658e-08,4.294894842553e-04
4.400000000000e-01,x,-1.720000000000e+00,5.011823668079e-04,7.467467825586e-08,5.011076921297e-04
4.400000000000e-01,x,-1.706666666667e+00,5.834046206745e-04,9.454734231990e-08,5.833100733322e-04
4.400000000000e-01,x,-1.693333333333e+00,6.757888562201e-04,1.168409922751e-07,6.756720152279e-04
4.400000000000e-01,x,-1.680000000000e+00,7.772045791611e-04,1.406793979961e-07,7.770638997631e-04
4.400000000000e-01,x,-1.666666666667e+00,8.864893398505e-04,1.651222915527e-07,8.863242175590e-04
