x,y
0.02817541634477608,0.0
0.1249999999997752,0.0
0.22182458365469063,0.0
0.2781754163441445,0.0
0.3749999999990515,0.0
0.4718245836539586,0.0
0.5281754163435798,0.0
0.6249999999990163,0.0
0.721824583654453,0.0
0.7781754163442296,0.0
0.8749999999996704,0.0
0.9718245836551112,0.0
1.0,0.02817541634477608
1.0,0.1249999999997752
1.0,0.22182458365469063
1.0,0.2781754163441445
1.0,0.3749999999990515
1.0,0.4718245836539586
1.0,0.5281754163435798
1.0,0.6249999999990163
1.0,0.721824583654453
1.0,0.7781754163442296
1.0,0.8749999999996704
1.0,0.9718245836551112
0.9718245836551572,1.0
0.8750000000000052,1.0
0.7781754163450552,1.0
0.7218245836556477,1.0
0.625000000001009,1.0
0.5281754163466034,1.0
0.4718245836571301,1.0
0.37500000000155,1.0
0.27817541634596993,1.0
0.2218245836561087,1.0
0.1250000000005203,1.0
0.028175416344931863,1.0
0.0,0.9718245836551572
0.0,0.8750000000000052
0.0,0.7781754163450552
0.0,0.7218245836556477
0.0,0.625000000001009
0.0,0.5281754163466034
0.0,0.4718245836571301
0.0,0.37500000000155
0.0,0.27817541634596993
0.0,0.2218245836561087
0.0,0.1250000000005203
0.0,0.028175416344931863
0.5,0.5
0.5,0.16666666666666666
0.8333333333333333,0.16666666666666666
0.16666666666666666,0.5
0.16666666666666666,0.16666666666666666
0.8333333333333333,0.5
0.16666666666666666,0.8333333333333333
0.5,0.8333333333333333
0.8333333333333333,0.8333333333333333
