# w_lin=0.03313573432827539 w_nl=0.03238456817786416 h=0.1 q=0.005000000000000001
tag,x,y,u,v,w,thx,thy,wx,wy,ex,ey,gxy,Nxx,Nyy,Nxy,Nnn
lin,0.02817541634477608,0.0,1.2243382839939588e-36,-2.1519891248623053e-20,1.9442258416204996e-20,4.405201425895583e-19,0.008061834231818492,1.9270555315449386e-05,0.009207731062840188,3.3809068332100587e-10,9.403400455574738e-05,-2.181028804794298e-19,2.3571825882526322e-06,0.00012255059085186832,-4.049753015263779e-21,0.00012255059085186832
lin,0.1249999999997752,0.0,-2.0955152616811544e-37,-9.314423467406449e-20,9.169882615977095e-21,-7.52805578498142e-20,0.03489295642231102,3.3243814901293537e-19,0.04003001162998058,1.6267117693569511e-21,0.0008012009155488815,-1.9222843977736655e-19,2.008022344734039e-05,0.0010441716192617,4.879878156247838e-20,0.0010441716192617
lin,0.22182458365469063,0.0,1.0369482250577603e-36,-1.5621566622198784e-19,1.6059265386889265e-19,3.7308937665772826e-19,0.05852171920063511,-1.675405158145276e-20,0.0667926342684727,-6.621886422340949e-23,0.002261664260174312,-1.6814989595119328e-19,5.668331479133613e-05,0.0029475323691494793,1.564753295200915e-19,0.0029475323691494793
lin,0.2781754163441445,0.0,6.436908281561629e-37,-1.8664938828658716e-19,1.4399573720908067e-19,2.3160620510006693e-19,0.06992287450887744,1.3748760348905017e-20,0.07978802757581642,4.459324892955346e-23,0.0032039624357290113,-1.3869912123559505e-19,8.029981041927345e-05,0.004175590141802221,2.266445299446643e-19,0.004175590141802221
lin,0.3749999999990515,0.0,-6.689530737187129e-37,-2.2487007460709342e-19,-1.7682097622991912e-19,-2.4061242714308147e-19,0.08423904862607638,1.6371793726403812e-19,0.09657616126316816,3.945312660491231e-22,0.004663477462165439,-6.871897296662733e-20,0.00011687913439011125,0.0060777149882857845,3.3654702258378543e-19,0.0060777149882857845
lin,0.4718245836539586,0.0,1.4937155548172943e-37,-2.424422050752609e-19,2.5318326649084392e-19,5.3742487230474423e-20,0.0908240432188801,-2.1210141355605404e-21,0.10361648108188648,-1.0612779890414676e-24,0.0053686834556414525,-1.9393887679046442e-20,0.00013455347006620182,0.006996780443442496,3.904251322581707e-19,0.006996780443442496
lin,0.5281754163435798,0.0,-1.0196265714691027e-37,-2.4244220507542723e-19,2.3349302646314324e-19,-3.6687331403983284e-20,0.09082404321894233,-2.128383658008323e-21,0.10361030909478677,1.0686656799201624e-24,0.005368050762460677,1.911838049020771e-20,0.00013453761309425256,0.006995955880901133,3.9230462023572404e-19,0.006995955880901133
lin,0.6249999999990163,0.0,-9.272592484129776e-38,-2.2487007460765907e-19,-4.274766792703827e-20,-3.3390872246579777e-20,0.084239048626289,-1.0090602173533705e-19,0.09654930543055348,1.4987288461068787e-22,0.004660884189561431,7.383958315671308e-20,0.00011681414008925894,0.006074335284641465,3.434858922177456e-19,0.006074335284641465
lin,0.721824583654453,0.0,-8.330631786911766e-37,-1.8664938828727134e-19,1.9917390600911238e-19,-2.997331790535389e-19,0.06992287450913517,1.3754484623181075e-20,0.07974319856298903,-4.463038933502697e-23,0.003200420844932784,1.410327802936475e-19,8.021104874518254e-05,0.004170974534749492,2.4037293130805324e-19,0.004170974534749492
lin,0.7781754163442296,0.0,-9.341572727477857e-37,-1.5621566622261579e-19,1.5221242492833416e-19,-3.361130625328474e-19,0.058521719200872055,-1.6758749382976873e-20,0.06673907674765212,6.625600467249674e-23,0.0022581226693726792,1.6604764431819643e-19,5.6594553117109745e-05,0.0029429167620897067,1.7292701282009375e-19,0.0029429167620897067
lin,0.8749999999996704,0.0,7.026075844670753e-38,-9.314423467445374e-20,-5.051327673248633e-20,2.517844346206618e-20,0.034892956422458245,-3.064206017233193e-19,0.03996517591423908,1.3820533879249499e-21,0.0007986076429288988,1.8732349345461118e-19,2.001522914608769e-05,0.0010407919155965598,6.758732005070568e-20,0.0010407919155965598
lin,0.9718245836551112,0.0,-1.3280692442050773e-36,-2.1519891248707833e-20,2.738956399782859e-20,-4.778337140440872e-19,0.008061834231850617,-1.927055531538604e-05,0.009176702387988058,3.3809068331967525e-10,9.340131136715905e-05,2.1855653408486394e-19,2.3413256161075597e-06,0.00012172602830032466,1.773709228147199e-20,0.00012172602830032466
lin,1.0,0.02817541634477608,-1.5349361103690326e-20,1.2817279498838146e-35,-1.5747340345813077e-19,-0.005521406504416099,-4.80266558587619e-18,-0.0092269981368571,-6.1827226179236205e-18,9.403427154088295e-05,-3.140990843616026e-20,2.8227067397102146e-19,0.00012255093032897022,2.3567486601724633e-06,1.418496676995218e-20,0.00012255093032897022
lin,1.0,0.1249999999997752,-6.643651986222646e-20,-2.7033389628006672e-34,-1.807253367951336e-18,-0.023898531849369135,1.1384118178118962e-16,-0.04002999648199763,2.745425856018664e-15,0.0008012003091747215,-2.905891156475743e-16,5.2900257353197605e-16,0.0010441708289996297,2.0080208249614304e-05,2.6450737307877087e-17,0.0010441708289996297
lin,1.0,0.22182458365469063,-1.1142301051880875e-19,1.22626132579145e-35,-1.4062256296732077e-18,-0.04008065792120454,-4.59497247552346e-18,-0.06679260898274647,-5.712100096312307e-18,0.0022616625477596334,-2.254054339588898e-20,5.450589486714223e-19,0.002947530137431101,5.6683271873674994e-05,2.897101787333717e-20,0.002947530137431101
lin,1.0,0.2781754163441445,-1.3313028516541183e-19,8.027931001892961e-36,-1.3100050087388309e-18,-0.04788910588312544,-3.0080881329832866e-18,-0.07978799736679065,-3.941255931218274e-18,0.0032039600095755097,-1.2763695053149926e-20,4.575908521939347e-19,0.004175586979897907,8.029974961342127e-05,2.5313428685272895e-20,0.004175586979897907
lin,1.0,0.3749999999990515,-1.6039194728833043e-19,-8.2779716868469e-34,6.125354621703184e-17,-0.05769615971157944,3.363541949257517e-16,-0.09657612469272081,2.910134663656894e-14,0.004663473930332328,-9.929187026690935e-17,-2.307810219330992e-15,0.0060777103853955124,0.00011687904587286126,-1.153869683617016e-16,0.0060777103853955124
lin,1.0,0.4718245836539586,-1.7292529374007968e-19,1.3602743093409329e-36,-2.1736518054199406e-18,-0.06220401652551145,-5.097303986437025e-19,-0.10361644184117125,-7.242899682414048e-19,0.00536867938928051,-3.6240793932625607e-22,9.414569931100283e-20,0.006996775143924473,0.0001345533681523937,8.785598668202672e-21,0.006996775143924473
lin,1.0,0.5281754163435798,-1.7292529374020183e-19,-1.1659807775611732e-36,-1.743346389498669e-18,-0.06220401652555477,4.369029302681095e-19,-0.10361026985407165,6.089450272065394e-19,0.005368046696339361,-3.046935925520456e-22,-8.255534391025946e-20,0.006995950581695409,0.00013453751118645016,-4.993411762947102e-23,0.006995950581695409
lin,1.0,0.6249999999990163,-1.6039194728873798e-19,1.1248373516941795e-34,8.962731195389677e-17,-0.05769615971172564,-5.864430629827465e-17,-0.09654926886010741,3.061129673991729e-14,0.004660880658710749,-3.494362466734083e-16,-2.455156542993796e-15,0.006074330683031544,0.00011681405159630523,-1.2275428651481882e-16,0.006074330683031544
lin,1.0,0.721824583654453,-1.3313028516590446e-19,-1.054911331384828e-35,-1.7026387447588662e-18,-0.047889105883302356,3.952866199717451e-18,-0.07974316835396367,4.687799400132811e-18,0.0032004184201205933,-1.5181364280278775e-20,-5.177708892725414e-19,0.004170971374593253,8.021098797294715e-05,-2.3457348754108537e-20,0.004170971374593253
lin,1.0,0.7781754163442296,-1.1142301051926226e-19,-9.88194293656449e-36,-1.1214582628636862e-18,-0.04008065792136733,3.702793340408595e-18,-0.0667390514619264,4.802434247434455e-18,0.002258120958299317,-1.895090697554231e-20,-4.853451914560556e-19,0.0029429145321194098,5.659451023306555e-05,-2.2551879499098446e-20,0.0029429145321194098
lin,1.0,0.8749999999996704,-6.643651986250913e-20,3.162634986643094e-34,1.985917059445525e-17,-0.023898531849470276,-1.3541945357041861e-16,-0.039965160766257515,4.402876497206784e-15,0.0007986070375368285,-5.085421042190367e-16,7.533090540078928e-16,0.0010407911266144,2.0015213972691332e-05,3.766605936169581e-17,0.0010407911266144
lin,1.0,0.9718245836551112,-1.5349361103752226e-20,-1.631065723401836e-35,-1.9046983567249986e-19,-0.00552140650443812,6.111798211542299e-18,-0.00917669890668959,-1.9270555315377754e-05,9.340124050122779e-05,3.3809068328098775e-10,-2.9294663492475444e-19,0.00012172593594372251,2.3413238400190083e-06,-1.4576354908510018e-20,0.00012172593594372251
lin,0.9718245836551572,1.0,1.1635014678349735e-35,2.1519891248673624e-20,-1.904699124874668e-19,4.186579121255929e-18,-0.00806183423183756,7.353842252189593e-18,-0.00919597294328855,-3.73595281314244e-20,9.340164945769144e-05,-2.9191411548476906e-19,2.340893470117531e-06,0.00012172646044611413,-7.786415805919093e-21,0.00012172646044611413
lin,0.8750000000000052,1.0,1.220023195786397e-35,9.31442346742191e-20,-1.3482983124142932e-18,4.0967046406269295e-18,-0.03489295642236968,-5.1858838586753943e-17,-0.03996517591414257,-6.952956421264667e-18,0.000798607642924189,-1.3132301363220746e-17,2.001522914596059e-05,0.0010407919155904217,-5.983939227834054e-19,0.0010407919155904217
lin,0.7781754163450552,1.0,7.052712535231853e-36,1.562156662221377e-19,-1.1206029891495689e-18,2.5376694592507754e-18,-0.05852171920069149,4.81145571034598e-18,-0.06673907674744368,-1.9022173119315055e-20,0.002258122669358933,-4.840450721477426e-19,5.65945531167652e-05,0.0029429167620717914,1.4042237699579461e-19,0.0029429167620717914
lin,0.7218245836556477,1.0,7.366281587475706e-36,1.8664938828669123e-19,-1.6691873779953801e-18,2.65058014667513e-18,-0.06992287450891649,4.6969246181346e-18,-0.07974319856274148,-1.5240525554212576e-20,0.0032004208449128843,-5.168990071383397e-19,8.02110487446838e-05,0.004170974534723558,2.074763419350031e-19,0.004170974534723558
lin,0.625000000001009,1.0,-5.990742813268656e-34,2.2487007460707686e-19,6.489691149194945e-17,-2.4141774692684985e-16,-0.08423904862607057,-2.9718796833309103e-14,-0.09654930543033012,-1.1617316975783138e-16,0.004660884189539959,2.3267105639219973e-15,0.00011681414008856935,0.006074335284613476,1.1667532210915818e-16,0.006074335284613476
lin,0.5281754163466034,1.0,8.258865402690522e-37,2.424422050752287e-19,-1.7434555124288046e-18,2.97170218830531e-19,-0.09082404321886693,6.110613309478092e-19,-0.10361030909469052,-3.068151130803222e-22,0.005368050762450715,-8.248494422383136e-20,0.00013453761309400287,0.006995955880888148,3.8722445399929576e-19,0.006995955880888148
lin,0.4718245836571301,1.0,-9.759522272269148e-37,2.42442205075479e-19,-2.1735441860268742e-18,-3.511846780246037e-19,-0.09082404321896102,-7.242905701864142e-19,-0.10361648108198905,-3.624085417074036e-22,0.0053686834556520725,9.402485789859969e-20,0.00013455347006646797,0.006996780443456334,3.960960695378271e-19,0.006996780443456334
lin,0.37500000000155,1.0,2.443080470402879e-34,2.248700746078278e-19,1.4338818977828323e-16,1.1762522716704624e-16,-0.08423904862635222,-4.5993390792996957e-14,-0.09657616126350055,-5.339204485037982e-16,0.004663477462196984,3.670772791653951e-15,0.000116879134390206,0.0060777149883268836,1.8387862255393195e-16,0.0060777149883268836
lin,0.27817541634596993,1.0,-5.881053472359154e-36,1.8664938828748e-19,-1.344159766611412e-18,-2.116083727080261e-18,-0.06992287450921306,-3.947284488683347e-18,-0.07978802757619649,-1.28027716923328e-20,0.0032039624357595793,4.566965778662928e-19,8.029981042003957e-05,0.004175590141842059,2.5641431490198726e-19,0.004175590141842059
lin,0.2218245836561087,1.0,-8.750969480014683e-36,1.562156662228165e-19,-1.405370522887477e-18,-3.1488430661286978e-18,-0.05852171920094649,-5.7212261655922374e-18,-0.06679263426883238,-2.2612625776452973e-20,0.002261664260198056,5.440161568336459e-19,5.668331479193118e-05,0.0029475323691804233,1.9208363216106446e-19,0.0029475323691804233
lin,0.1250000000005203,1.0,4.106915317034496e-34,9.314423467459021e-20,3.263853874819365e-17,1.7521946538076799e-16,-0.03489295642250925,-6.5175704992692614e-15,-0.04003001163020666,-7.971673848423435e-16,0.0008012009155579023,-1.203635360606832e-15,2.0080223446527554e-05,0.0010441716192734366,-6.012335782678959e-17,0.0010441716192734366
