dim,geom,method,n,size_param,t_asm,t_mv,mem_bytes,compression,rel_err,maxrank
2,boundary,h2_proxy_dense,256,256,4.155622e-03,4.327700e-05,171808,3.051592e+00,1.747899e-01,37
2,boundary,h2_hara,256,256,2.327830e-01,4.788000e-05,744824,7.039086e-01,9.958260e-08,96
2,boundary,h2_fmm,256,256,3.564770e-01,7.758400e-05,744824,7.039086e-01,9.958260e-08,96
2,boundary,full,512,512,5.327354e-03,3.911200e-05,2097200,9.999771e-01,0.000000e+00,0
2,boundary,fmm,512,512,2.065030e-04,1.058206e-03,160872,1.303615e+01,5.035673e-16,0
2,boundary,hmatrix,512,512,4.024985e-03,7.066400e-05,1087648,1.928153e+00,1.103800e-09,0
2,boundary,h2_proxy_aca,512,512,8.995471e-03,9.765000e-05,320120,6.551143e+00,9.187021e-02,38
2,boundary,h2_nca,512,512,7.623217e-03,1.042240e-04,341696,6.137479e+00,5.236406e-03,41
2,boundary,h2_nnca,512,512,5.475644e-03,1.019520e-04,333440,6.289443e+00,4.783807e-03,40
2,boundary,h2_proxy_dense,512,512,8.212458e-03,7.359800e-05,307216,6.826311e+00,9.187021e-02,38
2,boundary,h2_hara,512,512,2.686157e+00,1.197060e-04,1668120,1.257195e+00,2.412219e-07,96
2,boundary,h2_fmm,512,512,1.070807e+00,1.192230e-04,1668120,1.257195e+00,2.412219e-07,96
2,boundary,full,1024,1024,1.556308e-02,6.190000e-05,8388656,9.999943e-01,0.000000e+00,0
2,boundary,fmm,1024,1024,2.562780e-04,9.811250e-04,262984,3.189779e+01,8.259823e-16,0
2,boundary,hmatrix,1024,1024,6.159867e-03,2.928650e-04,2446736,3.428489e+00,1.231865e-09,0
2,boundary,h2_proxy_aca,1024,1024,1.446414e-02,9.999100e-05,595104,1.409604e+01,7.988193e-02,37
2,boundary,h2_nca,1024,1024,9.836525e-03,1.022450e-04,604776,1.387060e+01,8.524554e-03,40
2,boundary,h2_nnca,1024,1024,9.735304e-03,1.006970e-04,601664,1.394235e+01,9.150881e-03,40
2,boundary,h2_proxy_dense,1024,1024,1.143018e-02,7.795200e-05,575032,1.458807e+01,7.988193e-02,37
2,boundary,h2_hara,1024,1024,2.061556e+01,3.172520e-04,3459848,2.424560e+00,6.143763e-02,96
2,boundary,h2_fmm,1024,1024,3.200667e+00,3.189530e-04,3461384,2.423484e+00,7.808062e-02,96
2,boundary,full,2048,2048,6.302446e-02,2.125574e-03,33554480,9.999986e-01,0.000000e+00,0
2,boundary,fmm,2048,2048,8.040160e-04,1.652104e-03,456488,7.350562e+01,8.071881e-16,0
2,boundary,hmatrix,2048,2048,1.356309e-02,2.837100e-04,5388192,6.227401e+00,2.016633e-09,0
2,boundary,h2_proxy_aca,2048,2048,2.647632e-02,1.854230e-04,1127400,2.976267e+01,4.661139e-02,39
2,boundary,h2_nca,2048,2048,2.123121e-02,1.874630e-04,1125216,2.982044e+01,5.279167e-03,39
2,boundary,h2_nnca,2048,2048,1.650739e-02,3.376430e-04,1112720,3.015532e+01,7.311339e-03,39
