t,axis,s,p_dibem,p_exact,error
4.400000000000e-01,x,-1.266666666667e+00,5.555515152855e-03,-3.985708255813e-08,5.555555009937e-03
4.400000000000e-01,x,-1.253333333333e+00,5.265109785794e-03,-3.331252078601e-08,5.265143098315e-03
4.400000000000e-01,x,-1.240000000000e+00,4.921953529055e-03,-2.470060208702e-08,4.921978229657e-03
4.400000000000e-01,x,-1.226666666667e+00,4.523780420464e-03,-1.464744431219e-08,4.523795067908e-03
4.400000000000e-01,x,-1.213333333333e+00,4.068326731918e-03,-3.760272839098e-09,4.068330492190e-03
4.400000000000e-01,x,-1.200000000000e+00,3.553332273827e-03,7.390675673082e-09,3.553324883152e-03
4.400000000000e-01,x,-1.186666666667e+00,2.976541775854e-03,1.827792828220e-08,2.976523497926e-03
4.400000000000e-01,x,-1.173333333333e+00,2.335706349706e-03,2.841249170048e-08,2.335677937214e-03
4.400000000000e-01,x,-1.160000000000e+00,1.628585039796e-03,3.733351832700e-08,1.628547706277e-03
4.400000000000e-01,x,-1.146666666667e+00,8.529464678096e-04,4.459695339209e-08,8.529018708562e-04
4.400000000000e-01,x,-1.133333333333e+00,7.018418144205e-06,4.976832851256e-08,6.968649815693e-06
4.400000000000e-01,x,-1.120000000000e+00,-9.065585607265e-04,5.242407196416e-08,-9.066109847985e-04
4.400000000000e-01,x,-1.106666666667e+00,-1.882631625838e-03,5.216407417657e-08,-1.882683789912e-03
4.400000000000e-01,x,-1.093333333333e+00,-2.916002064480e-03,4.863600734829e-08,-2.916050700487e-03
4.400000000000e-01,x,-1.080000000000e+00,-4.001451757932e-03,4.156938423216e-08,-4.001493327316e-03
4.400000000000e-01,x,-1.066666666667e+00,-5.133740857105e-03,3.081496420073e-08,-5.133771672070e-03
4.400000000000e-01,x,-1.053333333333e+00,-6.307605327457e-03,1.638329254832e-08,-6.307621710749e-03
4.400000000000e-01,x,-1.040000000000e+00,-7.517754359105e-03,-1.524748019865e-09,-7.517752834357e-03
4.400000000000e-01,x,-1.026666666667e+00,-8.758867638675e-03,-2.250226700493e-08,-8.758845136408e-03
4.400000000000e-01,x,-1.013333333333e+00,-1.002559247986e-02,-4.594110829331e-08,-1.002554653875e-02
4.400000000000e-01,x,-1.000000000000e+00,-1.131254081045e-02,-7.106034437665e-08,-1.131246975011e-02
4.400000000000e-01,x,-9.866666666667e-01,-1.261428601440e-02,-9.695956884280e-08,-1.261418905484e-02
4.400000000000e-01,x,-9.733333333333e-01,-1.392535962825e-02,-1.226970090456e-07,-1.392523693124e-02
4.400000000000e-01,x,-9.600000000000e-01,-1.524024789246e-02,-1.473951622415e-07,-1.524010049730e-02
4.400000000000e-01,x,-9.466666666667e-01,-1.655338815936e-02,-1.703873217718e-07,-1.655321777203e-02
4.400000000000e-01,x,-9.333333333333e-01,-1.785916516053e-02,-1.914443317725e-07,-1.785897371619e-02
4.400000000000e-01,x,-9.200000000000e-01,-1.915190713844e-02,-2.111741536952e-07,-1.915169596429e-02
4.400000000000e-01,x,-9.066666666667e-01,-2.042588184834e-02,-2.317854729223e-07,-2.042565006287e-02
4.400000000000e-01,x,-8.933333333333e-01,-2.167529243877e-02,-2.585754660074e-07,-2.167503386330e-02
4.400000000000e-01,x,-8.800000000000e-01,-2.289427322085e-02,-3.027708400109e-07,-2.289397045001e-02
4.400000000000e-01,x,-8.666666666667e-01,-2.407688533908e-02,-3.867501211651e-07,-2.407649858896e-02
4.400000000000e-01,x,-8.533333333333e-01,-2.521711235866e-02,-5.532252536415e-07,-2.521655913341e-02
4.400000000000e-01,x,-8.400000000000e-01,-2.630885578728e-02,-8.806654075237e-07,-2.630797512187e-02
4.400000000000e-01,x,-8.266666666667e-01,-2.734593055197e-02,-1.508085085196e-06,-2.734442246688e-02
4.400000000000e-01,x,-8.133333333333e-01,-2.832206045483e-02,-2.673248770352e-06,-2.831938720606e-02
4.400000000000e-01,x,-8.000000000000e-01,-2.923087363451e-02,-4.769306225384e-06,-2.922610432829e-02
4.400000000000e-01,x,-7.866666666667e-01,-3.006589806329e-02,-8.425794402880e-06,-3.005747226889e-02
4.400000000000e-01,x,-7.733333333333e-01,-3.082055711323e-02,-1.462072157352e-05,-3.080593639166e-02
4.400000000000e-01,x,-7.600000000000e-01,-3.148816522756e-02,-2.483089798262e-05,-3.146333432957e-02
4.400000000000e-01,x,-7.466666666667e-01,-3.206192373671e-02,-4.122742750558e-05,-3.202069630920e-02
4.400000000000e-01,x,-7.333333333333e-01,-3.253491686120e-02,-6.692168430891e-05,-3.246799517690e-02
4.400000000000e-01,x,-7.200000000000e-01,-3.290010794598e-02,-1.062632168022e-04,-3.279384472917e-02
4.400000000000e-01,x,-7.066666666667e-01,-3.315033597294e-02,-1.651836883915e-04,-3.298515228455e-02
4.400000000000e-01,x,-6.933333333333e-01,-3.327831240031e-02,-2.515690861515e-04,-3.302674331416e-02
4.400000000000e-01,x,-6.800000000000e-01,-3.327661837828e-02,-3.756254033879e-04,-3.290099297489e-02
4.400000000000e-01,x,-6.666666666667e-01,-3.313770239116e-02,-5.501812170919e-04,-3.258752117406e-02
4.400000000000e-01,x,-6.533333333333e-01,-3.285387837601e-02,-7.908458480982e-04,-3.206303252791e-02
4.400000000000e-01,x,-6.400000000000e-01,-3.241732436701e-02,-1.115917606757e-03,-3.130140676025e-02
4.400000000000e-01,x,-6.266666666667e-01,-3.182008171303e-02,-1.545918168817e-03,-3.027416354421e-02
4.400000000000e-01,x,-6.133333333333e-01,-3.105405491378e-02,-2.102622932942e-03,-2.895143198084e-02
4.400000000000e-01,x,-6.000000000000e-01,-3.011101211678e-02,-2.807470484728e-03,-2.730354163205e-02
4.400000000000e-01,x,-5.866666666667e-01,-2.898258631360e-02,-3.679273780424e-03,-2.530331253318e-02
4.400000000000e-01,x,-5.733333333333e-01,-2.766027726975e-02,-4.731226111260e-03,-2.292905115848e-02
4.400000000000e-01,x,-5.600000000000e-01,-2.613756101968e-02,-5.967297178372e-03,-2.017026384131e-02
4.400000000000e-01,x,-5.466666666667e-01,-2.442078824561e-02,-7.378243757049e-03,-1.704254448856e-02
4.400000000000e-01,x,-5.333333333333e-01,-2.252114174841e-02,-8.937603232469e-03,-1.358353851594e-02
4.400000000000e-01,x,-5.200000000000e-01,-2.044969641808e-02,-1.059817680886e-02,-9.851519609220e-03
4.400000000000e-01,x,-5.066666666667e-01,-1.821741540895e-02,-1.228961597768e-02,-5.927799431271e-03
4.400000000000e-01,x,-4.933333333333e-01,-1.583515689502e-02,-1.391777109147e-02,-1.917385803546e-03
4.400000000000e-01,x,-4.800000000000e-01,-1.331368164741e-02,-1.536641660634e-02,2.052734958929e-03
4.400000000000e-01,x,-4.666666666667e-01,-1.066366142421e-02,-1.650181388641e-02,5.838152462201e-03
4.400000000000e-01,x,-4.533333333333e-01,-7.895688157927e-03,-1.718030435086e-02,9.284616192928e-03
4.400000000000e-01,x,-4.400000000000e-01,-5.020283921479e-03,-1.725875817503e-02,1.223847425355e-02
4.400000000000e-01,x,-4.266666666667e-01,-2.047911649093e-03,-1.660727406227e-02,1.455936241318e-02
